old_unified_id,old_source_name,old_dataset_name,old_normalized_label,old_message_raw,raw_placeholder_types,replacement_candidate_id,replacement_source_name,replacement_dataset_name,replacement_message_raw,replacement_method,duplicate_check_status,repair_status,notes
replacement_imc25_english_smish_03637,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Dear User You’ve earned <LOCATION> 5000 bonus cash on Specials. Click on https://t.jio/winnings-MYIPL5K to claim your coupon! T&C Team JioCoupon,,imc25_english_smish_03659,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Hello your credit union account has been placed on hold please verify your account follow https://continue1/online/,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00060,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,to continue streaming http://<IP_ADDRESS> ee,,hf_bengali_sms_smishing_english_smish_0010,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Sweet news! You won a pair of movie tickets! To claim your prize, click here mcvst.com",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_05440,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,YOUR NUMBER HAS WON 365.00.000 AND IPHONE 14 FROM WORLD OIL FOUNDATION RELIEF FUND KINDLY SEND YOUR NAME AGE NUMBER ADDRESS TO OUR MAIL: <EMAIL_ADDRESS>,,ncsu_sms_phishing_000073,SMS Phishing Dataset,wspr-ncsu/sms-phishing,CommBank: A transaction was performed using your debit card. You can secure or cancel request at commbank-helpservice.com,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_07371,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,YOUR NUMBER HAS WON 365.00.000 AND IPHONE 14 FROM WORLD OIL FOUNDATION RELIEF FUND KINDLY SEND YOUR NAME AGENUMBER ADDRESS TO OUR MAIL: <EMAIL_ADDRESS>,,smishx_smishing_0027,SmishX,yizhu-joy/SmishX,Your package arrives at the Cyprus Post Office tomorrow.Confirm delivery:https://51.fi/aJzP Cyprus Post Office,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00130,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,<LOCATION> Shipping: Your package has the wrong address and has been temporarily suspended. Please take steps to reactivate it after replying to [ok].,,imc25_english_smish_06570,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Hello your credit union --- account has been placed on hold please verify your account follow https://continue1/,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00137,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"""Apple Macbook Pro on your Amazon account. If you do not authorize this payment, please press one to speak to our customer support representative."" Click here: <US_DRIVER_LICENSE> to listen to full voice message.",,hf_bengali_sms_smishing_english_smish_0022,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Your credit card has been temporarily locked. Call card service line. (786) 319- 4482,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_09413,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"Invoice:
<US_BANK_NUMBER>
Retailer Id:<US_DRIVER_LICENSE>
You have purchased fertilizers from Kajekar Ca Bank At Pandavaraka.
Product @ Qty.: 
20-20-0-13 @ <LOCATION>)
<NRP>) @ 7.0(45 Kg Bag)
10-26-26 @ 8.0(50 Kg Bag)
Total Amount(Rs.): 16142.0
Subsidy to be borne by the Govt. on behalf of farmer(Rs.):11016.415",,ncsu_sms_phishing_000112,SMS Phishing Dataset,wspr-ncsu/sms-phishing,Dear  customer:  Please  confirm  your  order  :  https://r.d4v.is/Xan,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00158,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,Amazon: Sign-in attempt from <LOCATION>. Tap link to respond.,,smishx_smishing_0106,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / (Mobile and OnIine Banking) / Unlook your account, use the blew link, https://qi.lv/Ksq",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_10396,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"Dear Customer,

Claim on your Motor insurance Policy no.OG-21-9910-1801-<US_DRIVER_LICENSE>  of your WAGON <NRP>
has been
successfully intimated.

Team MIBPL",,imc25_english_smish_10902,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear SBI user your SBI YONO Account has been blocked please visit here for PAN CARD click here to login your PAN number: https://g2ltAWC2,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00312,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"Amazon: Sign-in attempt from <LOCATION>, <LOCATION>. Tap link to respond.",,hf_bengali_sms_smishing_english_smish_0066,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Bank Asia urgent notice: Complete KYC or account suspended. Link: bankasia-kyc.net,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00322,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"Amazon: Account data access attempt from <LOCATION>, <LOCATION>. Tap link to respond.",,ncsu_sms_phishing_000382,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"John  To  get  your  loan  of  up  to  £10,000,  follow  this  link  https://tx.vc/r/2PWvD/  This  was  also  sent  to  your  email.  1Plus1  Loans",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_13291,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Capitec; payment + <US_DRIVER_LICENSE>.00 into SAVING ACCOUNT from M Letswalo Ref: <US_BANK_NUMBER> 2022.02.08 02:31.00 Query?,,smishx_smishing_0033,SmishX,yizhu-joy/SmishX,an793546@gmail.com / no subject / gmail https://qi.lv/z3i.,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_13646,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,INR 117.00 debited to HDFC Bank A/C No XXXXXXXXXXXX4790 towards BAJAJ FINANACE LIMITED  with UMRN HD<MEDICAL_LICENSE>011252771,,imc25_english_smish_11971,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear SBI user your SBI YONO Account has been blocked please reset your PAN CARD click here to login your PAN number:https://gLttATwzC,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_14236,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,HL: Your card ending 2913 has been credited with <US_DRIVER_LICENSE>.00 at SHOPEE. Pls call 03 2935 9459 for enqu,,hf_bengali_sms_smishing_english_smish_0085,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"https://t.me/Referincomebd4536_bot?start=r09402022185
Home-based income, if you want to earn 300 to 400 taka daily
Click this link and start, thank you ☺️☺️",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_14716,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Customer Account Recharge Your eZ Cash Account is recharged by BOC BANK Rs.1.8.00000 Current Bal: Rs.1.8.00000 Service Charge: Rs.20000 Net Received: Rs.20000 RN: <US_BANK_NUMBER>,,ncsu_sms_phishing_000542,SMS Phishing Dataset,wspr-ncsu/sms-phishing,New 100% off deal alert! Get this Magazine Wall Mount for 100% off after shipping. Avoid scratches on your magazines and provides FAST access when you need it the most. Tap the link below to get the deal before it's gone (opens in Messenger) https://mc.ht/s/FEbNNJg https://m.twil.io/CPwz7C4XhS,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_15716,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Parcel [<US_BANK_NUMBER>] has BEEN stopped at the DISTRIBUTION center. Track your shipment here: https://xn--71-qmcd9c.xn--p1acf/k1pny...,,smishx_smishing_0053,SmishX,yizhu-joy/SmishX,"DHL:Su paquete no se puede entregar debido a que no se han pagado las tasas de aduana,por favor confirme su pago para evitar retrasos:https://bitly.lc",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_18536,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"A login attempt was made in:
Location: <LOCATION>, <LOCATION>
IP: 233.342.32.3.
If this was NOT you please verify your credentials.",,imc25_english_smish_12022,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear SBI user, your SBI YONO Account has been blocked please verify your PAN CARD click here to login your PAN number: https://sdt.l/TAwcZ",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_18882,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"Invoice: <US_BANK_NUMBER>
You have purchased fertilizers from HOPCOMS KOLAR(<US_DRIVER_LICENSE>)
Product | Qty:
20-20-0-13 | 6.0(50 Kg Bag)
10-26-26 | 6.0(50 Kg Bag)
16-20-0-13 | 6.0(50 Kg Bag)
<NRP>) | 8.0(45 Kg Bag)
Total Amount(Rs.):
21628.0
Subsidy to be borne by the Govt. on behalf of farmer(Rs.):18365.7
DOF",,hf_bengali_sms_smishing_english_smish_0126,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Nagad account has been blocked. Call to reactivate: +8801716566678,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_19088,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"You bought, Sugar:5KG, from Utility Store. REF:HR-26-1-08410 To block this SMS, send ""unsub"" to ""<US_DRIVER_LICENSE>"". To block all promotional SMS, send ""Reg"" to 3627",,ncsu_sms_phishing_000628,SMS Phishing Dataset,wspr-ncsu/sms-phishing,FROM BANK: Account is on hold confrim here within 5min: https://ko.gl/SaZyh,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_19705,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"Invoice: <US_BANK_NUMBER>
You have purchased fertilizers from Bharthana Skvs(<US_DRIVER_LICENSE>)
Product | Qty:
20-20-0-13 | 2.0(50 Kg Bag)
Total Amount(Rs.): 2440.0
Subsidy to be borne by the Govt. on behalf of farmer(Rs.):1513.1
DOF",,smishx_smishing_0086,SmishX,yizhu-joy/SmishX,hello https://drpsnd.io/SiQPdG Reply STOP to stop...,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_20622,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Legal action is imminent if ur VODACOM acc remains unpaid. Pls call MBD INC. on (011)560-4218 for a pmt plan. Ref: <US_BANK_NUMBER>,,imc25_english_smish_02480,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Please follow this link www....,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00037,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,From ASB: A new Nokia <US_DRIVER_LICENSE> has been registered on your ASB app. Not you? Please visit,,hf_bengali_sms_smishing_english_smish_0157,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Win TK100,000 prize in 1 minute. Play online quiz at home and win TK100,000 prize. Just answer 3 questions correctly and win TK100,000 prize. Questions will change your life. Just watching is not enough, you have to play. How will you win prize without playing quiz? visit: https://lnkd.in/gmvCtjH7",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00095,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,ncsu_sms_phishing_000865,SMS Phishing Dataset,wspr-ncsu/sms-phishing,hi3   The   account   is   locked   abnormally.   Details:   bit.ly/3wy4GCG,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00910,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"New login detected

[<IP_ADDRESS> - Norfolk Island ] Maxthon

To restore your account click link below:",,smishx_smishing_0177,SmishX,yizhu-joy/SmishX,We sincerely invite you to join our WS exchange group to share and exchange B-T.C together Earn Â¤1000-5000 per day. http://lihi2.cc/rlEbq,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00126,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"IRS-STATEMENT-CLAIM.pdf
PDF Document - 84 <NRP>",,imc25_english_smish_00129,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00175,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.

(Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser)

The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest.",,hf_bengali_sms_smishing_english_smish_0179,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Your passport expired/invalid. Renewal fee 7639 TK: emergency-bank.org/pay,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00985,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"<US_DRIVER_LICENSE> is your Amazon OTP. Do not share it with anyone
If you didnt make this request login to verify below
Otherwise ignore this message.
Amazon Team",,ncsu_sms_phishing_000889,SMS Phishing Dataset,wspr-ncsu/sms-phishing,"Your account has been blocked, in order to unblock your account swiftly please visit : http://service-anzaccount.com",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00273,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"['Amazon: Account data access attempt from <LOCATION>, <LOCATION>. Tap link to respond.', 'Amazon: Sign-in attempt from <LOCATION>, <LOCATION>. Tap link to respond.']",,smishx_smishing_0120,SmishX,yizhu-joy/SmishX,ãå¸çè¹ä»»é£åå¬²ãä¸ ç­ç¥???å¤©ä¸ å±?æ½å¸çè¹??ææ©? åè±ª https://lihi2.cc/IpPZ5,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00467,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,$404 has been deducted from your account for your order ID: '<US_DRIVER_LICENSE>' Which is currently in transit. Contact us if you have any inquiries.,,imc25_english_smish_00380,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear friend, we invite you to join the cryptocurrency internal discussion group. And teaches you how to earn 1000-5000US per day in the cryptocurrency market. Reply ""OK"", Please click on the ""link"" below to join.",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_01165,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"Your delivery has been stopped at our depot.
Trk#: <US_DRIVER_LICENSE>
Please resolve the issue here:",,hf_bengali_sms_smishing_english_smish_0222,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Your Midland Bank foreign remittance on hold. Release: midlandbank-remit.net,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_01216,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,"Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser. The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",,ncsu_sms_phishing_000945,SMS Phishing Dataset,wspr-ncsu/sms-phishing,U S P S / ORDER #154102 Delivery : We need to update your shipping and pay fee for delivery please visit: https://check-my-trackupdate.tabgun.com/,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00712,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,<LOCATION>: You are one of few final selections in our recent prize program & can redeem 1 of 834 rewards for a 1 min survey,,imc25_english_smish_00494,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,i'm really sorry if i'm wasting ur time i just want to ask u for a small help if u don't mind i need this free xbox game pass code from discord gifts if u don't need it 💖,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00718,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"Oomiy: You're invited bestie! Be the first to get access to our <LOCATION>. Use code: 3for89 to get any 3 pieces for $89. Only available on the app. Download link below! Get App exclusive deals, experiences and product launches when you download now!",,hf_bengali_sms_smishing_english_smish_0255,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,"Dear customer, TK25000 has been withdrawn from A/cXXXXX on 31-12-2019 at Kolkata TS ATM.Txn# S32131611-20191005. If not done by you, forward this SMS from your registered mobile number to 7679786941 to block your card or call 7029892098 immediately -State Bank of India",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_01342,Smishing-Dataset-IMC25,Gathered approved smishing 7k,smishing,Congratulation CID#<US_DRIVER_LICENSE> An Exclusive Reward From AT&T is waiting For You Claim it here,,ncsu_sms_phishing_001760,SMS Phishing Dataset,wspr-ncsu/sms-phishing,Your   parceI   is   being   heId   due   to   unpaid   fees.   PIease   visit:   https://redirect2help.com/r/upsheIp-route:5088,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00770,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"IRS: Your account is missing some info that we need to comply with financial regulations, login at <NRP> With idme to keep your account activated

The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service.

IRS team",,imc25_english_smish_00673,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link....",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00781,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"USDT- [tbit99 .com] successfully created new account: manese password: manese663 current balance is <US_DRIVER_LICENSE>.00USDT, please do not share this information with anyone.",,hf_bengali_sms_smishing_english_smish_0264,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,Click here to update Janata Bank account: https://t.me/JanataUpdateBot5,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00830,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.

(Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser)

The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and provide them with the highest quality service.",,ncsu_sms_phishing_001995,SMS Phishing Dataset,wspr-ncsu/sms-phishing,US Postal:The courier tried to deliver and could not find your address. you can re-deliver through the online service. https://cwb-net-account.com,replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
replacement_imc25_english_smish_00857,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,smishing,Your Gas verification code is: <US_DRIVER_LICENSE>,,imc25_english_smish_00736,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"[ I.R.S. ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.",replacement_pool,accepted,replaced_with_strict_raw_candidate,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.
