removed_unified_id,removed_row_position_1based,removed_strong_campaign_family_key,removed_message_raw,removed_reason,replacement_candidate_id,replacement_message_raw,replacement_source_name,replacement_dataset_name,replacement_strong_campaign_family_key,replacement_reason,duplicate_check_status,notes
mishra_004994,4047,rate revsng soon xperience beachside living supertch holiday village xpandabl villas at yamuna xprswaysize <num> <num> sf 27 lac onwrdscall <phone>,Rate Revsng soon.Xperience Beachside Living.Supertch Holiday Village.Xpandabl Villas at Yamuna XprswaySize 1575/2200 sf@27 lac onwrdsCall: 9999060692,weak_or_bad_smishing_signal,ncsu_sms_phishing_017643,951842 Your Account .has been suspended Due to Some security reasons please VERIFY your information Now clik here http://knbfu.store,SMS Phishing Dataset,wspr-ncsu/sms-phishing,<num> your account has been suspended due to some security reasons please verify your information now clik here <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_1023,4746,there s a home listed in your search area homes are moving fast from <phone> clickherenow me ysohesiz,There's a home listed in your search area. Homes are moving fast! From $412 - 569 clickherenow.me/YSOHESIZ,weak_or_bad_smishing_signal,ncsu_sms_phishing_003437,"Your Bendigo account has been debited by an unauthorized transaction in the amount of $573.68. No, you? Visit: bendigo-authenticate.com/",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your bendigo account has been debited by an unauthorized transaction in the amount of <amount> no you visit bendigo authenticate com,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_59,4788,this is the novel coronavirus insurance service based on the current outbreak the premium for covid 19 insurance is <amount> if you are diagnosed with covid 19 you can get a lump sum of <amount> in the case of home isolation or hospital isolation you can get <amount> per day for up to 21 days to consult whatsapp <phone>,"This is the Novel Coronavirus insurance service based on the current outbreak. The premium for COVID-19 insurance is $1,000. If you are diagnosed with COVID-19, you can get a lump sum of $30,000. In the case of home isolation or hospital isolation, you can get $300 per day for up to 21 days to consult Whatsapp:4423798151",weak_or_bad_smishing_signal,imc25_english_smish_12022,"Dear SBI user, your SBI YONO Account has been blocked please verify your PAN CARD click here to login your PAN number: https://sdt.l/TAwcZ",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,dear <name> user your sbi yono account has been blocked please verify your pan card click here to login your pan number <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_406,4816,<token> exposed to unsafewater if you or someone you love were stationed worked or lived for at least 30 days at marine corps base campiejeune prior to <num> you may be entitled to <token> get your nocost consultation by calling <phone>,"TIMESENSITIVENOTICE: Exposed to UnsafeWater? If you or someone you love were stationed, worked, or lived for at least 30 days at Marine Corps Base CAMPIeJEUNE prior to 1988, you may be entitled to significantCOMPENSATION. Get your noCOST-Consultation by calling: 1-833-597-2291",weak_or_bad_smishing_signal,ncsu_sms_phishing_014509,AnPost: Your parcel has an outstanding payment of €1.99. Pay this via: parcel-redirect-service.co or your parcel will be held at the depot,SMS Phishing Dataset,wspr-ncsu/sms-phishing,anpost your parcel has an outstanding payment of <amount> pay this via parcel redirect service co or your parcel will be held at the <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_000271,4987,urgent dear fl1pkart customer we are trying to contact you last weekends draw shows that you w0n a rs <amount> prize guaranteed call <phone> claim code <code> valid 12hrs only,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only.",strong_campaign_family_repeat_exclude,ncsu_sms_phishing_061189,"[email protected] / (TDBank Alert) / Profile on hold, For Security Purposes please verify your existing account now at: https://trimurl.co/KxCWbD?36",SMS Phishing Dataset,wspr-ncsu/sms-phishing,email protected tdbank alert profile on hold for security purposes please verify your existing account now at <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_1266,5156,we ve tried to contact you regarding your failed <amount> eleven use <phone> to reach us <rand>,(We/ve tried to contact you regarding your failed $57.78 @ Eleven) USE +18622898698 to reach us today,weak_or_bad_smishing_signal,ncsu_sms_phishing_017843,"You are eligible for a Tax Refund of 19,057 , click on this link to authenticate your account snackablescience.com/tt/centrelink and receive your refund .",SMS Phishing Dataset,wspr-ncsu/sms-phishing,you are eligible for a tax refund of <amount> click on this link to authenticate your account <token> com tt centrelink and receive your refund,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_002281,5159,we will hold your paytm amount after sometime complete your paytm kyc paytm office ph <phone>,WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 6200992462,weak_or_bad_smishing_signal,ncsu_sms_phishing_008094,ANZ: -Your recent activity associated with your personal account looks suspicious. Please login now to verify account ownership https://security-anz-au.app,SMS Phishing Dataset,wspr-ncsu/sms-phishing,anz your recent activity associated with your personal account looks suspicious please login now to verify account ownership <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
smishtank_404,5416,work part job from home at your leisure this won t disturb you from your current job age 18yrs above employee must of a computer and printer if interested send sms to james <phone> for <rand>,"Work Part-Job From Home at your leisure This Won't disturb you from your current job, Age 18yrs above employee must of a computer and printer..If interested send sms to James +1 (509) 785-6416 for details",weak_or_bad_smishing_signal,ncsu_sms_phishing_001715,[email protected] / Your Account Has Been Locked / CITI_SERVICE #27150: Your account access has been limited due to fraudulent activity. Please visit https://magazinehours.in//?open to unlock your account.,SMS Phishing Dataset,wspr-ncsu/sms-phishing,email protected your account has been locked citi service <num> your account access has been limited due to fraudulent activity please visit <url> to unlock your account,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
mishra_005509,5689,you have an important customer service announcement calnumber <phone> now,You have an important customer service announcement. Calnumber 0800 542 0826 now!,weak_or_bad_smishing_signal,ncsu_sms_phishing_032749,( usdtytrc.com ) Account Login:Rom88 P***word:R66888 Available:,SMS Phishing Dataset,wspr-ncsu/sms-phishing,usdtytrc com account login rom88 p word r66888 available,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
gathered_imc25_english_smish_00382,6153,there s a home listed in your search area homes are moving fast from <phone>,"There's a home listed in your search area. Homes are moving fast!
From $412 - 569",weak_or_bad_smishing_signal,ncsu_sms_phishing_032792,( www.usdtmerc.com )Account Login:Rom88 P***word:R66888 Availabl,SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> account login rom88 p word r66888 <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_imc25_english_smish_02274,6240,dear <name> shadow amount rs <num> marked in your a c xxxxx592658 for ticket no <phone> please contact your home branch for submitting necessary documents sbi,Dear Customer Shadow amount Rs. 69960.00 marked in your a/c XXXXX592658 for ticket no 000000002480934340. Please contact your home branch for submitting necessary documents.- SBI,weak_or_bad_smishing_signal,hf_bengali_sms_smishing_english_smish_0707,Click here to increase your credit card limit: [increasecredit.com/LimitBD],Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,click here to increase your credit card limit increasecredit com limitbd,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_imc25_english_smish_19841,6276,hello i am the management of the company we have passed your job resume application the salary is <phone> per day please contact,"Hello, I am the management of the company, we have passed your job resume application, the salary is 5500-9000 per day. please contact:",weak_or_bad_smishing_signal,hf_bengali_sms_smishing_english_smish_0084,Police case filed against you. Settlement 18263 TK: emergency-bank.org/urgent,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,police case filed against you settlement <num> tk emergency bank org urgent,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_imc25_english_smish_00031,6305,nhs alert we identified you as a contact of someone who recently tested positive for omicron you must book a home test kit per,NHS-ALERT: We identified you as a contact of someone who recently tested positive for Omicron. You must book a home test kit: per-,weak_or_bad_smishing_signal,hf_bengali_sms_smishing_english_smish_0392,Court summons issued. Settle 24817 TK to avoid arrest: urgent-bank.org/urgent,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,court summons issued settle <num> tk to avoid arrest urgent bank org urgent,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_imc25_english_smish_00909,6486,my name is mavis from irs agent will have got some fake delivery driver arrested here with sum of huge amount in their bus will saw your number on the package so i decided to contact you to ask if you know anything about it if truly you re the one send <rand>,"My name is MAVIS from IRS Agent will have got some fake delivery driver arrested here with sum of huge amount in their Bus will saw your number on the package so I decided to contact you to ask if you know anything about it, if truly you’re the one send them..",weak_or_bad_smishing_signal,ncsu_sms_phishing_044962,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <amount> 63,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_imc25_english_smish_02554,6791,you have a package thats need to be delivered but it has been suspended due to and incorrect delivery address,You have a package thats need to be delivered but it has been suspended due to and incorrect delivery address.,weak_or_bad_smishing_signal,ncsu_sms_phishing_032532,"（ usdtytrc.com ） Account Login:Rom88 P***word:R66888 Available:3,965,419.66ÙŠÐТ ![((.",SMS Phishing Dataset,wspr-ncsu/sms-phishing,usdtytrc com account login rom88 p word r66888 available <amount>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
gathered_imc25_english_smish_02440,6845,buy super here target <phone>,Buy super here target .11 .12 .13 .14,weak_or_bad_smishing_signal,ncsu_sms_phishing_032753,"( usdtytrc.com ) Account Login:Rom88 P***word:R66888 Available:3,965,419.66ÙŠÐТ ![((.",SMS Phishing Dataset,wspr-ncsu/sms-phishing,usdtytrc com account login rom88 p word r66888 available <amount>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0024,6997,your cv has passed and you can work from home through your mobile phone and get <amount> daily join now wa me <phone>,"Your CV has passed and you can work from home through your mobile phone and get TK 2,000 daily. Join now: wa.me/8801865655560",weak_or_bad_smishing_signal,ncsu_sms_phishing_044768,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù ,",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <amount> 63,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0048,7022,<num> home loan facility without any deposit approval within 24 hours contact <phone>,100% home loan facility without any deposit. Approval within 24 hours. Contact: 01567546390,weak_or_bad_smishing_signal,ncsu_sms_phishing_044787,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù 】}",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <amount> 63,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0054,7028,<num> scholarship for studying abroad no fee required contact today to apply contact <phone>,100% scholarship for studying abroad. No fee required. Contact today to apply. Contact: 01567546390,weak_or_bad_smishing_signal,ncsu_sms_phishing_044798,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3956025.63Ù .*}*]",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <num> 63,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0116,7056,dxn multinational company is offering high paying jobs with allowances contact urgently <phone>,DXN multinational company is offering high-paying jobs with allowances. Contact urgently 01793251002,weak_or_bad_smishing_signal,ncsu_sms_phishing_044799,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3956025.63Ù ].:):",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <num> 63,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0131,7071,dear <name> you have been selected for an interview with the center enemy leadership on tuesday 04 05 at 9 am 1st floor please contact for inquiry <phone>,"Dear applicant, you have been selected for an interview with the center enemy leadership on Tuesday 04/05 at 9 AM @1st floor. Please contact for inquiry: 09029900659",weak_or_bad_smishing_signal,ncsu_sms_phishing_032535,"（ www.usdtmerc.com ）Account Login:Rom88 P***word:R66888 Available:3,891,660.48ÙŠÐТ ]{).#",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> account login rom88 p word r66888 available <amount>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0142,7076,welcome to cloud colors let s decorate your home easily with installments order online and possibly get it within this month <phone>,"""Welcome to cloud colors! Let's decorate your home easily with installments. Order online and possibly get it within this month - 01746635725""",weak_or_bad_smishing_signal,ncsu_sms_phishing_032559,"（ www.usdtmerc.com ）Account Login:Rom88 P***word:R66888 Available:3,891,660.48ÙŠÐТ =})*/",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> account login rom88 p word r66888 available <amount>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0224,7115,already listed n600k withdraw n600k 7 8 usdt nthose who missed it still have a chance pepe is already listed withdrawing ndon t delay start mining now nhttps t me pepe miner game bot start <phone>,"🔥Already Listed🔥\n600k withdraw ✅💸\n600k = 7.8 usdt 😛\nThose who missed it still have a chance. Pepe🔥🔥 is already listed withdrawing.\nDon't delay, start mining now 🔥\nhttps://t.me/pepe_miner_game_bot?start=5825648889",weak_or_bad_smishing_signal,ncsu_sms_phishing_045092,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3956025.63Ã™ ].:):",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <num> 63 tm,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0261,7132,dear <name> due to coronavirus your 4 200tk stipend is being processed contact education board at <phone> 10am 7 30pm note must have bkash number when calling,"Dear student! Due to Coronavirus, your 4,200TK stipend is being processed. Contact education board at 01813849152 (10am-7:30pm). Note: Must have bKash number when calling.",weak_or_bad_smishing_signal,ncsu_sms_phishing_045093,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3956025.63Ã™ .*}*]",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <num> 63 tm,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
strict_replacement_hf_bengali_sms_smishing_english_smish_0270,7136,build a career as a registered nurse in the uk 2 year work visa with monthly minimum starting salary 3 lakh taka bsb dhaka please contact us <phone> <phone>,"Build a career as a registered nurse in the UK, 2-year work visa with monthly minimum. Starting salary 3 lakh taka BSB, Dhaka Please Contact Us: 01332518402, 01332518406",weak_or_bad_smishing_signal,ncsu_sms_phishing_045094,"[ www.btionh.com ] New login code for your account:Rm81yD, remaining: 3956025.63Ã™ }[/*^",SMS Phishing Dataset,wspr-ncsu/sms-phishing,<url> new login code <code> your account rm81yd remaining <num> 63 tm,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0303,7152,golden opportunity earn tk <phone> daily by doing data entry from home registration fee only <amount> contact with name age city national id number whatsapp <phone>,"Golden opportunity! Earn TK 1000-2000 daily by doing data entry from home. Registration fee only TK 100. Contact with name, age, city, national ID number whatsapp 7602236317",weak_or_bad_smishing_signal,ncsu_sms_phishing_002271,"C1T1: Your payment of $200.99 approved, if this wasn’t you cancel at: https://ko.gl/nihYz",SMS Phishing Dataset,wspr-ncsu/sms-phishing,c1t1 your payment of <amount> approved if this wasn t you cancel at <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0309,7158,earn income by working online through mobile from home monthly income <phone> taka there are opportunities for extra income free income is also available monthly salary is <rand>,"Earn income by working online through mobile from home. #🎯 Monthly income: 20000-30000 taka. (There are opportunities for extra income, free income is also available). Monthly salary is included",weak_or_bad_smishing_signal,ncsu_sms_phishing_002272,"CITI- Your payment of $200.99 approved, if this wasn’t you cancel at: https://ko.gl/nihYz",SMS Phishing Dataset,wspr-ncsu/sms-phishing,citi your payment of <amount> approved if this wasn t you cancel at <url>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0323,7170,5 lakh taka loan guaranteed within 24 hours no deposit or brokerage apply today contact <phone>,5 lakh taka loan guaranteed within 24 hours. No deposit or brokerage. Apply today. Contact: 01867546389,weak_or_bad_smishing_signal,ncsu_sms_phishing_008932,Hello. Last call regarding your balance. Please make a withdraw tonight obizeje.com/BL9gNkq,SMS Phishing Dataset,wspr-ncsu/sms-phishing,hello last call regarding your balance please make a withdraw tonight obizeje com bl9gnkq,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0333,7180,just having a mobile you can also earn at least tk <phone> per month for details <phone>,Just having a mobile you can also earn at least TK 15000-20000 per month. For details 01783627284,weak_or_bad_smishing_signal,ncsu_sms_phishing_005802,"To restore access back to your account, please visit: bendigo-accountsecurity.com REF ID: 1283",SMS Phishing Dataset,wspr-ncsu/sms-phishing,to restore access back to your account please visit bendigo accountsecurity com ref id <num>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0360,7189,your job application has been approved and salary is <amount> per month contact information <phone>,Your job application has been approved and salary is TK40000 per month. Contact information: 8801715717370,weak_or_bad_smishing_signal,ncsu_sms_phishing_016424,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT (",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0381,7202,get malaysian european american canadian visa with <num> guarantee contact today <phone> no advance fee required,"Get Malaysian, European, American, Canadian visa with 100% guarantee, contact today 01765433422, no advance fee required.",weak_or_bad_smishing_signal,ncsu_sms_phishing_016425,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT #",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> usdt,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0388,7207,you can earn 20 to 30 thousand per month ncontact number <phone>,You can earn 20 to 30 thousand per month 🌺\nContact number 01761693374 💢,weak_or_bad_smishing_signal,ncsu_sms_phishing_016426,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT &",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> usdt,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0391,7210,agora congratulations your march bill has been paid thank you here is a small gift for you contact us <phone>,"Agora: Congratulations!! Your March bill has been paid. Thank you, here is a small gift for you. Contact us: 01456783489",weak_or_bad_smishing_signal,ncsu_sms_phishing_016428,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT }",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0401,7216,work for our company earn online sitting with your mobile computer contact number <phone>,Work for our company. Earn online sitting with your mobile/computer. Contact number: 01720577099,weak_or_bad_smishing_signal,ncsu_sms_phishing_016430,"Your USDTCOIN Access [ usdqerc.com ] Username:Mak88 Login code:mk1689 Balance:1,654,293.49 USDT 】",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your usdtcoin access usdqerc com username mak88 login code <code> balance <amount> <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0441,7229,for stipend of <num> tk contact <phone> education <rand>,For stipend of 4200 TK contact: 01320660547 Education Board,weak_or_bad_smishing_signal,ncsu_sms_phishing_017852,"Your account is linked to government for security reason, Click here virkunarzn.ga/mygov/ to login",SMS Phishing Dataset,wspr-ncsu/sms-phishing,your account is linked to government for security reason click here virkunarzn ga mygov to <rand>,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
replacement_hf_bengali_sms_smishing_english_smish_0449,7232,your basic sustainability includes cambridge university application fee waiver contact today to fulfill your dream of studying <phone>,Your basic sustainability includes Cambridge University application fee waiver! Contact today to fulfill your dream of studying - 01746635725,weak_or_bad_smishing_signal,ncsu_sms_phishing_058467,"New COIN~Login || www.usdtjerc.com || Username:Rom88 P***word:R66888 Balance:3,862,587.65 ~~~ B***p",SMS Phishing Dataset,wspr-ncsu/sms-phishing,new coin login <url> username rom88 p word r66888 balance <amount> b p,accepted,accepted,Raw-available SMS-like smishing replacement accepted under strong family cap.
