id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
smishx_smishing_0044,SmishX,yizhu-joy/SmishX,"[Postal Service] Your delivery address is incorrect and we cannot deliver it, please update the delivery address timely. <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0046,SmishX,yizhu-joy/SmishX,[US POSTAL] Your package is ready for delivery. Confirm your address to avoid returns: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0047,SmishX,yizhu-joy/SmishX,"YOUR MOBILE NUMBER HAS WON 3.6 CRORE FROM SAMSUNG UK AWARD TO RECEIVE YOUR PRIZE,SEND UR NAME, MOBILE,N0,ADDRES, AGE,SEX, OCCUP TO�<EMAIL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=0; if_phone=0; if_email=1. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0054,SmishX,yizhu-joy/SmishX,ska6.cz / U-S-P-S ID <OTP> / We could not find the correct info provided for your item: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0056,SmishX,yizhu-joy/SmishX,<URL> / U-S-P-S ID <OTP> / Your item was not found. <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0057,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / Notice / We did not find your address, please update it: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0060,SmishX,yizhu-joy/SmishX,[emailÂ protected]m / TDMobileAlert ID#<OTP> / TD Bank Validate Your Login: <URL> ID#19,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0063,SmishX,yizhu-joy/SmishX,"[POSTNORD] Grundet din pakkestÃ¸rrelse 39 cm, og vÃ¦gt 2,27 kg, skal der opkrÃ¦ves gebyrer pÃ¥ 22,24 kr. fÃ¸r levering af din pakke :<URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0072,SmishX,yizhu-joy/SmishX,Online#<EMAIL> / TD#(URGENT)#ID2314 / TD#ID14-(URGENT)Access-Locked.please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0074,SmishX,yizhu-joy/SmishX,Alert#<EMAIL> / TD#Alerts#ID13136 / TD#ID31-(URGENT) Access-Locked. please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0092,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / (FirstHorizon-ID#<OTP>) / (ONLINE-Verification),click the following link to confirm your account: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0093,SmishX,yizhu-joy/SmishX,[emailÂ protected] / U-S-P-S ID <OTP> / Your item was not found. <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0097,SmishX,yizhu-joy/SmishX,TD##[emailÂ protected] / (URGENT) TD#ID03654 / TD Bank#36-(URGENT) Access-Locked. Recover your access by clicking: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0101,SmishX,yizhu-joy/SmishX,<EMAIL> / U-S-P-S ID <OTP> / We could not find the correct info provided for your item: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0102,SmishX,yizhu-joy/SmishX,"[Netflix ] Your Netflix membership has been ended, because we're having some trouble with your current account information. Validate your account information by click link bellow: <URL> Best Regards, The Netflix team 12:25 PM",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0106,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / (Mobile and OnIine Banking) / Unlook your account, use the blew link, <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0107,SmishX,yizhu-joy/SmishX,"D.H.L Du har en uppdatering pÃ¥ ditt paket, betala de nÃ¶dvÃ¤ndiga avgifterna sÃ¥ att vi kan fortsÃ¤tta med leveransen: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0109,SmishX,yizhu-joy/SmishX,"Mattias, spinnaa itsesi pelien Ã¤Ã¤relle, kun 100% Bonus, jopa 200 ? asti 200 Ilmaiskierrosta odottavat sinua talletuksen yhteydessÃ¤! <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0115,SmishX,yizhu-joy/SmishX,800-951-8418TD#<EMAIL> / (URGENT) TD#ID00914 / TD Bank#09-(URGENT) Access-Locked. Recover your access by clicking: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0121,SmishX,yizhu-joy/SmishX,[emailÂ protected] / TD#Alerts#ID13454 / TD#ID34-(URGENT) Access-Locked. please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0124,SmishX,yizhu-joy/SmishX,"Hi,???????? Laura,?????????????? ??TG:<URL> 30hh629",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: exceeds strict punctuation/symbol density. confidence=high
smishx_smishing_0130,SmishX,yizhu-joy/SmishX,[M&T]: Account has been suspended for new activity detection. KindIy verify your acc. here <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0137,SmishX,yizhu-joy/SmishX,"/ Notice / We did not find your address, please update it: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0144,SmishX,yizhu-joy/SmishX,[N.E.T.F.L.l.X] : Update your biIIing to continue using our services by visiting here <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0156,SmishX,yizhu-joy/SmishX,"Instagram Hello,Someone tried to log into your Instagram account. If it was you,please confirm your iden***y:Â Click on the link <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0165,SmishX,yizhu-joy/SmishX,800-951-8418TD#<EMAIL> / (URGENT) TD#ID01315 / TD Bank#13-(URGENT) Access-Locked. Recover your access by clicking: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=1; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0168,SmishX,yizhu-joy/SmishX,"[GCASH Notice]You've got a PHP200.00, can redeem [Points for game gold]Register>Login>Redeem in 3 easy steps, please click: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0173,SmishX,yizhu-joy/SmishX,[US POSTAL] Your package has reached our sorting center and is waiting for delivery. Confirm your address to avoid returns: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0174,SmishX,yizhu-joy/SmishX,Support#<EMAIL> / TD#(URGENT)#ID232315 / TD#ID23-Access-Locked.please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0181,SmishX,yizhu-joy/SmishX,"ID#[emailÂ protected] / (URGENT) CaseID#TD15 / Access-Locked. Please,Validate By clicking the following link: <URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0185,SmishX,yizhu-joy/SmishX,[emailÂ protected] / no subject / We could not find the correct info provided for your item: <URL> Y,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0195,SmishX,yizhu-joy/SmishX,Alerts#<EMAIL> / TD#Alerts#ID14752 / TD#ID47-(URGENT) Access-Locked. please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0201,SmishX,yizhu-joy/SmishX,"Hello,Someone tried to log into your Instagram account. If it was you,please confirm your iden***y:Â Click on the link <URL> Instag",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0204,SmishX,yizhu-joy/SmishX,[emailÂ protected] / TD#Alerts#ID11730 / TD#ID17-(URGENT) Access-Locked. please follow the verification form: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0217,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / Secure message from TD / Use the bleow url to regarding your account, (<URL>",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0221,SmishX,yizhu-joy/SmishX,/ U-S-P-S ID <OTP> / We could not find the correct info provided for your item: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0223,SmishX,yizhu-joy/SmishX,/ no subject / We could not find the correct info provided for your item: <URL> Y,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains dense alert/token formatting. confidence=high
smishx_smishing_0228,SmishX,yizhu-joy/SmishX,bdTMxMfOic Din betalingsmetode blev afvist. Opdater nu for at undgÃ¥ suspension af tjenester: <URL> An error occurred <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0235,SmishX,yizhu-joy/SmishX,[emailÂ protected] / no subject / Your item was not found. <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0237,SmishX,yizhu-joy/SmishX,"[emailÂ protected] / ""WFAlert-ID#<OTP>"" / We now need to confirm some of your information: <URL> Thank You",smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
smishx_smishing_0243,SmishX,yizhu-joy/SmishX,TD##[emailÂ protected] / (URGENT) TD#ID05121 / TD Bank#51-(URGENT) Access-Locked. Recover your access by clicking: <URL>,smishing,needs_review,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; SmishX row failed strict approval cleanup: contains mojibake or encoding artifacts. confidence=high
imc25_english_smish_00021,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"RoyalMail: Sorry you have not accepted the 2.99 (GBP), Choose another delivery date: https:// $code <OTP> bata AC 1eh se AeA)",smishing,needs_review,delivery,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: royalmail. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high | round2_english_readability_cleanup 2026-05-07: needs_review; Removed from approved set by strict English/readability cleanup; IMC25 row failed strict approval cleanup: contains dense alert/token formatting. confidence=high"
