id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
imc25_english_smish_05305,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Due to a security incident your UnionBank account has been secured and access has been restricted. To regain access please visit: <NAMED_ENTITY>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: unionbank. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03412,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your hdfc Bank account will be suspended Please click on the link to update your pan card,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: HDFC Bank. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02724,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear SBI Yono Users Your A/ C will be Blocked Today Please Click on The link to Update Your Pan card,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03100,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,<IP_ADDRESS>OFFICIAL REQUEST SARS has Issued demand which requires your intimidate attention. Click <URL> To Review your TAX REFUNDS,smishing,approved,government,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: sars. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04176,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your S.B.I Netbanking A/C will be Blocked by <DATE_TIME> please update PAN Card click here link,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03716,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,LinKt reminder: Please pay your toll bill $6.95 ASAP. Click <URL> for details.,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03957,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer SBI CREDIT Card Rewards coins <OTP> will expired <DATE_TIME> Please convert coins in cash here <URL> SSRP,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00458,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,UPS: <US_DRIVER_LICENSE> is subject to customs duties. Please visit <URL> to arrange for return shipment.,smishing,approved,delivery,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: UPS. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01413,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your Citi Bank Online ID was locked up due to suspicious account use. Please update your informations from link below,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Citi. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00473,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Please click here to pay at <URL> <URL>,smishing,approved,others,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_03560,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer Your Electricity power will be disconnected. <DATE_TIME> at <DATE_TIME>. because your <DATE_TIME> bill not update. Please contact our officer <PHONE_NUMBER>,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: electricity company. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01136,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"You can earn <OTP>+ B_T_C investment <DATE_TIME>, come and join us: <URL>",smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_02098,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,I'm <NAMED_ENTITY>. Hope you still have this house available on facebook because i really want it so bad! https,smishing,approved,wrong number,English,unique,Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_01653,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Application from: KJN468 - Status: Completed, check results: <URL>",smishing,approved,others,English,unique,Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_08349,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,We've noticed you've not used the replacement debit card we sent you recently. If you've not received it please call us on <DATE_TIME> so we can help,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: distraction,time/urgency. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03869,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,NETFLIX : Due to our new policy we need all Netflix users to update their billing informations in <DATE_TIME> to keep their account active and allow account sharing on multiple devices.,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Netflix. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04863,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,The <NAMED_ENTITY> is <DATE_TIME> for EUR <OTP>.00 txn at Kesko Senukai LT on your card <OTP>. Do not share OTP <OTP> anyone. Call <PHONE_NUMBER> if not requested by you.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08600,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Transaction at <URL> Amsterdam NLD on <DATE_TIME> declined on your Credit card ending <DATE_TIME> due to invalid expiry date entry. Retry with valid expiry date,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. Named entity tag: Netflix. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08193,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Rs <OTP> w/d at SBI ATM S5NA007895621 BAWANA,<LOCATION> cx2637on22/<DATE_TIME>.Txn#<OTP>.Avl <NAMED_ENTITY> not done by you, forward this SMS from mobile number registered with SBI to <PHONE_NUMBER> to block your card. You may also call <URL> YONO @ <URL>",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: distraction,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08442,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Dear Customer your A.T.M Card has been BL0CKED, please apply for a new secured E.V.M-CHIP based ATM Card call = <PHONE_NUMBER>, <DATE_TIME>,",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01312,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Package No. 368574983EE couldn't deliver due to misinformation on your street number, please follow <URL> to make correction. Thanks",smishing,approved,delivery,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_00996,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Your Netflix membership has been ended, because we're having some trouble with your current account information. Validate your account information by click link bellow: <URL> Best Regards, The Netflix team",smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Netflix. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03558,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer your Paytm wallet account has been block <DATE_TIME> please Update your Pancard immediately follow the link <URL> thank you,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Paytm. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02649,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Hi. Transaction successfully done of Rs.<OTP> to your Rummy A/C. Click <URL> to withdraw it Now. ADSPL,smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_03159,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer your Paytm 'Account will be suspended by <DATE_TIME> please.Update your. PANCARD Click here link~,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Paytm. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_05629,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,ATO Notice: We need to verify the claims in your recent <PHONE> kindly verify your amendment via the myGov link,smishing,approved,government,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: ato. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02318,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer Your MTNL Sim KYC has been suspended. Your sim card will be blocked within <DATE_TIME>. Call Immediately,smishing,approved,telecom,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: MTN. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00843,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"I am at my boys home Just trying h0t positions, wanna see? Access here: <URL>",smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_03270,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your FNB Bank Account is not updated on the server Click -><URL> & Update your Account to avoid Server Block in <DATE_TIME>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: fnb. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_05851,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,DEAR SBI USER Your A/C has been blocked <DATE_TIME>. Update PANCARD for KYC with login netbanking click here link <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02712,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Hi INR <US_DRIVER_LICENSE> was successfully credited to your A/c No xxxx62733. Verify your detail to get the amount in your bank a/c,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01939,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Thanks for signing up for text alerts. Please click on the link for more information. Terms of Use & Privacy Policy: <URL> Message and data rates may apply. Message frequency varies. Text HELP for help. Text STOP to cancel.,smishing,approved,others,English,unique,Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_01625,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"T-MOB: Here is your Black Friday giveaway to show ""thank you"" for your outstanding payment history. Congrats! <URL>",smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. Named entity tag: T-Mobile. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00675,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Burger King: Reply YES for recurring autodialed texts, consent not req'd for purchase. Terms apply: <URL> Msg&DataRatesMayApply. Text STOP to stop.",smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. Named entity tag: burger king. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_00490,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"NETFLIX: Your last payment was declined, please confirm your payment information or your account will be suspended:",smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: Netflix. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01045,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Last reminder! The iPad Pro you won from <DATE_TIME> Giveaway was not yet claimed! Claim it here <URL> D You got <DATE_TIME> left!,smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08088,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Confirmed. You have received Ksh 17,500 from <NAMED_ENTITY>. New M-PESA balance Ksh(LOCKED). Pay bills via M-PESA.",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed. Named entity tag: m-pesa. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_00955,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"Hello, would you kindly permit the ASHOC ENERGY DRINK 10 inch logo or sticker on your bike, car, or truck, and make $700 <DATE_TIME>. follow <URL> THANKS BEST REGARD",smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: need and greed. Named entity tag: ashoc energy drink. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
smishx_smishing_0134,SmishX,yizhu-joy/SmishX,"FRM:Unit-VJKXU SUBJ:CS_ID: <PHONE> MSG: Your shipment <OTP> could not be delivered. To reschedule, continue below:<URL>",smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
imc25_english_smish_07419,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,ONE MOTORING - You have entered the blacklist investigation period please process your unpaid toll within <DATE_TIME> after receiving the SMS <URL>,smishing,approved,others,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: one motoring. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04460,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer Your Sbi account has been Blocked <DATE_TIME> Please Update your PanCard kyc click on the link,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_05771,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Absa Fraud Alert: Dear M PELSER we detected a suspicious transaction on your <NAMED_ENTITY> card ending in on <DATE_TIME> at GAP WESTERN UNION BEL for <US_DRIVER_LICENSE>.49. If this is fraud please reply 1 (Yes). If this is not fraud please reply 2 (No).Auth FSP.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: absa. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02832,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,YON0 your A/C Will be Hold Some <DATE_TIME>. please update your PAN CARD Click here,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04261,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,FNB:-)Dear Client Your Fnb account is not updated on our <OTP> server and will be blocked in <DATE_TIME>. Tap:,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: fnb. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01223,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"chase mobile- online access locked! due to multiple failed attempts of wire transfer from ip(<PHONE>), please identify your details at <URL> to unlock.",smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: chase. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01219,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,<NAMED_ENTITY>: ⏳ Time is ticking. See this before it's gone. <URL> - Reply STOP to unsubscribe,smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04725,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Cardholder you can convert eligible transaction(s) done with your SBI Credit Card into <LOCATION> EMIs. Click <URL>,smishing,approved,banking,English,unique,Imported from IMC25 English-only smishing corpus. Lure principles: authority. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_02120,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,BDO ALERT Your online access is suspended momentarily. To reactivate register your device.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: bdo. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04934,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear Customer your SBI Account YONO and net banking will be Suspend today Please <NAMED_ENTITY> now click here <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04979,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,WARNING: Your BDO Account has been detected with fraudulent activities. Reset your account now: <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: bdo. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_04598,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your SBI NET BANKING Account will be Suspended by <DATE_TIME> please updates Your Pancard now visit the <URL> team SBI,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01419,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Claim Your Reward with The best favorite welcome bonus 400% WELCOME BONUS + Up to $<OTP>.00 FREE WELCOME CASINO PACKAGE EXCLUSIVELY FOR YOU!,smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02625,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your SBI bank account has been suspended for KYC. Please complete your KYC click here link <URL> SBI TEAM,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08226,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear customer your KOTAK DEBIT CARD point worth Rs <OTP> expired by <DATE_TIME>. Kindly convert your points into cash by click here <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,need and greed,time/urgency. Named entity tag: Kotak Mahindra Bank. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_07898,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Hay 9 Transaction successfully done of Rs.<OTP> to your Rummy A/C. Click <URL>ine/220ksl!8l to withdraw it Now.,smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08313,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your account may be suspended and requires additional verification. <URL>,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: westpac. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
