cluster_signature,cluster_size,id,source_name,review_status,message_clean
placeholder ount login rom88 word r66888 avai1lable number number number,1753,ncsu_sms_phishing_032679,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ -,(}%"
placeholder ount login rom88 word r66888 avai1lable number number number,1753,ncsu_sms_phishing_032681,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ -}=/-"
placeholder ount login rom88 word r66888 avai1lable number number number,1753,ncsu_sms_phishing_032685,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ *}#【^"
placeholder ount login rom88 word r66888 avai1lable number number number,1753,ncsu_sms_phishing_032687,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ .-&]*"
placeholder ount login rom88 word r66888 avai1lable number number number,1753,ncsu_sms_phishing_032690,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ {-}:^"
new rhry l0gin placeholder username rom88 word r66888 all number number number,1452,ncsu_sms_phishing_024425,SMS Phishing Dataset,candidate,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ *@】)="
new rhry l0gin placeholder username rom88 word r66888 all number number number,1452,ncsu_sms_phishing_024427,SMS Phishing Dataset,candidate,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ 】&.]]"
new rhry l0gin placeholder username rom88 word r66888 all number number number,1452,ncsu_sms_phishing_024428,SMS Phishing Dataset,candidate,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ ({^##"
new rhry l0gin placeholder username rom88 word r66888 all number number number,1452,ncsu_sms_phishing_024432,SMS Phishing Dataset,candidate,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ )%=*】"
new rhry l0gin placeholder username rom88 word r66888 all number number number,1452,ncsu_sms_phishing_024434,SMS Phishing Dataset,candidate,"New RHRY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,883,627.59ÙŠÐТ ,]*【*"
placeholder dear lisa the account has been reset for you the new login code placeholder remaining value number,1191,ncsu_sms_phishing_049865,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,187.78 ~~~ OaAfp"
placeholder dear lisa the account has been reset for you the new login code placeholder remaining value number,1191,ncsu_sms_phishing_049866,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,187.78 ~~~ flNaZ"
placeholder dear lisa the account has been reset for you the new login code placeholder remaining value number,1191,ncsu_sms_phishing_049867,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,187.78 ~~~ FAKTs"
placeholder dear lisa the account has been reset for you the new login code placeholder remaining value number,1191,ncsu_sms_phishing_049868,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,187.78 ~~~ bSDpB"
placeholder dear lisa the account has been reset for you the new login code placeholder remaining value number,1191,ncsu_sms_phishing_049871,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remaining value 3,834,187.78 ~~~ utZGg"
new trxm l0gin placeholder you login code placeholder total number number number,993,ncsu_sms_phishing_026648,SMS Phishing Dataset,candidate,"New TRXM L0gin || <URL> || You Login code: <OTP> Total: 3,853,40.73ÙŠÐТ (/,&!"
new trxm l0gin placeholder you login code placeholder total number number number,993,ncsu_sms_phishing_026656,SMS Phishing Dataset,candidate,"New TRXM L0gin || <URL> || You Login code: <OTP> Total: 3,853,40.73ÙŠÐТ )【*(^"
new trxm l0gin placeholder you login code placeholder total number number number,993,ncsu_sms_phishing_026657,SMS Phishing Dataset,candidate,"New TRXM L0gin || <URL> || You Login code: <OTP> Total: 3,853,40.73ÙŠÐТ ,*#*#"
new trxm l0gin placeholder you login code placeholder total number number number,993,ncsu_sms_phishing_026658,SMS Phishing Dataset,candidate,"New TRXM L0gin || <URL> || You Login code: <OTP> Total: 3,853,40.73ÙŠÐТ *:(:#"
new trxm l0gin placeholder you login code placeholder total number number number,993,ncsu_sms_phishing_026660,SMS Phishing Dataset,candidate,"New TRXM L0gin || <URL> || You Login code: <OTP> Total: 3,853,40.73ÙŠÐТ /.(/-"
new ktrc l0gin placeholder username rom88 word r66888 all number number number,899,ncsu_sms_phishing_017913,SMS Phishing Dataset,candidate,"New KTRC L0gin 【<URL> 】 Username:Rom88 P***word:R66888 all:6,926,328.69ÙŠÐТ 】"
new ktrc l0gin placeholder username rom88 word r66888 all number number number,899,ncsu_sms_phishing_017914,SMS Phishing Dataset,candidate,"New KTRC L0gin ã€�<URL> ã€‘ Username:Rom88 P***word:R66888 all:6,926,328.69Ã™Å Ã�Ğ¢ ,"
new ktrc l0gin placeholder username rom88 word r66888 all number number number,899,ncsu_sms_phishing_020792,SMS Phishing Dataset,candidate,"New KTRC L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,862,139.29ÙŠÐТ *,}】["
new ktrc l0gin placeholder username rom88 word r66888 all number number number,899,ncsu_sms_phishing_020796,SMS Phishing Dataset,candidate,"New KTRC L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,862,139.29ÙŠÐТ ][::["
new ktrc l0gin placeholder username rom88 word r66888 all number number number,899,ncsu_sms_phishing_020800,SMS Phishing Dataset,candidate,"New KTRC L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,862,139.29ÙŠÐТ {}}%%"
placeholder dear lisa the account has been reset for you the new login code number remainingvalue number number,792,ncsu_sms_phishing_040698,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 】&*)("
placeholder dear lisa the account has been reset for you the new login code number remainingvalue number number,792,ncsu_sms_phishing_040699,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 】*^】#"
placeholder dear lisa the account has been reset for you the new login code number remainingvalue number number,792,ncsu_sms_phishing_040711,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 【}^(("
placeholder dear lisa the account has been reset for you the new login code number remainingvalue number number,792,ncsu_sms_phishing_040712,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 [【}:/"
placeholder dear lisa the account has been reset for you the new login code number remainingvalue number number,792,ncsu_sms_phishing_040713,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remainingvalue 3,852,287.99 &^{{】"
new mzya l0gin placeholder username rom88 word r66888 all number number number,458,ncsu_sms_phishing_023047,SMS Phishing Dataset,candidate,"New MZYA L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,836,627.32ÙŠÐТ {--]#"
new mzya l0gin placeholder username rom88 word r66888 all number number number,458,ncsu_sms_phishing_023048,SMS Phishing Dataset,candidate,"New MZYA L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,836,627.32ÙŠÐТ -^)%("
new mzya l0gin placeholder username rom88 word r66888 all number number number,458,ncsu_sms_phishing_023049,SMS Phishing Dataset,candidate,"New MZYA L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,836,627.32ÙŠÐТ ^-^//"
new mzya l0gin placeholder username rom88 word r66888 all number number number,458,ncsu_sms_phishing_023050,SMS Phishing Dataset,candidate,"New MZYA L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,836,627.32ÙŠÐТ @])/["
new mzya l0gin placeholder username rom88 word r66888 all number number number,458,ncsu_sms_phishing_023051,SMS Phishing Dataset,candidate,"New MZYA L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,836,627.32ÙŠÐТ {,(^["
new dhny l0gin placeholder username rom88 word r66888 all number number number,381,ncsu_sms_phishing_018862,SMS Phishing Dataset,candidate,"New DHNY L0gin 【 <URL> Username:Rom88 P***word:R66888 all:3,988,034.50ÙŠÐТ #^=^#"
new dhny l0gin placeholder username rom88 word r66888 all number number number,381,ncsu_sms_phishing_018866,SMS Phishing Dataset,candidate,"New DHNY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,988,034.50ÙŠÐТ ,*!#("
new dhny l0gin placeholder username rom88 word r66888 all number number number,381,ncsu_sms_phishing_018867,SMS Phishing Dataset,candidate,"New DHNY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,988,034.50ÙŠÐТ &^]@%"
new dhny l0gin placeholder username rom88 word r66888 all number number number,381,ncsu_sms_phishing_018871,SMS Phishing Dataset,candidate,"New DHNY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,988,034.50ÙŠÐТ ]{*^-"
new dhny l0gin placeholder username rom88 word r66888 all number number number,381,ncsu_sms_phishing_018872,SMS Phishing Dataset,candidate,"New DHNY L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,988,034.50ÙŠÐТ [【]]:"
new ijgf l0gin placeholder username rom88 word r66888 all number number number,369,ncsu_sms_phishing_018877,SMS Phishing Dataset,candidate,"New IJGF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,830,529.43ÙŠÐТ %}:(/"
new ijgf l0gin placeholder username rom88 word r66888 all number number number,369,ncsu_sms_phishing_018886,SMS Phishing Dataset,candidate,"New IJGF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,830,529.43ÙŠÐТ 【-%*【"
new ijgf l0gin placeholder username rom88 word r66888 all number number number,369,ncsu_sms_phishing_018898,SMS Phishing Dataset,candidate,"New IJGF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,830,529.43ÙŠÐТ %@@"
new ijgf l0gin placeholder username rom88 word r66888 all number number number,369,ncsu_sms_phishing_018901,SMS Phishing Dataset,candidate,"New IJGF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,830,529.43ÙŠÐТ (,({:"
new ijgf l0gin placeholder username rom88 word r66888 all number number number,369,ncsu_sms_phishing_018905,SMS Phishing Dataset,candidate,"New IJGF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,830,529.43ÙŠÐТ 【】[@]"
l0gin placeholder you login code placeholder total number number number,342,ncsu_sms_phishing_035906,SMS Phishing Dataset,candidate,"L0gin { <URL> }You Login code: <OTP> Total: 3,982,615.80Ù Š Ð Т ]/&*!"
l0gin placeholder you login code placeholder total number number number,342,ncsu_sms_phishing_035925,SMS Phishing Dataset,candidate,"L0gin （ <URL> ） You Login code: <OTP> Total: 3,879,651.48Ù Š Ð Т :%]%^"
l0gin placeholder you login code placeholder total number number number,342,ncsu_sms_phishing_035931,SMS Phishing Dataset,candidate,"L0gin { <URL> }You Login code: <OTP> Total: 3,982,615.80Ù Š Ð Т !!^&."
l0gin placeholder you login code placeholder total number number number,342,ncsu_sms_phishing_035933,SMS Phishing Dataset,candidate,"L0gin { <URL> }You Login code: <OTP> Total: 3,982,615.80Ù Š Ð Т .=/&}"
l0gin placeholder you login code placeholder total number number number,342,ncsu_sms_phishing_035935,SMS Phishing Dataset,candidate,"L0gin （ <URL> ） You Login code: <OTP> Total: 3,879,651.48Ù Š Ð Т #}.*."
new vtrc l0gin placeholder you login code placeholder total number number number,339,ncsu_sms_phishing_032083,SMS Phishing Dataset,candidate,"New VTRC L0gin || <URL> || You Login code: <OTP> Total: 3,880,037.54ÙŠÐТ @-]@,"
new vtrc l0gin placeholder you login code placeholder total number number number,339,ncsu_sms_phishing_032093,SMS Phishing Dataset,candidate,"New VTRC L0gin || <URL> || You Login code: <OTP> Total: 3,880,037.54ÙŠÐТ ]!.^)"
new vtrc l0gin placeholder you login code placeholder total number number number,339,ncsu_sms_phishing_032097,SMS Phishing Dataset,candidate,"New VTRC L0gin || <URL> || You Login code: <OTP> Total: 3,880,037.54ÙŠÐТ #【[*="
new vtrc l0gin placeholder you login code placeholder total number number number,339,ncsu_sms_phishing_032153,SMS Phishing Dataset,candidate,"New VTRC L0gin || <URL> || You Login code: <OTP> Total: 3,880,037.54ÙŠÐТ ^【&^/"
new vtrc l0gin placeholder you login code placeholder total number number number,339,ncsu_sms_phishing_032223,SMS Phishing Dataset,candidate,"New VTRC L0gin || <URL> || You Login code: <OTP> Total: 3,880,037.54ÙŠÐТ ),)@%"
new kerc l0gin placeholder you login code placeholder total number number number,330,ncsu_sms_phishing_032079,SMS Phishing Dataset,candidate,"New KERC L0gin || <URL> || You Login code: <OTP> Total: 3,936,438.26ÙŠÐТ --#.【"
new kerc l0gin placeholder you login code placeholder total number number number,330,ncsu_sms_phishing_032087,SMS Phishing Dataset,candidate,"New KERC L0gin || <URL> || You Login code: <OTP> Total: 3,936,438.26ÙŠÐТ /[(}^"
new kerc l0gin placeholder you login code placeholder total number number number,330,ncsu_sms_phishing_032121,SMS Phishing Dataset,candidate,"New KERC L0gin || <URL> || You Login code: <OTP> Total: 3,936,438.26ÙŠÐТ :],@."
new kerc l0gin placeholder you login code placeholder total number number number,330,ncsu_sms_phishing_032161,SMS Phishing Dataset,candidate,"New KERC L0gin || <URL> || You Login code: <OTP> Total: 3,936,438.26ÙŠÐТ ,^/,="
new kerc l0gin placeholder you login code placeholder total number number number,330,ncsu_sms_phishing_032176,SMS Phishing Dataset,candidate,"New KERC L0gin || <URL> || You Login code: <OTP> Total: 3,936,438.26ÙŠÐТ .*#】*"
new bitoim l0gin placeholder username rom88 word r66888 ba1ance number number number,291,ncsu_sms_phishing_024596,SMS Phishing Dataset,candidate,"New Bitoim L0gin : 【 <URL> 】 Username:Rom88 P***word:R66888 Ba1ance: 3,926,850.62ÙŠÐТ )【-:-"
new bitoim l0gin placeholder username rom88 word r66888 ba1ance number number number,291,ncsu_sms_phishing_024597,SMS Phishing Dataset,candidate,"New Bitoim L0gin : 【 <URL> 】 Username:Rom88 P***word:R66888 Ba1ance: 3,926,850.62ÙŠÐТ ,*{)("
new bitoim l0gin placeholder username rom88 word r66888 ba1ance number number number,291,ncsu_sms_phishing_024604,SMS Phishing Dataset,candidate,"New Bitoim L0gin : 【 <URL> 】 Username:Rom88 P***word:R66888 Ba1ance: 3,926,850.62ÙŠÐТ //=)["
new bitoim l0gin placeholder username rom88 word r66888 ba1ance number number number,291,ncsu_sms_phishing_024605,SMS Phishing Dataset,candidate,"New Bitoim L0gin : 【 <URL> 】 Username:Rom88 P***word:R66888 Ba1ance: 3,926,850.62ÙŠÐТ /-}#!"
new bitoim l0gin placeholder username rom88 word r66888 ba1ance number number number,291,ncsu_sms_phishing_024606,SMS Phishing Dataset,candidate,"New Bitoim L0gin : 【 <URL> 】 Username:Rom88 P***word:R66888 Ba1ance: 3,926,850.62ÙŠÐТ :=[&."
new vhjf l0gin placeholder username rom88 word r66888 all number number number,187,ncsu_sms_phishing_018058,SMS Phishing Dataset,candidate,"New VHJF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,952,438.22ÙŠÐТ (.},="
new vhjf l0gin placeholder username rom88 word r66888 all number number number,187,ncsu_sms_phishing_018061,SMS Phishing Dataset,candidate,"New VHJF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,952,438.22ÙŠÐТ *,].!"
new vhjf l0gin placeholder username rom88 word r66888 all number number number,187,ncsu_sms_phishing_018062,SMS Phishing Dataset,candidate,"New VHJF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,952,438.22ÙŠÐТ !#:[】"
new vhjf l0gin placeholder username rom88 word r66888 all number number number,187,ncsu_sms_phishing_018063,SMS Phishing Dataset,candidate,"New VHJF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,952,438.22ÙŠÐТ (*/):"
new vhjf l0gin placeholder username rom88 word r66888 all number number number,187,ncsu_sms_phishing_018064,SMS Phishing Dataset,candidate,"New VHJF L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,952,438.22ÙŠÐТ 【*]#,"
new kmgz l0gin placeholder username rom88 word r66888 all number number number,173,ncsu_sms_phishing_018057,SMS Phishing Dataset,candidate,"New KMGZ L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,837,506.78ÙŠÐТ .)@-*"
new kmgz l0gin placeholder username rom88 word r66888 all number number number,173,ncsu_sms_phishing_018059,SMS Phishing Dataset,candidate,"New KMGZ L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,837,506.78ÙŠÐТ *&&【["
new kmgz l0gin placeholder username rom88 word r66888 all number number number,173,ncsu_sms_phishing_018066,SMS Phishing Dataset,candidate,"New KMGZ L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,837,506.78ÙŠÐТ }{&%^"
new kmgz l0gin placeholder username rom88 word r66888 all number number number,173,ncsu_sms_phishing_018068,SMS Phishing Dataset,candidate,"New KMGZ L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,837,506.78ÙŠÐТ &:}【,"
new kmgz l0gin placeholder username rom88 word r66888 all number number number,173,ncsu_sms_phishing_018069,SMS Phishing Dataset,candidate,"New KMGZ L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,837,506.78ÙŠÐТ ./#】@"
placeholder new login code for your account rm81yd remaining number number number,146,ncsu_sms_phishing_044604,SMS Phishing Dataset,candidate,"[ <URL> ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù ]#&*&"
placeholder new login code for your account rm81yd remaining number number number,146,ncsu_sms_phishing_044619,SMS Phishing Dataset,candidate,"[ <URL> ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù =[=%#"
placeholder new login code for your account rm81yd remaining number number number,146,ncsu_sms_phishing_044625,SMS Phishing Dataset,candidate,"[ <URL> ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù #]&/%"
placeholder new login code for your account rm81yd remaining number number number,146,ncsu_sms_phishing_044640,SMS Phishing Dataset,candidate,"[ <URL> ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù !(.#]"
placeholder new login code for your account rm81yd remaining number number number,146,ncsu_sms_phishing_044667,SMS Phishing Dataset,candidate,"[ <URL> ] New login code for your account:Rm81yD, remaining: 3,956,025.63Ù @!-,,"
placeholder unt login rom88 word r66888 usable number number number email protected,86,ncsu_sms_phishing_032682,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ ^[email protected]}]"
placeholder unt login rom88 word r66888 usable number number number email protected,86,ncsu_sms_phishing_032706,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐT [email protected]}!{"
placeholder unt login rom88 word r66888 usable number number number email protected,86,ncsu_sms_phishing_033078,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ [email protected]=%:"
placeholder unt login rom88 word r66888 usable number number number email protected,86,ncsu_sms_phishing_033373,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,892,230.55ÙŠÐТ )[email protected]%@"
placeholder unt login rom88 word r66888 usable number number number email protected,86,ncsu_sms_phishing_033520,SMS Phishing Dataset,candidate,"【 <URL> 】 A***unt Login:Rom88 P***word:R66888 Usable:3,965,419.66ÙŠÐТ }^[email protected]【"
placeholder dear lisa the account has been reset for you the new login code placeholder remainingvalue number number,86,ncsu_sms_phishing_049861,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remainingvalue 3,834,187.78 ~~~ bSDpB"
placeholder dear lisa the account has been reset for you the new login code placeholder remainingvalue number number,86,ncsu_sms_phishing_049862,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remainingvalue 3,834,187.78 ~~~ utZGg"
placeholder dear lisa the account has been reset for you the new login code placeholder remainingvalue number number,86,ncsu_sms_phishing_049863,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remainingvalue 3,834,187.78 ~~~ OTCUs"
placeholder dear lisa the account has been reset for you the new login code placeholder remainingvalue number number,86,ncsu_sms_phishing_049874,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remainingvalue 3,834,187.78 ~~~ ZSzji"
placeholder dear lisa the account has been reset for you the new login code placeholder remainingvalue number number,86,ncsu_sms_phishing_049875,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has been reset for you, the new login code: <OTP> remainingvalue 3,834,187.78 ~~~ HTIWc"
placeholder dear lisa the account has een reset for you the new login code number remaining value number,62,ncsu_sms_phishing_050538,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has ****een reset for you, the new login code: LV#288 remaining value 3,852,287.99 ~~~ YghHg"
placeholder dear lisa the account has een reset for you the new login code number remaining value number,62,ncsu_sms_phishing_050539,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has ****een reset for you, the new login code: LV#288 remaining value 3,852,287.99 ~~~ xSDLZ"
placeholder dear lisa the account has een reset for you the new login code number remaining value number,62,ncsu_sms_phishing_050540,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has ****een reset for you, the new login code: LV#288 remaining value 3,852,287.99 ~~~ IGgND"
placeholder dear lisa the account has een reset for you the new login code number remaining value number,62,ncsu_sms_phishing_050541,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has ****een reset for you, the new login code: LV#288 remaining value 3,852,287.99 ~~~ kMGKQ"
placeholder dear lisa the account has een reset for you the new login code number remaining value number,62,ncsu_sms_phishing_050542,SMS Phishing Dataset,candidate,"[ <URL> ] Dear Lisa, the account has ****een reset for you, the new login code: LV#288 remaining value 3,852,287.99 ~~~ djnTv"
new c0in l0gin placeholder username rom88 word r66888 ba1ance number number number number usdc,60,ncsu_sms_phishing_031410,SMS Phishing Dataset,candidate,"New C0in L0gin|| <URL> || Username: Rom88 P***word: R66888 Ba1ance:3,816,765.24 USDC .*%**"
new c0in l0gin placeholder username rom88 word r66888 ba1ance number number number number usdc,60,ncsu_sms_phishing_031415,SMS Phishing Dataset,candidate,"New C0in L0gin|| <URL> || Username: Rom88 P***word: R66888 Ba1ance:3,816,765.24 USDC -^{]&"
new c0in l0gin placeholder username rom88 word r66888 ba1ance number number number number usdc,60,ncsu_sms_phishing_031466,SMS Phishing Dataset,candidate,"New C0in L0gin|| <URL> || Username: Rom88 P***word: R66888 Ba1ance:3,816,765.24 USDC ^@[*%"
new c0in l0gin placeholder username rom88 word r66888 ba1ance number number number number usdc,60,ncsu_sms_phishing_031469,SMS Phishing Dataset,candidate,"New C0in L0gin|| <URL> || Username: Rom88 P***word: R66888 Ba1ance:3,816,765.24 USDC *]//."
new c0in l0gin placeholder username rom88 word r66888 ba1ance number number number number usdc,60,ncsu_sms_phishing_031491,SMS Phishing Dataset,candidate,"New C0in L0gin|| <URL> || Username: Rom88 P***word: R66888 Ba1ance:3,816,765.24 USDC #&,}@"
new zfjn l0gin placeholder username rom88 word r66888 all number number number,60,ncsu_sms_phishing_032067,SMS Phishing Dataset,candidate,"New ZFJN L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,987,637.52ÙŠÐТ *,#%]"
new zfjn l0gin placeholder username rom88 word r66888 all number number number,60,ncsu_sms_phishing_032072,SMS Phishing Dataset,candidate,"New ZFJN L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,987,637.52ÙŠÐТ (},({"
new zfjn l0gin placeholder username rom88 word r66888 all number number number,60,ncsu_sms_phishing_032075,SMS Phishing Dataset,candidate,"New ZFJN L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,987,637.52ÙŠÐТ *)[】*"
new zfjn l0gin placeholder username rom88 word r66888 all number number number,60,ncsu_sms_phishing_032117,SMS Phishing Dataset,candidate,"New ZFJN L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,987,637.52ÙŠÐТ *#【):"
new zfjn l0gin placeholder username rom88 word r66888 all number number number,60,ncsu_sms_phishing_032119,SMS Phishing Dataset,candidate,"New ZFJN L0gin 【 <URL> 】 Username:Rom88 P***word:R66888 all:3,987,637.52ÙŠÐТ [:!./"
placeholder ount login rom88 word r66888 avai1lable number number number email protected,56,ncsu_sms_phishing_032919,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ &][email protected]"
placeholder ount login rom88 word r66888 avai1lable number number number email protected,56,ncsu_sms_phishing_032922,SMS Phishing Dataset,candidate,"（ <URL> ）A**ount Login:Rom88 P***word:R66888 Avai1lable:3,891,660.48ÙŠÐТ )[email protected]*{"
