record_id,screenshot_file,source,visible_date_label,cleaned_text,redactions_applied,notes
31,analysisdataset (2).csv,Phone Number,"04/08/2022, 23:11:15","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
32,analysisdataset (2).csv,Phone Number,"04/08/2022, 23:43:34","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
33,analysisdataset (2).csv,WELLS FARGO,"04/08/2022, 23:47:55","WELLS FARGO: Update>: A decision has been made, your account is suspended. Visit <URL> to regain access now! This action takes few seconds. O° A",<URL>,
34,analysisdataset (2).csv,Phone Number,"04/08/2022, 23:48:52","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
35,analysisdataset (2).csv,Phone Number,"04/09/2022, 01:54:35","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
36,analysisdataset (2).csv,Phone Number,"04/09/2022, 02:27:16","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
37,analysisdataset (2).csv,Chase Bank,"04/09/2022, 03:37:43",FRM:ChaseBanking-Alert-3887 SUBJ:CALL: <PHONE> Now! MSG:MSG 17001 Account.Locked!,<PHONE>,
38,analysisdataset (2).csv,Phone Number,"04/09/2022, 21:34:28","<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
39,analysisdataset (2).csv,Phone Number,"04/10/2022, 01:16:03",You'll get @ your package TODAY! http://<URL>/b/lc/? bfX.08&08z-mkq O A Text Message,<URL>,
40,analysisdataset (2).csv,Phone Number,"04/10/2022, 01:38:36","Pending Delivery: <NAME>, your package containing tracking code <ACCT>LS5 is waiting for you to confirm the shipment address: <URL>",<URL>; <ACCT>; <NAME>,
41,analysisdataset (2).csv,Phone Number,"04/10/2022, 01:51:08","The ClassSuit TRIAL has ended and YOUR $19,038 settlement allocation is READY; CONGRATS to the People! <URL> stop to end",<URL>,
43,analysisdataset (2).csv,Phone Number,"04/10/2022, 03:07:41","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
44,analysisdataset (2).csv,Phone Number,"04/10/2022, 05:22:51","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
45,analysisdataset (2).csv,Phone Number,"04/10/2022, 05:23:46","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
48,analysisdataset (2).csv,CITI,"04/10/2022, 20:30:43",citii bank: Please visit here and complete your debit pin again: <URL>,<URL>,
49,analysisdataset (2).csv,Email To Text,"04/11/2022, 04:20:26",<URL>,<URL>,
50,analysisdataset (2).csv,Whatsapp,"04/13/2022, 13:24:42","U are selected for the Work from Home job offer receive your daily salary 2,666Tk, Contact WhatsApp <URL>",<URL>,
52,analysisdataset (2).csv,CITI,"04/19/2022, 16:47:12","Citi: We blocked your account due to unusual activity, please visit (<URL>) to verify your account.",<URL>,
53,analysisdataset (2).csv,STOP,"04/28/2022, 14:37:45",It's Nicole again Office: <PHONE> It appears you may be eligible for compensation on your Injury. Can you give me a quick call please? - STOP to STOP,<PHONE>,
54,analysisdataset (2).csv,CITI,"05/04/2022, 12:18:02",[CITI Alert <PHONE>] Debit card associated with Acct*8139 is locked. Vist <URL> at earliest convenience. Stop=end|Help=help,<URL>; <PHONE>,
55,analysisdataset (2).csv,WHO,"05/06/2022, 08:54:20","Help us fight CORONAVIRUS by working from home - No experience required SMS sending JOB Work 2-3 hours daily on mobile and earn $5-$100 daily Click Here And Apply Now <URL> Vacancy till 31st march,2020",<URL>,
56,analysisdataset (2).csv,Whatsapp,"05/06/2022, 12:41:11",Dear. You will be invited to the (BTC) internal discussion group. The group will post daily how to earn $500-15000USD in the crypto market. Reply: 1 and Click the link to enter: <URL>,<URL>,
58,analysisdataset (2).csv,Phone Number,"05/18/2022, 18:27:05",<URL> We may owe you as much as 779.04. A new finding may have caused us to charge you too much last year. Your savings is ready -,<URL>,
59,analysisdataset (2).csv,Whatsapp,"05/19/2022, 23:41:51","This is <NAME> insurance service based on the current outbreak. The premium for COVID-19 insurance is $1,000. If you are diagnosed with COVID-19, you can get a lump sum of $30,000. In the case of home isolation or hospital isolation, you can get $300 per day for up to 21 days to consult Whatsapp:<PHONE>",<PHONE>; <NAME>,
61,analysisdataset (2).csv,Email To Text,"05/19/2022, 23:54:01","Cloud mining platform: <URL> Copy the website browser and open the registration to get $100 for free, which will be credited to the account in seconds. Participating in cloud mining can earn around $300-800 per day. Permanent income is guaranteed and risk free! Invite your friends to join and get great rewards",<URL>,
62,analysisdataset (2).csv,Phone Number,"05/21/2022, 06:14:47","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
65,analysisdataset (2).csv,CITI,"05/22/2022, 01:08:56",CITI Alerts - We have blocked access to your debit card due to unusual activity. Verify your details at <URL>,<URL>,
66,analysisdataset (2).csv,Discover Card,"05/25/2022, 01:08:28",(DiscoverCard_Customer Servi ce#<PHONE>) You have a pending issue. please visit: <URL> to resolve it.,<URL>; <PHONE>,
67,analysisdataset (2).csv,Email To Text,"05/26/2022, 05:19:20",<URL>..*,<URL>,
68,analysisdataset (2).csv,Phone Number,"05/27/2022, 19:20:20","Hi <NAME>, this is <NAME> is my new number, Im <NAME> philippines now so text me back when you receive my message because im <NAME> if i get your number right. im <NAME> i got the wrong number i hope i didnt bother you 8:52 AM",<NAME>,
69,analysisdataset (2).csv,Phone Number,"05/27/2022, 19:21:40","Hi <NAME>, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",<NAME>,
70,analysisdataset (2).csv,Whatsapp,"05/27/2022, 19:27:29","Dear. You are invited to join the ""Bitcoin"" analysis group and join in the investment plan and earn 500-5K usd a day. Reply ""1"" and long press the link to join. <URL>",<URL>,
71,analysisdataset (2).csv,Phone Number,"05/28/2022, 19:10:45","Hi, Lucy. I'm <NAME>. Do you remember me? Last time we met at an auction in Northern California.",<NAME>,
72,analysisdataset (2).csv,Phone Number,"05/29/2022, 23:47:48",Dale We are still in the market to buy your <ADDR>! We can CLOSE in less than a week and you won't have any REALTOR fees. Please review <URL>,<URL>; <ADDR>,
73,analysisdataset (2).csv,U.S. Postal Service,"05/30/2022, 00:10:46",[U.S. Postal Service] We're sorry to let you know that your package could not be delivered. To reschedule a delivery please visit <URL> Preview not available,<URL>,
74,analysisdataset (2).csv,Bitcoin,"05/30/2022, 14:13:14","Dear. You are invited to join the """"Bitc0in"""" analysis group and join in the investment plan and earn 500-5K usd a day. ðððPlease click the """"Link"""" below to joinððð\n<URL>",<URL>,
75,analysisdataset (2).csv,Vince,"05/30/2022, 15:00:13","Is this Vince's number, please?",,
76,analysisdataset (2).csv,Netflix,"06/05/2022, 14:59:13",From: NETFLIX Msg: NETFLIX monthly payment Unsuccesful and Your account is temporary Locked. See The Complete Details In The Attachment Below. Subscription-failed56756... Additional media content is included. Please check the message in detail,,
79,analysisdataset (2).csv,Phone Number,"06/27/2022, 04:50:58",Are you Mr. Freddy? I'm <NAME> I'm <NAME> the number is correct,<NAME>,
80,analysisdataset (2).csv,Wells Fargo,"07/05/2022, 12:41:23",click the link to Upgrade Your Wells Fargo Account web:<URL>,<URL>,
82,analysisdataset (2).csv,Regions Bank,"07/16/2022, 03:24:44",REGIONSBANK - Our team locked your debit on July 15th. Please visit: <URL> to unlock it. Reply STOP to OPT OUT,<URL>,
83,analysisdataset (2).csv,Phone Number,"07/23/2022, 09:20:58","Dear <ACCT>friend, Bitcoin Trading Study Group : <URL>",<URL>; <ACCT>,
84,analysisdataset (2).csv,Whatsapp,"08/04/2022, 13:27:55",(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by <URL>,<URL>,
85,analysisdataset (2).csv,Phone Number,"08/09/2022, 05:56:31",Dale SAFEDRIVERALERT: It looks like you were over charged on yourAutOPOlicy. It's not too late to-apply SAFEDRIVERDISCOUNTPERKS and getREIMBURSED. <URL>,<URL>,
86,analysisdataset (2).csv,Amazon,"08/09/2022, 06:00:30","Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Mozilla Firefox 8.7 [<PHONE> - Turkey] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: <URL> You need to take action within 2 days before account will be suspended. Regards, Amazon Teams",<URL>; <PHONE>,
87,analysisdataset (2).csv,UPS,"08/09/2022, 06:03:36","[Postal Service] - Due to address is incorrect. The package cannot be delivered, please follow the link to update the correct address. <URL>",<URL>,
88,analysisdataset (2).csv,Bank of America,"08/10/2022, 00:15:09",ALERT: Your Bank of America Prepaid EDD Debit Card has been blocked due to unusual activity. To reactivate your Bank of America Prepaid EDD Debit Card kindly visit us at http//:<URL>,<URL>,
89,analysisdataset (2).csv,Wells Fargo,"08/10/2022, 00:20:15",Wells Fargo ALRT: Account locked due to unusual activity. You will still be able to deposit funds into your Wells Fargo account(s). Visit link to remove hold: <URL>,<URL>,
90,analysisdataset (2).csv,Citizens Bank,"08/10/2022, 00:23:51",CITIZENSBANK- A charge of $472.20 is on hold. Reply YES to process. Not you? Visit <URL> before August 11 Reply Opt-out to pause Alerts.,<URL>,
91,analysisdataset (2).csv,CVS,"08/12/2022, 05:29:25",CVS offers more than simply fantastic prices. You have a lot of opportunities today to receive up to $100. <URL>,<URL>,
92,analysisdataset (2).csv,CHASE,"08/21/2022, 17:58:30","CHASE BANK ALERT: We detected an unusual attempt at <ADDR>4 Jersey City, NJ 07310 if this was not you please use the secured link to verify your identity and secure your account: <URL>",<URL>; <ADDR>,
93,analysisdataset (2).csv,Wells Fargo,"08/21/2022, 17:59:50",WF Fraud Alerts: We noticed unusual activities on your account. Please confirm the activities at <URL> to make it secure.,<URL>,
94,analysisdataset (2).csv,Phone Number,"09/02/2022, 23:29:37",USPService: We could not ship your package for address issue. Your need to confirm your address to ensure the delivery. <URL>,<URL>,
97,analysisdataset (2).csv,Home Depot,"09/13/2022, 05:32:49",Home Depot Offer + E$ <URL>,<URL>,
98,analysisdataset (2).csv,Phone Number,"09/16/2022, 19:43:28",regions: Your debit has been barred from use due to unusual behavior. Go to <URL> your details to reactivate,<URL>,
99,analysisdataset (2).csv,Home Depot,"09/17/2022, 05:04:27",Quick freebies from Home Depot! <URL>,<URL>,
100,analysisdataset (2).csv,Costco,"09/17/2022, 21:39:43",Dad just left you a package. He said he came from Cost co cause they're handing out money to their customers today. Do you wanna try and see if we can do it too? He said we'd have to start here. <URL>,<URL>,
101,analysisdataset (2).csv,Home Depot,"09/17/2022, 21:47:26",Cash payouts by HomeDepot <URL>,<URL>,
102,analysisdataset (2).csv,Home Depot,"09/17/2022, 21:49:37",Gift Card Offer by Home Depot <URL>,<URL>,
104,analysisdataset (2).csv,Bank of America,"09/17/2022, 21:55:49",<#>Bofa.EDD: Your EDD account is temporarily on hold. You must confirm your recent activity to continue using your account <URL>,<URL>,
105,analysisdataset (2).csv,EDD,"09/17/2022, 21:58:26",CA SERVICE DEPT [EDD]: Your EDD Card Has Been Temporarily Suspended. To Prevent Account Closure Please visit: <URL> Reply STOP To Opt-Out.,<URL>,
106,analysisdataset (2).csv,Home Depot,"09/17/2022, 23:39:10",Instant freebies from HomeDepot! <URL>,<URL>,
107,analysisdataset (2).csv,Home Depot,"09/18/2022, 03:52:20",1 of 2 FRM:<URL> sms_id_YBJ431 MSG: Since youre a appreciated customer of Home Depot we have a gift valued at $100 dedicated to you (Con't 2 of 2 for your time. Just acknowledge this three question survey and you'll be compensated. sms_id_YBJ431| (End),<URL>,
108,analysisdataset (2).csv,Bank of America,"09/20/2022, 04:26:02",BOFA_EDD_DEBIT_CARD: Your card starting with 4427*** has been temporarily blocked. Unblock card at : <URL>,<URL>,
109,analysisdataset (2).csv,Visa,"09/20/2022, 04:32:27",E.D.D.DEBIT-VISA-CARD:Your card has been disabled. Re-enable it at <URL> to keep it intact.,<URL>,
110,analysisdataset (2).csv,UPS,"09/21/2022, 00:34:29",FRM:1B|UPS-ZOF05 SUBJ:<URL># MSG::KUO4alLsdi-a,<URL>,
111,analysisdataset (2).csv,Bank of America,"09/21/2022, 00:34:43","Your BOA Unemployment card is having irregular activities. New Login detected. If this wasn't you, follow steps: <URL>",<URL>,
112,analysisdataset (2).csv,Costco,"09/21/2022, 00:34:44",If you have ever been to Cost co you qualify for this amazing give-a-way <URL>,<URL>,
113,analysisdataset (2).csv,Dr Oz,"09/21/2022, 00:34:49",Dr Oz Secret CBD for Dick Gains <URL>,<URL>,
114,analysisdataset (2).csv,Email To Text,"09/21/2022, 00:35:39",Hi <URL>,<URL>,
115,analysisdataset (2).csv,Phone Number,"09/21/2022, 00:36:20","Your paymen.t for la.st month was pa.id. Thank you, this is a sur.prise p.resent for you: <URL>",<URL>,
116,analysisdataset (2).csv,iPad Pro,"09/21/2022, 00:36:35",Important Update: You got 24 Hours left to reserve the iPad Pro which you Won in September: <URL>,<URL>,
117,analysisdataset (2).csv,AT&T,"09/21/2022, 00:38:00","Hi, it's AT&T. Great news! You've paid off at least 50% of your current phone. If you're interested in learning about our offer on the iPhone 13 Pro Max, reply YES to receive details.",,
118,analysisdataset (2).csv,Unknown,"09/21/2022, 00:38:07",Earn Home Depot $100 Gift Card <URL>,<URL>,
119,analysisdataset (2).csv,Bank of America,"09/21/2022, 00:40:06",<#>Bank of America: Accept the updated terms. <URL>,<URL>,
120,analysisdataset (2).csv,CVS,"09/21/2022, 00:41:45",CVS: Your number was invited with 798 others to redeem a prize. Answer our quick survey before the next 6 hours to reserve yours <URL>,<URL>,
121,analysisdataset (2).csv,Wells Fargo,"09/21/2022, 00:44:29",Wells Fargo Bank: Account is suspended due to recent database breach for safety. Click <URL> to reactivate.,<URL>,
123,analysisdataset (2).csv,CITI,"09/21/2022, 00:49:29","Citi Alert: You recently requested a transfer to a new external account (CHK ACC: XXXX7433), if this was NOT you. Cancel immediately at: <URL>",<URL>,
124,analysisdataset (2).csv,Bank of America,"09/21/2022, 00:52:33","EDD Bofa Alerts: For your security hold has been placed on your unemployment insurance card, due to identity theft: visit <URL> to remove the hold",<URL>,
126,analysisdataset (2).csv,Phone Number,"09/21/2022, 05:11:23","You have filled in an incorrect delivery address, please update your address to the post office. <URL>",<URL>,
127,analysisdataset (2).csv,Home Depot,"09/21/2022, 17:42:19",Monthly GiveAway by Home Depot <URL>,<URL>,
128,analysisdataset (2).csv,Phone Number,"09/21/2022, 17:43:50",Votre colis a été envoyé. Veuillez le vérifier et le recevoir. <URL>,<URL>,
130,analysisdataset (2).csv,EDD,"09/21/2022, 17:44:28","Your Prepaid EDD account status has been restricted, please update your information to keep your account by visiting <URL>",<URL>,
131,analysisdataset (2).csv,Costco,"09/21/2022, 17:45:46","For Cost co, loyalty is everything. We are prepared to pay $40 per minute for your opinion and are in need of it. <URL>",<URL>,
135,analysisdataset (2).csv,iPad Pro,"09/21/2022, 17:47:57",iPad Pro for CID#24355 https::<URL>,<URL>,
136,analysisdataset (2).csv,AT&T,"09/21/2022, 17:49:06",Congratulation CID#896904 An Exclusive Reward From AT&T is waiting For You Claim it here <URL>,<URL>,
138,analysisdataset (2).csv,Phone Number,"09/21/2022, 17:52:20",Votre colis a été envoyé. Veuillez le vérifier et le recevoir. <URL>,<URL>,
142,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:03:15","Votre solde CPF est arrivé a échéance. Veuillez remplir le formulaire ci-dessous sous 24h, pour convertir vos droits acquis en 2021 <URL> O°",<URL>,
143,analysisdataset (2).csv,Home Depot,"09/21/2022, 18:35:23",$80 Gift Card - HomeDepot Survey <URL>,<URL>,
147,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:36:13",Y.our in.voice for la.st mo.nth was p.aid. Thanks.. he.re's our small pres.ent fo.r u: <URL>,<URL>,
148,analysisdataset (2).csv,Bank of America,"09/21/2022, 18:36:54",BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at <URL> to prevent identity theft.,<URL>,
150,analysisdataset (2).csv,Home Depot,"09/21/2022, 18:37:26",Get $100 Reward from HomeDepot <URL>,<URL>,
151,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:37:56",FRM:gP8e_-UPS-NFIGe SUBJ:<URL> MSG: :IsEqWKMBuM-a4,<URL>,
153,analysisdataset (2).csv,Wells Fargo,"09/21/2022, 18:38:24","1 of 2 FRM:30533 SUBJ:9/17/2022 4:08:58 PM MSG:Wells Fargo SecurityCenter Critical notification! Please follow the link, for more details: (Con't) 2 of 2 <URL> ERROR-051178 (End)",<URL>,
155,analysisdataset (2).csv,CVS,"09/21/2022, 18:38:40",CVS has more than just great deals! Today we have great chances for you to get up to 100$. <URL>,<URL>,
158,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:39:11",You.r paymen.t for Septemb.er is received. Thanks! this is o.ur tiny pre.sent for you: <URL>,<URL>,
159,analysisdataset (2).csv,Bank of America,"09/21/2022, 18:39:14",BANKOFAMERICA[EDD] - We encountered a failure in processing your WEEKLY BENEFITS. Visit: <URL> Error -8097 REPLY STOP TO OPT OUT,<URL>,
160,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:39:55","Obtain $100. EASY! You just need to provide some information, and you'll soon be rich! <URL>",<URL>,
161,analysisdataset (2).csv,USPS,"09/21/2022, 18:40:17","[US POSTAL] Package cannot be delivered due to mismatching address, please correct on <URL> to recieve",<URL>,
162,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:40:35",took this quiz and got 90 bucks. my bro told me to tell you. <URL>,<URL>,
163,analysisdataset (2).csv,Bank of America,"09/21/2022, 18:40:49",BANKOFAMERlCA[EDD]- We encountered a failure in processing your WEEKLY BENEFlTS. Visit: <URL> Error - 8097 REPLY STOP TO OPT OUT,<URL>,
166,analysisdataset (2).csv,Costco,"09/21/2022, 18:41:53",FRM:<URL> sms_id*NHR397 MSG:Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated. [link] (End),<URL>,
167,analysisdataset (2).csv,Costco,"09/21/2022, 18:42:07",Cost co is acknowledging you as top tier shopper. There are 3 devices for you to pick from <URL>,<URL>,
171,analysisdataset (2).csv,Navy Federal CU,"09/21/2022, 18:43:15","Navy Federal CU: You have successfully signed on from IP <PHONE> (Ashburn VA, USA). If this wasn't you, visit <URL>",<URL>; <PHONE>,
172,analysisdataset (2).csv,Walgreens,"09/21/2022, 18:43:25","Walgreens: You're being randomly given, as 1 of 613 people, 1 reward by filling in a brief survey. Reward ends in 5 hours <URL> O",<URL>,
173,analysisdataset (2).csv,Wells Fargo,"09/21/2022, 18:43:38",Wells Fargo Bank: Account blocked due to suspicious fraud attempts. Click <URL> to reactivate account.,<URL>,
176,analysisdataset (2).csv,UPS,"09/21/2022, 18:45:01",FRM:KemH_-UPS-10esF SUBJ:<URL> MSG: :3lq9DWaATI-a,<URL>,
177,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:45:24",Your invo.ice fo.r Septe.mber was p.aid. Than.ks. h.ere's our t.iny pr.esent f.or u: <URL>,<URL>,
179,analysisdataset (2).csv,Lowe's,"09/21/2022, 18:45:44","Lowe's retail company would like your help on this official questionnaire, Anybody that enters this are to receive a no cost product <URL>",<URL>,
181,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:47:18",CBD Will Reduce Your Aches Quick <URL>,<URL>,
183,analysisdataset (2).csv,Phone Number,"09/21/2022, 18:47:34","1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a $20 hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)",,
184,analysisdataset (2).csv,US Speaks,"09/21/2022, 18:48:00","Hi, I'm <NAME> Speaks. We're polling IL. Would you respond to some questions? 1) Yes 2) No (or END SURVEY)",<NAME>,
185,analysisdataset (2).csv,Coffee Meets Bagel,"09/21/2022, 18:48:14","Ay is this Dillon? this is <NAME>... we txted on Coffee Meets Bagel last time I went up to visit my cousin but we didn't meet for drinks.. I'm <NAME> area right now if ya want 2 actually go out while I'm <NAME>, are ya up 2 it?",<NAME>,
187,analysisdataset (2).csv,Claro video,"09/21/2022, 18:52:20","Disfruta las mejores series, peliculas y canales adicionales, con Claro video siempre tienes algo nuevo que ver. <URL>",<URL>,
190,analysisdataset (2).csv,PayPal,"09/21/2022, 20:24:02",(PayPal-Issue : Your account has been restricted.Check it here Immediately.> <URL> ~) 29FNO,<URL>,
191,analysisdataset (2).csv,USPS,"09/21/2022, 20:31:42",United States Postal Service: Your package has the wrong forwarding address and has been temporarily suspended. Please reply to [ok] and take steps to reactivate it. [ <URL> ],<URL>,
192,analysisdataset (2).csv,Amazon,"09/22/2022, 05:48:57","Unusual Activity : We've suspended your Amazon due to unusual activity Login attempt from : [<PHONE> - Israel] Device:Mozilla/5.0 (Windows NT 10.0) Our System has been locked yo ur Amazon account To restore your Amazon account, please verify your identi ty below : <URL> You need to verify your account within 2 days or your Amazon account will be terminated. Best Regards, Amazon O",<URL>; <PHONE>,
193,analysisdataset (2).csv,Amazon,"09/22/2022, 05:51:02","Unusual Activity : We've locked your Amazon account due to unusual activity. New Login from : Mozilla Firefox 8.7 [ <PHONE> - Russia ] Our system has locked your Amazon account for security reasons. To unlock your Amazon account, please verify your identity below: <URL> you do not verify your identity If before 24 hours, your Amazon account will be terminated.",<URL>; <PHONE>,
194,analysisdataset (2).csv,PayPal,"09/22/2022, 05:52:17","You just sent a payment to Brett Briggs for $6.50 USD. If you do not make this transaction, you must cancel before 4 hours:""<URL>"" (PP-REF:#XFM6ZT)",<URL>,
195,analysisdataset (2).csv,Phone Number,"09/22/2022, 05:53:49",Your parcel (#US91177J) which includes the following products: 1.PS5. Cannot be approved for delivery pending the outstanding tax balance has been paid. Current outstanding balance: $1.22. Additional info <URL>,<URL>,
196,analysisdataset (2).csv,Phone Number,"09/22/2022, 14:30:29",2069-Ft² House Just Listed 513-Mo below <URL>,<URL>,
199,analysisdataset (2).csv,Phone Number,"09/22/2022, 16:04:58","Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: <URL>",<URL>,
200,analysisdataset (2).csv,Phone Number,"09/25/2022, 03:47:03",Y.our bill for l.ast month is r.eceived. Thank you. here is our small l.oyalty re.ward fo.r you: <URL>,<URL>,
203,analysisdataset (2).csv,Chase,"09/27/2022, 17:34:19",Chase Alert (SM):We noticed unusual activities on your account.Visit <URL> to verify the activities. Reply STOP to stop.Msg & data rates may apply.,<URL>,
204,analysisdataset (2).csv,Phone Number,"09/28/2022, 15:16:58",Pres Trump: This is <NAME> I'll reach out. I need you to update your Voter Verification survey RIGHT NOW. Take canvass here >> <URL> ReplySTOPToEnd,<URL>; <NAME>,
205,analysisdataset (2).csv,Pbpls,"09/29/2022, 20:16:21",Your payment for September is paid. Thanks. here's our surprise gift for you: <URL>,<URL>,
206,analysisdataset (2).csv,Bank of America,"09/30/2022, 16:56:10","BofA Alert: We 've placed a hold on your debit/atm card due to some unusual activity, To recover Visit <URL> and verify your identity",<URL>,
208,analysisdataset (2).csv,Phone Number,"10/04/2022, 20:10:39",Hi <NAME> and I just loaded new my best videos in my personal site. find it here: <URL>,<URL>; <NAME>,
209,analysisdataset (2).csv,Phone Number,"10/08/2022, 23:10:29",intimate notice: Mary live in the area and is seeking no-strings partners. Review your invite:<URL>,<URL>,
