script_name,old_path,organized_path,pipeline_stage,purpose,current_status,notes
build_campaign_family_filtered_dataset.py,scripts/build_campaign_family_filtered_dataset.py,scripts/content_quality/build_campaign_family_filtered_dataset.py,content_quality,Build campaign-family-filtered public master.,organized_copy_present,Original retained for legacy compatibility.
import_manual_ham_drive.py,scripts/import_manual_ham_drive.py,scripts/manual_ham/import_manual_ham_drive.py,manual_ham,Import manual ham Drive exports.,organized_copy_present,Original retained for legacy compatibility.
create_manual_ham_review_excel.py,scripts/create_manual_ham_review_excel.py,scripts/manual_ham/create_manual_ham_review_excel.py,manual_ham,Create manual ham review workbook.,organized_copy_present,Original retained for legacy compatibility.
validate_manual_ham_review.py,scripts/validate_manual_ham_review.py,scripts/manual_ham/validate_manual_ham_review.py,manual_ham,Validate reviewed manual ham.,organized_copy_present,Original retained for legacy compatibility.
detect_manual_ham_split_messages.py,scripts/detect_manual_ham_split_messages.py,scripts/manual_ham/detect_manual_ham_split_messages.py,manual_ham,Detect split manual ham messages.,organized_copy_present,Original retained for legacy compatibility.
fix_manual_ham_split_messages.py,scripts/fix_manual_ham_split_messages.py,scripts/manual_ham/fix_manual_ham_split_messages.py,manual_ham,Merge high-confidence split manual ham messages.,organized_copy_present,Original retained for legacy compatibility.
detect_manual_ham_artifacts.py,scripts/detect_manual_ham_artifacts.py,scripts/manual_ham/detect_manual_ham_artifacts.py,manual_ham,Detect UI/OCR artifacts in manual ham.,organized_copy_present,Original retained for legacy compatibility.
remove_manual_ham_artifacts.py,scripts/remove_manual_ham_artifacts.py,scripts/manual_ham/remove_manual_ham_artifacts.py,manual_ham,Remove and archive manual ham artifacts.,organized_copy_present,Original retained for legacy compatibility.
standardize_manual_ham_for_final_dataset.py,scripts/standardize_manual_ham_for_final_dataset.py,scripts/manual_ham/standardize_manual_ham_for_final_dataset.py,manual_ham,Standardize manual ham for final builds.,organized_copy_present,Original retained for legacy compatibility.
check_manual_ham_final_overlap.py,scripts/check_manual_ham_final_overlap.py,scripts/manual_ham/check_manual_ham_final_overlap.py,manual_ham,Check manual ham overlap against final data.,organized_copy_present,Original retained for legacy compatibility.
check_manual_ham_overlap.py,scripts/check_manual_ham_overlap.py,scripts/manual_ham/check_manual_ham_overlap.py,manual_ham,,organized_copy_present,Original retained for legacy compatibility.
check_manual_ham_public_duplicates.py,scripts/check_manual_ham_public_duplicates.py,scripts/manual_ham/check_manual_ham_public_duplicates.py,manual_ham,,organized_copy_present,Original retained for legacy compatibility.
extract_service_ham_templates.py,scripts/extract_service_ham_templates.py,scripts/synthetic_ham/extract_service_ham_templates.py,synthetic_ham,Extract service ham templates.,organized_copy_present,Original retained for legacy compatibility.
extract_ham_templates.py,scripts/extract_ham_templates.py,scripts/synthetic_ham/extract_ham_templates.py,synthetic_ham,,organized_copy_present,Original retained for legacy compatibility.
generate_service_ham_from_templates.py,scripts/generate_service_ham_from_templates.py,scripts/synthetic_ham/generate_service_ham_from_templates.py,synthetic_ham,Generate service ham from templates.,organized_copy_present,Original retained for legacy compatibility.
generate_synthetic_ham.py,scripts/generate_synthetic_ham.py,scripts/synthetic_ham/generate_synthetic_ham.py,synthetic_ham,,organized_copy_present,Original retained for legacy compatibility.
approve_synthetic_ham_candidates.py,scripts/approve_synthetic_ham_candidates.py,scripts/synthetic_ham/approve_synthetic_ham_candidates.py,synthetic_ham,Approve synthetic ham candidates.,organized_copy_present,Original retained for legacy compatibility.
create_research_backed_ham_template_library.py,scripts/create_research_backed_ham_template_library.py,scripts/synthetic_ham/create_research_backed_ham_template_library.py,synthetic_ham,Create research-backed template library.,organized_copy_present,Original retained for legacy compatibility.
generate_research_backed_synthetic_ham.py,scripts/generate_research_backed_synthetic_ham.py,scripts/synthetic_ham/generate_research_backed_synthetic_ham.py,synthetic_ham,Generate research-backed synthetic ham.,organized_copy_present,Original retained for legacy compatibility.
audit_and_cap_synthetic_ham_families.py,scripts/audit_and_cap_synthetic_ham_families.py,scripts/synthetic_ham/audit_and_cap_synthetic_ham_families.py,synthetic_ham,Audit and cap synthetic ham families.,organized_copy_present,Original retained for legacy compatibility.
approve_research_backed_synthetic_ham.py,scripts/approve_research_backed_synthetic_ham.py,scripts/synthetic_ham/approve_research_backed_synthetic_ham.py,synthetic_ham,Approve research-backed synthetic ham.,organized_copy_present,Original retained for legacy compatibility.
research_synthetic_ham_common.py,scripts/research_synthetic_ham_common.py,scripts/synthetic_ham/research_synthetic_ham_common.py,synthetic_ham,Shared helpers for research-backed synthetic ham.,organized_copy_present,Original retained for legacy compatibility.
final_dataset_build_utils.py,scripts/final_dataset_build_utils.py,scripts/final_dataset_build/final_dataset_build_utils.py,final_dataset_build,Shared final dataset build utilities.,organized_copy_present,Original retained for legacy compatibility.
build_final_combined_dataset_with_manual_and_synthetic_ham.py,scripts/build_final_combined_dataset_with_manual_and_synthetic_ham.py,scripts/final_dataset_build/build_final_combined_dataset_with_manual_and_synthetic_ham.py,final_dataset_build,Build combined final datasets.,organized_copy_present,Original retained for legacy compatibility.
rebuild_v3_with_research_backed_synthetic_ham.py,scripts/rebuild_v3_with_research_backed_synthetic_ham.py,scripts/final_dataset_build/rebuild_v3_with_research_backed_synthetic_ham.py,final_dataset_build,Rebuild V3 with research-backed synthetic ham.,organized_copy_present,Original retained for legacy compatibility.
validate_final_combined_datasets.py,scripts/validate_final_combined_datasets.py,scripts/final_dataset_build/validate_final_combined_datasets.py,final_dataset_build,Validate final combined datasets.,organized_copy_present,Original retained for legacy compatibility.
validate_research_backed_v3_dataset.py,scripts/validate_research_backed_v3_dataset.py,scripts/final_dataset_build/validate_research_backed_v3_dataset.py,final_dataset_build,Validate V3 research-backed dataset.,organized_copy_present,Original retained for legacy compatibility.
build_expert_spam_review_pool.py,scripts/build_expert_spam_review_pool.py,scripts/expert_review_iaa/build_expert_spam_review_pool.py,expert_review_iaa,Build expert review source pool.,organized_copy_present,Original retained for legacy compatibility.
create_expert_spam_review_packet.py,scripts/create_expert_spam_review_packet.py,scripts/expert_review_iaa/create_expert_spam_review_packet.py,expert_review_iaa,Create expert review packet.,organized_copy_present,Original retained for legacy compatibility.
validate_expert_spam_review_packet.py,scripts/validate_expert_spam_review_packet.py,scripts/expert_review_iaa/validate_expert_spam_review_packet.py,expert_review_iaa,Validate expert review packet.,organized_copy_present,Original retained for legacy compatibility.
audit_expert_spam_review_raw_quality.py,scripts/audit_expert_spam_review_raw_quality.py,scripts/expert_review_iaa/audit_expert_spam_review_raw_quality.py,expert_review_iaa,Audit expert packet raw quality.,organized_copy_present,Original retained for legacy compatibility.
build_raw_complete_expert_replacement_pool.py,scripts/build_raw_complete_expert_replacement_pool.py,scripts/expert_review_iaa/build_raw_complete_expert_replacement_pool.py,expert_review_iaa,Build replacement pool for raw-complete expert packet.,organized_copy_present,Original retained for legacy compatibility.
repair_expert_spam_review_packet_raw_complete.py,scripts/repair_expert_spam_review_packet_raw_complete.py,scripts/expert_review_iaa/repair_expert_spam_review_packet_raw_complete.py,expert_review_iaa,Repair expert packet raw completeness.,organized_copy_present,Original retained for legacy compatibility.
validate_expert_spam_review_raw_complete_packet.py,scripts/validate_expert_spam_review_raw_complete_packet.py,scripts/expert_review_iaa/validate_expert_spam_review_raw_complete_packet.py,expert_review_iaa,Validate raw-complete expert packet.,organized_copy_present,Original retained for legacy compatibility.
build_conversational_spam_candidate_pool.py,scripts/build_conversational_spam_candidate_pool.py,scripts/expert_review_iaa/build_conversational_spam_candidate_pool.py,expert_review_iaa,Build conversational spam candidate pool.,organized_copy_present,Original retained for legacy compatibility.
create_balanced_expert_spam_review_packet.py,scripts/create_balanced_expert_spam_review_packet.py,scripts/expert_review_iaa/create_balanced_expert_spam_review_packet.py,expert_review_iaa,Create balanced expert review packet.,organized_copy_present,Original retained for legacy compatibility.
validate_balanced_expert_spam_review_packet.py,scripts/validate_balanced_expert_spam_review_packet.py,scripts/expert_review_iaa/validate_balanced_expert_spam_review_packet.py,expert_review_iaa,Validate balanced expert review packet.,organized_copy_present,Original retained for legacy compatibility.
organize_project_structure.py,scripts/organize_project_structure.py,scripts/maintenance/organize_project_structure.py,maintenance,Create thesis-friendly folder structure and copy files safely.,organized_copy_present,Original not present in legacy scripts root.
generate_project_manifests.py,scripts/generate_project_manifests.py,scripts/maintenance/generate_project_manifests.py,maintenance,"Generate active dataset, script, and pipeline manifests.",organized_copy_present,Original not present in legacy scripts root.
validate_active_outputs.py,scripts/validate_active_outputs.py,scripts/maintenance/validate_active_outputs.py,maintenance,Validate active output files and copied checksums.,organized_copy_present,Original not present in legacy scripts root.
project_organization_config.py,scripts/project_organization_config.py,scripts/maintenance/project_organization_config.py,maintenance,,organized_copy_present,Original not present in legacy scripts root.
