record_id,screenshot_file,screenshot_index,message_order,source,visible_date_label,extracted_text
111,analysisdataset (2).csv,92,1,Bank of America,"09/21/2022, 00:34:43","Your BOA Unemployment card is having irregular activities. New Login detected. If this wasn't you, follow steps: ee2r.info"
112,analysisdataset (2).csv,93,1,Costco,"09/21/2022, 00:34:44",If you have ever been to Cost co you qualify for this amazing give-a-way http://pricesever.financial/j07mFgmb
113,analysisdataset (2).csv,94,1,Dr Oz,"09/21/2022, 00:34:49",Dr Oz Secret CBD for Dick Gains http://fireelse.community/nm6pkc
114,analysisdataset (2).csv,95,1,Email To Text,"09/21/2022, 00:35:39",Hi poelacnewu33sdf.us
115,analysisdataset (2).csv,96,1,Phone Number,"09/21/2022, 00:36:20","Your paymen.t for la.st month was pa.id. Thank you, this is a sur.prise p.resent for you: W3NGZ.COM/6blDog8jzc"
116,analysisdataset (2).csv,97,1,iPad Pro,"09/21/2022, 00:36:35",Important Update: You got 24 Hours left to reserve the iPad Pro which you Won in September: disciplepurse.com/HvMe3JH
117,analysisdataset (2).csv,98,1,AT&T,"09/21/2022, 00:38:00","Hi, it's AT&T. Great news! You've paid off at least 50% of your current phone. If you're interested in learning about our offer on the iPhone 13 Pro Max, reply YES to receive details."
118,analysisdataset (2).csv,99,1,Unknown,"09/21/2022, 00:38:07",Earn Home Depot $100 Gift Card http://abusenat.associates/mKd6NG
119,analysisdataset (2).csv,100,1,Bank of America,"09/21/2022, 00:40:06",<#>Bank of America: Accept the updated terms. https://cp2we.app.link/iur
120,analysisdataset (2).csv,101,1,CVS,"09/21/2022, 00:41:45",CVS: Your number was invited with 798 others to redeem a prize. Answer our quick survey before the next 6 hours to reserve yours igyre.cc/Kky7RkR
121,analysisdataset (2).csv,102,1,Wells Fargo,"09/21/2022, 00:44:29",Wells Fargo Bank: Account is suspended due to recent database breach for safety. Click https://poiasj5.cf/wellsfargo.com/?restore to reactivate.
123,analysisdataset (2).csv,103,1,CITI,"09/21/2022, 00:49:29","Citi Alert: You recently requested a transfer to a new external account (CHK ACC: XXXX7433), if this was NOT you. Cancel immediately at: https://citi-06.com"
124,analysisdataset (2).csv,104,1,Bank of America,"09/21/2022, 00:52:33","EDD Bofa Alerts: For your security hold has been placed on your unemployment insurance card, due to identity theft: visit gps.ru/98hXb to remove the hold"
126,analysisdataset (2).csv,105,1,Phone Number,"09/21/2022, 05:11:23","You have filled in an incorrect delivery address, please update your address to the post office. https://usa-exchange-us.com"
127,analysisdataset (2).csv,106,1,Home Depot,"09/21/2022, 17:42:19",Monthly GiveAway by Home Depot http://marginaljo.shopping/v3E6qB
128,analysisdataset (2).csv,107,1,Phone Number,"09/21/2022, 17:43:50",Votre colis a été envoyé. Veuillez le vérifier et le recevoir. http://fotag.xpddg.com
130,analysisdataset (2).csv,108,1,EDD,"09/21/2022, 17:44:28","Your Prepaid EDD account status has been restricted, please update your information to keep your account by visiting http://eddbofaprocess.info"
131,analysisdataset (2).csv,109,1,Costco,"09/21/2022, 17:45:46","For Cost co, loyalty is everything. We are prepared to pay $40 per minute for your opinion and are in need of it. http://wealthaccept.financial/94T4CvdP"
135,analysisdataset (2).csv,110,1,iPad Pro,"09/21/2022, 17:47:57",iPad Pro for CID#24355 https::http://cyntrothm.shop/ipadP.php
136,analysisdataset (2).csv,111,1,AT&T,"09/21/2022, 17:49:06",Congratulation CID#896904 An Exclusive Reward From AT&T is waiting For You Claim it here http://zireesso.shop/cl/5233_md/555/57333/1230/70/53367
138,analysisdataset (2).csv,112,1,Phone Number,"09/21/2022, 17:52:20",Votre colis a été envoyé. Veuillez le vérifier et le recevoir. http://tbmuy.ncmie.com
142,analysisdataset (2).csv,113,1,Phone Number,"09/21/2022, 18:03:15","Votre solde CPF est arrivé a échéance. Veuillez remplir le formulaire ci-dessous sous 24h, pour convertir vos droits acquis en 2021 https://bit.ly/3v9zXuH O°"
143,analysisdataset (2).csv,114,1,Home Depot,"09/21/2022, 18:35:23",$80 Gift Card - HomeDepot Survey http://esteemcomm.shopping/vtsk9N
147,analysisdataset (2).csv,115,1,Phone Number,"09/21/2022, 18:36:13",Y.our in.voice for la.st mo.nth was p.aid. Thanks.. he.re's our small pres.ent fo.r u: uEZF2.Com/GDI2hthgG1
148,analysisdataset (2).csv,116,1,Bank of America,"09/21/2022, 18:36:54",BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at https://sec03boa.com/bRZQK to prevent identity theft.
150,analysisdataset (2).csv,117,1,Home Depot,"09/21/2022, 18:37:26",Get $100 Reward from HomeDepot http://summe.shopping/Hhj0J3
151,analysisdataset (2).csv,118,1,Phone Number,"09/21/2022, 18:37:56",FRM:gP8e_-UPS-NFIGe SUBJ:www.92wbj4jzupst.com//49epb8Rw17003# MSG: :IsEqWKMBuM-a4
153,analysisdataset (2).csv,119,1,Wells Fargo,"09/21/2022, 18:38:24","1 of 2 FRM:30533 SUBJ:9/17/2022 4:08:58 PM MSG:Wells Fargo SecurityCenter Critical notification! Please follow the link, for more details: (Con't) 2 of 2 https://docs.google.com/forms/d/e/1FAlpQLSeUlz-jIFAYDmtl2s9pEJSgVUHX_S33qw9twmXUqoO7_OCLkw/viewform?usp=sf_link?WuRW ERROR-051178 (End)"
155,analysisdataset (2).csv,120,1,CVS,"09/21/2022, 18:38:40",CVS has more than just great deals! Today we have great chances for you to get up to 100$. http://catchingbudding.directory/8BWT1REM
158,analysisdataset (2).csv,121,1,Phone Number,"09/21/2022, 18:39:11",You.r paymen.t for Septemb.er is received. Thanks! this is o.ur tiny pre.sent for you: f4RSX.COM/8vxyyUpY4d
159,analysisdataset (2).csv,122,1,Bank of America,"09/21/2022, 18:39:14",BANKOFAMERICA[EDD] - We encountered a failure in processing your WEEKLY BENEFITS. Visit: BankOfAmericaDebit05.com Error -8097 REPLY STOP TO OPT OUT
160,analysisdataset (2).csv,123,1,Phone Number,"09/21/2022, 18:39:55","Obtain $100. EASY! You just need to provide some information, and you'll soon be rich! http://obliquerupture.directory/rvgFs6Ae"
161,analysisdataset (2).csv,124,1,USPS,"09/21/2022, 18:40:17","[US POSTAL] Package cannot be delivered due to mismatching address, please correct on postalportal.site to recieve"
162,analysisdataset (2).csv,125,1,Phone Number,"09/21/2022, 18:40:35",took this quiz and got 90 bucks. my bro told me to tell you. http://denywhence.network/DOqxdH9d
163,analysisdataset (2).csv,126,1,Bank of America,"09/21/2022, 18:40:49",BANKOFAMERlCA[EDD]- We encountered a failure in processing your WEEKLY BENEFlTS. Visit: BankOfAmericaDebit05.com Error - 8097 REPLY STOP TO OPT OUT
166,analysisdataset (2).csv,127,1,Costco,"09/21/2022, 18:41:53",FRM:AugustSurveys.com sms_id*NHR397 MSG:Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated. [link] (End)
167,analysisdataset (2).csv,128,1,Costco,"09/21/2022, 18:42:07",Cost co is acknowledging you as top tier shopper. There are 3 devices for you to pick from http://neckadvice.financial/PWvk1Wpa
171,analysisdataset (2).csv,129,1,Navy Federal CU,"09/21/2022, 18:43:15","Navy Federal CU: You have successfully signed on from IP 52.203.18.141 (Ashburn VA, USA). If this wasn't you, visit nfcualert.site"
172,analysisdataset (2).csv,130,1,Walgreens,"09/21/2022, 18:43:25","Walgreens: You're being randomly given, as 1 of 613 people, 1 reward by filling in a brief survey. Reward ends in 5 hours vnnim.cc/mNGtaOl O"
173,analysisdataset (2).csv,131,1,Wells Fargo,"09/21/2022, 18:43:38",Wells Fargo Bank: Account blocked due to suspicious fraud attempts. Click https://oasioa.cf/wellsfargo.com/?restore to reactivate account.
176,analysisdataset (2).csv,132,1,UPS,"09/21/2022, 18:45:01",FRM:KemH_-UPS-10esF SUBJ:www.nibtt9-upse.us//vofxbnno224123# MSG: :3lq9DWaATI-a
177,analysisdataset (2).csv,133,1,Phone Number,"09/21/2022, 18:45:24",Your invo.ice fo.r Septe.mber was p.aid. Than.ks. h.ere's our t.iny pr.esent f.or u: du9k3.com/rvirONcqBD
179,analysisdataset (2).csv,134,1,Lowe's,"09/21/2022, 18:45:44","Lowe's retail company would like your help on this official questionnaire, Anybody that enters this are to receive a no cost product surveypurpose.com/wv95u"
181,analysisdataset (2).csv,135,1,Phone Number,"09/21/2022, 18:47:18",CBD Will Reduce Your Aches Quick http://attorneyent.limited/S7cW3A
183,analysisdataset (2).csv,136,1,Phone Number,"09/21/2022, 18:47:34","1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a $20 hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)"
184,analysisdataset (2).csv,137,1,US Speaks,"09/21/2022, 18:48:00","Hi, I'm Maya from US Speaks. We're polling IL. Would you respond to some questions? 1) Yes 2) No (or END SURVEY)"
185,analysisdataset (2).csv,138,1,Coffee Meets Bagel,"09/21/2022, 18:48:14","Ay is this Dillon? this is Aleah... we txted on Coffee Meets Bagel last time I went up to visit my cousin but we didn't meet for drinks.. I'm back in the area right now if ya want 2 actually go out while I'm here, are ya up 2 it?"
187,analysisdataset (2).csv,139,1,Claro video,"09/21/2022, 18:52:20","Disfruta las mejores series, peliculas y canales adicionales, con Claro video siempre tienes algo nuevo que ver. https://bit.ly/3dRoiZe"
190,analysisdataset (2).csv,140,1,PayPal,"09/21/2022, 20:24:02",(PayPal-Issue : Your account has been restricted.Check it here Immediately.> https://me2.do/GBIOwzEt?V4ZGKR ~) 29FNO
191,analysisdataset (2).csv,141,1,USPS,"09/21/2022, 20:31:42",United States Postal Service: Your package has the wrong forwarding address and has been temporarily suspended. Please reply to [ok] and take steps to reactivate it. [ https://wsends.com/go/Tracking/R2H9 ]
