record_id,screenshot_file,screenshot_index,message_order,source,visible_date_label,extracted_text
11,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,6,Unknown,,"- Take a selfie (portrait mode, no accessories, plain background, well-lit)."
12,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,7,Unknown,,- Complete your registration— you're all set!
13,precleaned\Bernard - April 21 - 22 Imgs\IMG_8473.PNG,6,8,Globe,,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1
14,precleaned\Bernard - April 21 - 22 Imgs\IMG_8474.PNG,7,1,Globe,,"Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website."
15,precleaned\Bernard - April 21 - 22 Imgs\IMG_8475.PNG,8,1,BPI,"Wed, 1 Apr at 5:34PM","Get up to Php 18,000 eGCs for fuel, groceries, and more with a new BPI Credit Card - plus waived annual fees*! Apply in just 3 minutes via the BPI app or BPI online - no docs needed. Just log in and tap the inbox/envelope icon to start! You can text BPICC (space) C-J5YS4 (space) FULL NAME & send to 22565068 until 04/15/26. *T&Cs apply. DTI#250009, $2026. Text STOP to 09221101742 to unsubscribe."
16,precleaned\Bernard - April 21 - 22 Imgs\IMG_8476.PNG,9,1,BPI,,Banks closed this Holy Week. Deposit or withdraw from your BPI account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.
17,precleaned\Bernard - April 21 - 22 Imgs\IMG_8476.PNG,9,2,Unknown,,"To know partner store near you, visit BP| Website > Search Partner Store."
18,precleaned\Bernard - April 21 - 22 Imgs\IMG_8476.PNG,9,3,Unknown,,Text STOP to 09221101742 to unsubscribe.
19,precleaned\Bernard - April 21 - 22 Imgs\IMG_8477.PNG,10,1,BPI,"Mon, 30 Mar at 7:11PM","Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: BPI will never ask for your OTP, PIN, passwords, or personal information through messages or calls. BPI will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the BPI 24/7 Contact Center: (+632) 889-10000"
20,precleaned\Bernard - April 21 - 22 Imgs\IMG_8479.PNG,11,1,Lazada,"Wed, 18 Feb at 11:39 AM","Get a chance to win up to PHP 150 Lazada voucher when you buy at least PHP 300 regular Smart load on the Metrobank App. Just log in to your account, and tap 'Send Load"". Promo runs from Feb 15 to Mar 15, 2026. T&Cs apply. Metrobank is BSP-regulated. DT1248176"
21,precleaned\Bernard - April 21 - 22 Imgs\IMG_8479.PNG,11,2,Metrobank,"Wed, 18 Feb at 7:29PM","Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by May 29, 2026. T&Cs apply. DT1248563, 248558. Metrobank is BSP-regulated."
22,precleaned\Bernard - April 21 - 22 Imgs\IMG_8480.PNG,12,1,Metrobank,"Thu, 4 Dec at 8:12 PM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 6,600.00. Message from sender: Fees. Thank you."
23,precleaned\Bernard - April 21 - 22 Imgs\IMG_8481.PNG,13,1,Unknown,,"REMINDER: We will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (02)87000700. Thank you."
24,precleaned\Bernard - April 21 - 22 Imgs\IMG_8481.PNG,13,2,Metrobank,"Fri, 17 Oct at 11:53AM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 7,500.00. Message from sender: Personal Expense. Thank you."
25,precleaned\Bernard - April 21 - 22 Imgs\IMG_8481.PNG,13,3,Metrobank,"Sat, 25 Oct at 1:49PM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,840.00. Message from sender: Personal Expense. Thank you."
26,precleaned\Bernard - April 21 - 22 Imgs\IMG_8482.PNG,14,1,Metrobank,,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,420.00. Message from sender: Personal Expense. Thank you."
27,precleaned\Bernard - April 21 - 22 Imgs\IMG_8482.PNG,14,2,Unknown,"Fri, 3 Oct at 11:11AM","To improve your experience, we will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (02)87000700. Thank you."
28,precleaned\Bernard - April 21 - 22 Imgs\IMG_8483.PNG,15,1,Metrobank,"Mon, 15 Sep at 3:08PM",Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 300.00. Message from sender: Fees. Thank you.
29,precleaned\Bernard - April 21 - 22 Imgs\IMG_8484.PNG,16,1,Metrobank,"Sun, 25 May at 5:15PM",Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 500.00. Message from sender: Personal Expense. Thank you.
30,precleaned\Bernard - April 21 - 22 Imgs\IMG_8484.PNG,16,2,Metrobank,"Thu, 5 Jun at 11:53PM",Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 400.00. Message from sender: Fees. Thank you.
31,precleaned\Bernard - April 21 - 22 Imgs\IMG_8484.PNG,16,3,Metrobank,"Sat, 7 Jun at 5:24 PM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,860.00. Message from sender: Personal Expense. Thank you."
32,precleaned\Bernard - April 21 - 22 Imgs\IMG_8485.PNG,17,1,Unknown,,21 Nov 2024 at 1:07PM Dr. Kimberly Mae Ong is IN and will now be seeing patients. Download the Now Serving App with invite code j2Vt3uj7 at https://hi.nowserving.ph/ j2Vt3uj7 and wait for your turn. Thanks for using NowServing! Rate your recent consultation with Dr. Ong now hitps:// .nowserving.ph/ mgewUYAQdaijcVhc7
33,precleaned\Bernard - April 21 - 22 Imgs\IMG_8485.PNG,17,2,Unknown,"Wed, 18 Mar at 4:21PM",Your Now Serving OTP Code is 473542
34,precleaned\Bernard - April 21 - 22 Imgs\IMG_8485.PNG,17,3,Unknown,"Wed, 18 Mar at 11:38 PM","Accepted! Your Dr Santiago appt is Mar20,2026. View details with NowServing code $1a6Fij5 at https:// hi2.nowserving.ph/s1a6Fjj5"
35,precleaned\Bernard - April 21 - 22 Imgs\IMG_8486.PNG,18,1,Maya,,"MayaRewards ) Nice! You received a P20 voucher from Maya. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!"
36,precleaned\Bernard - April 21 - 22 Imgs\IMG_8486.PNG,18,2,Maya,"Wed, 24 Dec at 1:58AM","Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!"
37,precleaned\Bernard - April 21 - 22 Imgs\IMG_8486.PNG,18,3,Maya,"Mon, 16 Mar at 10:38 PM","Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires! Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!"
38,precleaned\Bernard - April 21 - 22 Imgs\IMG_8487(1).PNG,19,1,Grab,,"21 Jan 2024 at 1:55PM Grab a P20 voucher now! Explore the app - load, save, invest, send money, pay bills, shop & more. Hurry before it expires!"
39,precleaned\Bernard - April 21 - 22 Imgs\IMG_8487(2).PNG,20,1,Maya,,27 Jan 2024 at 11:59AM Easy 10% cashback with Maya! Just use Maya in stores or when shopping online in the next 7 days. Check your Maya Messages now to know more!
40,precleaned\Bernard - April 21 - 22 Imgs\IMG_8487.PNG,21,1,Unknown,,"25 Jan 2024 at 3:29PM Enjoy a P20 FREE Voucher. Explore load, savings, crypto, bills payment and more! Open the app now!"
41,precleaned\Bernard - April 26 - 78 imgs\IMG_1883(1).jpg,22,1,Unknown,Yesterday 12:52PM,"J&T DELIVERY! TN: JT0016817423022, Rider: THRIX PUAL A TAN. Your COD amount ts 835.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead."
42,precleaned\Bernard - April 26 - 78 imgs\IMG_1883.jpg,23,1,Unknown,,"J&T DELIVERY! TN: JT0016817423022 Rider: THRIX PUAL A TAN, | have try calling your number but no one answers, kindly call me back when you are available. For further concern, you may call (02)8911-1888. Thanks and be Safe!"
43,precleaned\Bernard - April 26 - 78 imgs\IMG_1884.jpg,24,1,Unknown,,"Wednesday 1:05PM J&T DELIVERY! TN: JT0016681548778, Rider: THRIX PUAL A TAN. Your COD amount is 999.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead."
44,precleaned\Bernard - April 26 - 78 imgs\IMG_1885.jpg,25,1,Unknown,"Wed, Feb 25 at 8:45AM","J&T DELIVERY! TN: 820140287017, Rider: THRIX PUAL A TAN. Your COD amount is 308.79. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead."
45,precleaned\Bernard - April 26 - 78 imgs\IMG_1886.jpg,26,1,Unknown,"Fri, Feb 20 at 12:49PM","J&T DELIVERY! TN: JT0013829748551, Rider: THRIX PUAL A TAN. Your COD amount is 669.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead."
46,precleaned\Bernard - April 26 - 78 imgs\IMG_1887.jpg,27,1,Unknown,"Sun, Feb 15 at 8:34AM","J&T DELIVERY! TN: JT0013624686688, Rider: THRIX PUAL A TAN. Your COD amount is 879.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead."
47,precleaned\Bernard - April 26 - 78 imgs\IMG_1888(1).jpg,28,1,Unknown,Friday 6:04 PM,"Don't miss your chance to see Laufey live in Manila, thanks to Visa! Use your RCBC Visa Credit Card and get 1 entry for every P1,000 you spend, OR be one of the 10 Top Spenders to win automatically! Promo runs until May 10. Register now at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26"
48,precleaned\Bernard - April 26 - 78 imgs\IMG_1888.jpg,29,1,Unknown,Yesterday 10:36 AM,"Don't miss your chance to earn Mom her Mother's Day treat! Use your RCBC Premium Card at Paper Moon Cafe by April 30 to qualify for FREE 3 Hokkaido Cupcakes (min. P2,000 spend) or a Small Mille Crepe (min. P5,000 spend). Redeem May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1251767S26"
49,precleaned\Bernard - April 26 - 78 imgs\IMG_1889(1).jpg,30,1,Unknown,,"Thursday 4:47 PM As of 03/25, you have 6,182 Rewards Points (worth Php 1,546) on your Card ending in 0003, JOCELYN ANNE! Redeem these for shopping vouchers or cash credit by calling (02)8888-1888. Keep using your Landmark Anson's Credit Card to enjoy unlimited 3% REBATE at Landmark plus rewards points on all purchases. T&Cs apply."
50,precleaned\Bernard - April 26 - 78 imgs\IMG_1889.jpg,31,1,Unknown,,"Wednesday 5:44PM Still dreaming of the F1 grid? Your RCBC Visa Infinite is your ticket! Every P1,000 spend earns you an entry to win Monza Barcade watch party passes to Austria or Madrid. If you haven't registered, visit rcbccredit and search: FIVIVS. Promo runs until 08/31/26. DTI251184S 26."
51,precleaned\Bernard - April 26 - 78 imgs\IMG_1890(1).jpg,32,1,Unknown,,"Tuesday 6:07PM Beat the summer heat & kickstart your adventures with up to P1,132,000, JOCELYN ANNE! Convert your available limit to RCBC InstaCash on your card ending in 3000 & pay only P26,174.26/mo. at a low add-on rate of 0.62%/mo. for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until May 10, 2026. DT1245989S26"
52,precleaned\Bernard - April 26 - 78 imgs\IMG_1890.jpg,33,1,Unknown,Monday 5:22PM ™N,"Stay cool this summer! Get up to PHP20,000 OFF the SRP of select aircon models at 0% installment for up to 24 months, plus Buy Now, Pay Later using your RCBC Credit Card at Western Appliances. Promo valid until May 31, 2026. Visit the RCBC Credit Website & search: WESAPP26 for details. D252780S26"
53,precleaned\Bernard - April 26 - 78 imgs\IMG_1891(1).jpg,34,1,Unknown,"Sun, Apr 19 at 2:03PM","Your Apr-2026 Statement Balance for your Card ending in 3000 is Php 53,529.43. Min. Amt Due is Php 1,606.00. Due on 05/14. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app."
54,precleaned\Bernard - April 26 - 78 imgs\IMG_1891.jpg,35,1,Unknown,"Sat, Apr 18 at 10:09AM AN","Make it a summer to remember, JOCELYN ANNE! Get as much as P1,132,000 when you convert your unused limit to RCBC InstaCash on your Card ending in 3000 & pay P26,174.26/mo. at an add-on rate of only 0.62%/mo. for up to 60 mos. Visit the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until May 10, 2026. DTI245989S26"
55,precleaned\Bernard - April 26 - 78 imgs\IMG_1892(1).jpg,36,1,Unknown,"Fri, Apr 17 at 6:00 PM","Don't miss out on a sweet surprise for Mom! Use your RCBC Premium Credit Card at Paper Moon Cafe until Apr. 30 to earn her favorite treats. Get 3 Hokkaido Cupcakes (min. P2,000 spend) or a Small Mille Crepe (min. P5,000 spend). Redeem May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26"
56,precleaned\Bernard - April 26 - 78 imgs\IMG_1892.jpg,37,1,Unknown,"Thu, Apr 16 at 5:28PM","Barefoot luxury in Siargao awaits. Enjoy an exclusive discount at Nay Palad Hideaway and all-inclusive island bliss w/ your RCBC Premium Credit Card. To book, call 09177017840 / 091710698721. For details, visit the rcbccredit website, search NPH20. DTI246086S26. Offer until 6/30/26"
57,precleaned\Bernard - April 26 - 78 imgs\IMG_1893(1).jpg,38,1,Unknown,"Wed, Apr 15 at 12:08PM","Your RCBC InstaCash of up to P1,132,000 is now ready, JOCELYN ANNE! Convert the credit limit of your card ending in 3000 for only 0.62% monthly add-on rate and pay just P26,174.26/mo. for up to 60 mos. Avail at the RCBC Credit website now: Search Promo ID: RRN & use code A28YUHYOSQ. Web-exclusive offer until May 10, 2026. DTI245989S26"
58,precleaned\Bernard - April 26 - 78 imgs\IMG_1893.jpg,39,1,Unknown,,"JOCELYN ANNE, as of 03/19, you have 7,317 rewards pts w/ your RCBC Visa Infinite. Redeem from 3,300 points for cash credits, vouchers & more, via Erica at the RCBC Credit site or call the Premium Cards hotline. Maximize every spend with your Card: earn 1 pt/P30 spend, 3x pts local online, 5x intl. online/in-store."
59,precleaned\Bernard - April 26 - 78 imgs\IMG_1894.jpg,40,1,Unknown,,"50% OFF at Marco Polo Ortigas! Savor a feast at Cucina, Lung Hin, Connect Lounge, Vu's Sky Bar, & Cafe Pronto with your RCBC Visa Infinite. Valid Mon-Fri until Apr. 30. Min. spend varies. Reserve your table by calling 7720 7777! Search MPO on the RCBC Credit site. T&Cs apply. DTI252812S26"
60,precleaned\Bernard - April 26 - 78 imgs\IMG_1895(1).jpg,41,1,Unknown,"Fri, Apr 10 at 4:26PM","The new galaxy is here! Get the Samsung Galaxy S26 Series for as low as P2,430.27/mo. at 0% inst for 24mos w/ your RCBC Credit Card! Plus, bundle the Galaxy Buds4 to get 10% OFF your Buds. Offers, validity dates and partners vary. Visit the RCBC Credit website & search SAMS26L for details. T&Cs apply. D250155&251419S26"
61,precleaned\Bernard - April 26 - 78 imgs\IMG_1895(2).jpg,42,1,Unknown,"Sun, Apr 12 at 4:08 PM","Your Apr-2026 Statement Balance for Card ending in 4017 is Php -2.96. Min. Amt Due is Php 0.00. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app."
62,precleaned\Bernard - April 26 - 78 imgs\IMG_1895.jpg,43,1,Unknown,"Thu, Apr 9 at 10:25AM","Payment of Pho20,020.00 made to Card end 4017 was posted on 04/08."
63,precleaned\Bernard - April 26 - 78 imgs\IMG_1896(1).jpg,44,1,Unknown,"Wed, Apr 8 at 6:30PM","We'd like to remind you that the due date for your card ending in 3000 is on 04/13. Your minimum amount due is Php1,305.00. Your total statement balance is Php43,500.10. If you have already paid prior to receiving this message, thank you for your payment."
64,precleaned\Bernard - April 26 - 78 imgs\IMG_1896.jpg,45,1,Unknown,"Wed, Apr 8 at 5:08PM","Promo extended! Get Diamond Indulgence Annual Membership for P8,710.40 (from P10,888) with your RCBC Premium Credit Card. Enjoy a free night stay, up to 50% off dining, and more at Diamond Hotel. Offer now valid until June 30, 2026. Call 0253105741 or search DHPINDUL on the RCBC Credit Website. DTI246122S26."
65,precleaned\Bernard - April 26 - 78 imgs\IMG_1897(1).jpg,46,1,Unknown,"Mon, Apr 6 at 8:58AM","We'd like to remind you that the payment for your card ending in 4017 is due on 04/06. Your minimum amount due is Php601.00. Your statement balance is Php20,017.04. If you have already paid prior to receiving this message, thank you for your payment."
66,precleaned\Bernard - April 26 - 78 imgs\IMG_1897.jpg,47,1,Unknown,"Wed, Apr 1 at 3:56PM","We'd like to remind you that the due date for your card ending in 4017 is on 04/06. Your minimum amount due Is Php601.00. Your total statement balance is Php20,017.04. If you have already paid prior to receiving this message, thank you for your payment."
67,precleaned\Bernard - April 26 - 78 imgs\IMG_1898(1).jpg,48,1,Unknown,"Tue, Mar 31 at 5:07PM","Indulge at Gloria Maris Greenhills, JOCELYN ANNE! Enjoy 50% OFF for a min. P5,000 spend with your RCBC Premium Credit Card from April 1-30, Mon.-Fri. Valid for Lunch (10:30AM-2:00PM) and Dinner (5:30PM-8:30PM). Search GMGH on the RCBC Credit website for details. T&Cs apply. DTI253026S26"
68,precleaned\Bernard - April 26 - 78 imgs\IMG_1898.jpg,49,1,Unknown,"Wed, Apr 1 at 9:05AM","Race to Monza with your RCBC Visa Credit Card! Earn raffle entries for a minimum spend of P1,000 from Apr 1-Jun 30 fora chance to win a Race Experience for 2, plus watch party access. For more info and to register, search VCARB on the RCBC Credit website. DTI#247198"
69,precleaned\Bernard - April 26 - 78 imgs\IMG_1899(1).jpg,50,1,Unknown,"Tue, Mar 31 at 12:08 PM","Good news! The RCBC Premium Credit Card STAY & DINE exclusive deal at DIAMOND HOTEL is extended until Jun.30! Don't miss your chance to get a DIAMOND INDULGENCE MEMBERSHIP for just P8,710.40 (orig. P10,888). Enjoy a FREE night's stay, up to 50% OFF on dining, and more! For details, contact 09085846424. DTI246122S26."
70,precleaned\Bernard - April 26 - 78 imgs\IMG_1899.jpg,51,1,Unknown,,"Mother's Day is sweeter w/ your RCBC Premium Credit Card! Enjoy a special gift at Paper Moon Café for purchases until Apr. 30! Get 3 Hokkaido Cupcakes for a P2,000 spend or a Small Original Mille Crepe for a P5,000 spend. Redeem from May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26"
71,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,1,Lazada,,Get extra 10% OFF (up to P600) at the Lazada Birthday
72,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,2,Unknown,,Sale with your RCBC Visa
73,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,3,Unknown,,Credit Card! Promo runs until
74,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,4,Unknown,,Mar. 27 for a min. spend of
75,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,5,Unknown,,"P5,000. Discount auto-applied"
76,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,6,Unknown,,at checkout; no code needed.
77,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,7,Unknown,,"For info, search LAZBDAY26 on"
78,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,8,Unknown,,the RCBC Credit website.
79,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,52,9,Unknown,,DTI#252224
80,precleaned\Bernard - April 26 - 78 imgs\IMG_1900.jpg,53,1,Lazada,"Thu, Mar 26 at 6:11PM","Score deals at the Lazada Birthday Sale with your RCBC Mastercard Credit Card! Enjoy extra P500 OFF, min. spend P5,000. Offer is until Mar. 27, 2026. Discount auto-applied at checkout; no code needed. For info, search LAZBDAY26 on the RCBC Credit website. DTI#252224"
81,precleaned\Bernard - April 26 - 78 imgs\IMG_1901(1).jpg,54,1,Unknown,"Tue, Mar 24 at 3:37PM","Ready for summer? Refresh your OOTDs at Zara, Bershka, Massimo Dutti, Oysho, Pull & Bear & Stradivarius! Get up to P5,000 CASHBACK on straight or 0% installment spends using your RCBC Visa Credit Card from now until May 31! Visit the RCBC Credit Website & search CBFITS for full T&Cs. D249279S26"
82,precleaned\Bernard - April 26 - 78 imgs\IMG_1901.jpg,55,1,Unknown,"Tue, Mar 24 at 12:23PM","Make the most of this offer until Mar. 31, JOCELYN ANNE! Get up to P1,141,000 when you convert your available limit on your card ending in 3000 to RCBC InstaCash. Pay as low as P26,391.94/mo. at a low add- on rate of 0.62%/mo for up to 60 mos. Go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU40QQUT to avail. Offer is exclusive to applications via the RCBC Credit website. DTI245989S26"
83,precleaned\Bernard - April 26 - 78 imgs\IMG_1902(1).jpg,56,1,Unknown,"Sat, Mar 21 at 2:05PM","Your Mar-2026 Statement Balance for your Card ending in 3000 is Php 43,500.10. Min. Amt Due is Php 1,305.00. Due on 04/13. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app."
84,precleaned\Bernard - April 26 - 78 imgs\IMG_1902.jpg,57,1,Unknown,"Thu, Mar 19 at 5:24PM","Win VIP tickets for two to see Laufey in Manila, thanks to Visa! Earn 1 entry per P1,000 spend, OR be one of the 10 Top Spenders to win automatically! Valid on RCBC Visa Credit Card spend from Mar 16—May 10. Register at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26"
85,precleaned\Bernard - April 26 - 78 imgs\IMG_1903(1).jpg,58,1,Unknown,"Thu, Mar 19 at 2:23PM","JOCELYN ANNE, whether for a home upgrade, business, or a getaway, get the extra cash you need! Convert the available limit on your RCBC card ending in 3000 to RCBC InstaCash. Access up to P1,141,000 and pay P26,391.94/mo. at a low add-on rate of 0.62%/mo for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU40QQUT. Offer exclusive to web applications until Mar. 31, 2026. DTI245989S26."
86,precleaned\Bernard - April 26 - 78 imgs\IMG_1903.jpg,59,1,Unknown,"Wed, Mar 18 at 9:09AM","Payment of Php1,200.00 made to Card end 3000 was posted on 03/16."
87,precleaned\Bernard - April 26 - 78 imgs\IMG_1904(1).jpg,60,1,Unknown,"Tue, Mar 17 at 11:31AM","Ready for a getaway, JOCELYN ANNE? Whether it's a beach trip or a staycation, your RCBC Credit Card earns you more! Enjoy up to P5,000 cashback on hotels, resorts, and stays. Valid until May 31, 2026. Register and see full details on the RCBC Credit website, search LTR5K T&Cs apply. DT1I251514"
88,precleaned\Bernard - April 26 - 78 imgs\IMG_1904.jpg,61,1,Unknown,"Mon, Mar 16 at 9:19AM","We'd like to remind you that the payment for your card ending in 3000 is due on 03/16. Your minimum amount due Is Php1,013.00. Your statement balance is Php33,760.80. If you have already paid prior to receiving this message, thank you for your payment."
89,precleaned\Bernard - April 26 - 78 imgs\IMG_1905(1).jpg,62,1,Unknown,"Mon, Mar 16 at 5:30 AM","Your supplementary, BOBBY A BARCE with Card ending in XXXx3109 has spent PHP10000.00 at Pru Life of U.K. on 03/16 5:30AM. If you have concerns, call 0288881883"
90,precleaned\Bernard - April 26 - 78 imgs\IMG_1905.jpg,63,1,Unknown,"Sat, Mar 14 at 12:07PM",Travel and spend without worries with your RCBC Premium Credit Card. Convert your spend abroad into Unli 0% for 3 mos. or up to 36 mos. Uni Installment via the RCBC Pulz App. Visit rcbccredit > Credit Cards > Benefits > Installment. T&Cs apply.
91,precleaned\Bernard - April 26 - 78 imgs\IMG_1906(1).jpg,64,1,Unknown,"Thu, Mar 12 at 4:05PM","Spend P1,000 with your RCBC Visa Infinite and get a chance to win passes to F1 Race Watch Parties (Suzuka, Austria & Madrid) at Monza Barcade. Prizes include P1,000 F&B, sim racing, and more! Promo runs until 08/31/26. Register at the link on the website. Visit rcbccredit, search F1VIVS. DTI251184S26."
92,precleaned\Bernard - April 26 - 78 imgs\IMG_1906.jpg,65,1,Unknown,,"Upgrade to the Samsung Galaxy S26 Series with your RCBC Credit Card! Pre-order for as low as P2,264.97/mo. for 24mos at 0% inst + FREEBIES. Also, bundle with Galaxy Buds4 & get 10% OFF the Buds. Offers, validity dates and partners vary. T&Cs apply. Details at RCBC Credit website; search: SAMS26P. D250155&251419S26"
93,precleaned\Bernard - April 26 - 78 imgs\IMG_1907(1).jpg,66,1,Unknown,"Thu, Mar 12 at 10:48 AM","Unlock more possibilities this March, JOCELYN ANNE! Get extra cash when you convert your available limit on your card ending in 3000 to RCBC InstaCash! Access up to P1,141,000 and pay as low as P26,391.94/mo. at only 0.62% monthly add-on rate for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU4OQQUT. Offer exclusive to web applications until Mar. 31, 2026. DTI245989S26"
94,precleaned\Bernard - April 26 - 78 imgs\IMG_1907.jpg,67,1,Unknown,"Wed, Mar 11 at 6:07PM","Ready for Holy Week, JOCELYN ANNE? For every P30 spent, earn 5X points on overseas purchases & 3X points on local online shopping with your RCBC Visa Infinite. Redeem your points for airmiles, shopping & dining vouchers, and more!"
