final_dataset_version,final_row_id,final_split_eligible,final_dataset_role,data_origin,is_synthetic,source_name,dataset_name,source_group,normalized_label,message_raw,message_clean,service_category,scam_category,label_status,review_status,notes,unified_id,source_row_id,source_label,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,contains_url,contains_email,contains_phone,contains_otp,contains_amount,contains_account_hint,institution_type,source_file,reviewer_notes,synthetic_template_id,generation_method
v1_public_real_only,v1_public_real_only_row_000011,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_004331,4331,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000012,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,2 and half years i missed your friendship:-),2 and half years i missed your friendship:-),,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_004898,4898,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000013,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"2 celebrate my bday, y else?","2 celebrate my bday, y else?",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_004447,4447,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000014,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,2 laptop... I noe infra but too slow lar... I wan fast one,2 laptop... I noe infra but too slow lar... I wan fast one,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_001970,1970,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000015,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,26th OF JULY,26th OF JULY,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000992,992,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000016,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.,2marrow only. Wed at <#> to 2 aha.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_002617,2617,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000017,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,2mro i am not coming to gym machan. Goodnight.,2mro i am not coming to gym machan. Goodnight.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_004433,4433,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000018,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,3 pa but not selected.,3 pa but not selected.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_005216,5216,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000019,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,32.5 m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,32.5 m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_003158,3158,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000020,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,32  am I think? Should say on syllabus,32 am I think? Should say on syllabus,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_001591,1591,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000021,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,4 oclock at mine. Just to bash out a flat plan.,4 oclock at mine. Just to bash out a flat plan.,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000545,545,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000022,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"4 tacos + 1 rajas burrito, right?","4 tacos + 1 rajas burrito, right?",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_003736,3736,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000023,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,5 nights...We nt staying at port step liao...Too ex,5 nights...We nt staying at port step liao...Too ex,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_005225,5225,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000024,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,55 that's all? Guess that's easy enough,55 that's all? Guess that's easy enough,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_004036,4036,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000025,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,56 w jetton ave if you forgot,56 w jetton ave if you forgot,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_002989,2989,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000026,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000430,430,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000027,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,7 lor... Change 2 suntec... Wat time u coming?,7 lor... Change 2 suntec... Wat time u coming?,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_003200,3200,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000028,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... God bless U","7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... God bless U",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_005044,5044,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000029,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear","7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_001471,1471,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000030,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""�Love u dear","7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""�Love u dear",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_000794,794,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000031,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... Wish u a happy birth day","7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... Wish u a happy birth day",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_003542,3542,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000032,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,70 mins but i had to stop somewhere first.,70 mins but i had to stop somewhere first.,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_003157,3157,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000033,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,78%  in mca. But not conform.,78% in mca. But not conform.,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_004914,4914,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000034,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try","8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000512,512,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000035,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,5000 ISH MINUTES WAS 5 MINUTES AGO. WTF.,5000 ISH MINUTES WAS 5 MINUTES AGO. WTF.,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_002198,2198,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000036,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"34000 of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...","34000 of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to <#> frnds in <#> mins whn u read...",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_002584,2584,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000037,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"""Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx""","""<URL> no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx""",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_002237,2237,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,true,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000038,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,Hahaha..use your brain dear,<URL> your brain dear,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_000828,828,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,true,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000039,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,Hahaha..use your brain dear..that will work here�,<URL> your brain dear..that will work here�,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_000202,202,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,true,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000040,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,Hahaha..use your brain dear�.thats important,<URL> your brain dear�.thats important,,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_004993,4993,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,true,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000041,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND","A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_003750,3750,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000042,True,main_binary_classification,public_real,False,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND..I love u","A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND..I love u",,,accepted,accepted,URL=No; EMAIL=No; PHONE=No. Mishra spam is preserved for later smishing relabel review.,mishra_000850,850,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
v1_public_real_only,v1_public_real_only_row_000043,True,main_binary_classification,public_real,False,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,ham,A bloo bloo bloo I'll miss the first bowl,A bloo bloo bloo I'll miss the first bowl,,,accepted,accepted,UCI spam is preserved for later smishing relabel review.,uci_002424,2424,ham,True,original_unredacted,cleaned_from_raw,found_in_source_archive,Recovered source text from the original source archive using source_row_id.,false,false,false,,,,,data\organized\campaign_family_quality\combined_public_thesis_sources_campaign_family_filtered.csv,,,public_source
