old_review_id,old_message_raw,old_failure_reason,replacement_candidate_id,replacement_message_raw,replacement_source_name,replacement_dataset_name,replacement_candidate_reason,replacement_priority_score,notes
EXP-SPAM-0242,"New KERC L0gin || www.usdtkerc.com || You Login code: 2p7vy Total 3,880,037.54ÙŠÐТ :)/:}",not_sms_like_artifact,rawrep_1464d17fda74,"NtxID:265569 Your-Subscriptions-will-expired-t oday,renewal-your-bills-now>:// 9qr.de/itCwLh",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0243,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ [email protected](#-",not_sms_like_artifact,rawrep_9610322a2ad3,"[BMO SMS] BMO has noticed unusual activities on your online banking, for more details:",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0244,"New VTRC L0gin || www.usdtvtrc.com || You Login code: 52889 Total: 3,880,037.54ÙŠÐТ @-]@,",not_sms_like_artifact,rawrep_c014364059f2,HMRC have determined that you are eligible for a tax rebate of £312.38. Press the link to get started:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0248,Yup,too_short,rawrep_683e21239bbe,"(CA) Grocery BFT#568008: Receive your assigned $289.00 now. Type ""A"" to transmit your grocery bonus to your selected institution.",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0252,"New VTRC L0gin || www.usdtvtrc.com || You Login code: 52889 Total: 3,880,037.54ÙŠÐТ [email protected]/(:",not_sms_like_artifact,rawrep_e8976a0c995b,*NAB SECURITY* Access to NAB Internet Banking has been suspended due to a recent logon from an Unknown device or location. Restore here:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0256,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,937,334.72ÙŠÐТ [**/)",not_sms_like_artifact,rawrep_69fda348d198,"Jessie, long time no see, how are you?",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0257,"New VTRC L0gin || www.usdtvtrc.com || You Login code: 52889 Total:: 3,936,438.26ÙŠÐТ -*【.}",not_sms_like_artifact,rawrep_2b5f2dcdc627,Your house number is incorrect and we cannot deliver your package. Modify the address so we can arrange delivery.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0259,Hello do you need a part-time job? salary At least 100 - 300 per day. There is no application fee. Simple steps anytime anywhere <LOCATION> phone can operate over <DATE_TIME> If you are interested in this job please contact WhatsApp:+<US_BANK_NUMBER>!,placeholder_raw,rawrep_ac90c9722617,Good News..!! Your Loan Amount for Rs. 30000.00 Is Successfully Approved Check Your Loan Status,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0260,"Dear,If you are curious about cryptocurrencies or are investing in them, BlackRock Blockchain Club will provide you with comprehensive guidance from a team of top analysts on a one-to-one basis. Over 1 million members worldwide with 20%-35% <DATE_TIME> earnings! *Click the button to join our group*Join us",placeholder_raw,rawrep_516389f71b08,"Congrats Dear, Your Loan Amount Of XXX999 Has Been Approved. Complete Process Now",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0261,intimate notice: <NAMED_ENTITY> live in the area and is seeking no-strings partners. Review your invite:,placeholder_raw,rawrep_fafa3cca4876,Hi poelacnewu33sdf.us,SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0262,"['Hey I hope you enjoyed your weekend!\nWe had you approved for business funding in the past BIG amounts LONG terms LOW rates!\nHow much could your business use <DATE_TIME>?' ""Hi This is <NAMED_ENTITY> with SCS. We're doing 100K paying back 118K over 15 months.\nI can get you funded within <DATE_TIME> Hours.\nWhat's the best email to reach you?"" 'Hey! We had you approved in the past for business funding and our team here has been super aggressive recently!\nWe work quick and can fund your business by tomorrow!\nHow much could your business use <DATE_TIME>??']",placeholder_raw;too_long,rawrep_ef472162b03b,Tracing Notification: You have been in close proximity with a confirmed case of the latest variant. Please order a free test-kit via:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0263,Treat your mother right for any major occasion! <NAMED_ENTITY> Ever Essence skin care is the ❤️ PERFECT choice,placeholder_raw,rawrep_cfd429aceeab,I am sorry to let you know that your order has been cancelled as the seller’s partnered courier service provider could not find anyone at the delivery address to collect the package despite several attempts.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0264,"Hello! You made a purchase in our JBStore <DATE_TIME> and by doing this entered our 2020-Draw, and you w0n a gift: <URL>",placeholder_raw,rawrep_38548b9eceb6,"hey you im in Brandon, my S.N A P: - Chiquta228",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0265,"Puffy Mattress: Achieve favorite child status this Mother's Day.

Use code <DATE_TIME> at checkout to enjoy $1,350 in Total Savings for $750 off any mattress + free $600 Luxury Sleep Bundle.

Shop Mother's Day Sale: <URL>

STOP to opt out",placeholder_raw,rawrep_66eea35c7924,Your A/C no. XXXXXXXX63839 can be credited with Rs. 30000. Enter your details & check now,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0266,DEAR CUSTOMER CONGRATULATIONS IN FLIPKART COMPANY YOUR SECOND LUCKY WINNER TATA NEXON CAR CONTACT FOR=<PHONE_NUMBER> WHATSP <URL>MBER=<PHONE_NUMBER>,placeholder_raw,rawrep_04612a3088e9,(BELLUpdate-REF669969) We are displeased to inform you our system has identified a data-roaming error which has lead to a system-wide overcharge.  All customer are offered a reimbursement based on your affected usage.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0267,"Make 50k or less? You may qualify for fantastic ACA rates, some as low as <DATE_TIME>: <URL> hbb85K",placeholder_raw,rawrep_1bf85aed0a2d,"Your application for 350OP per day has been reviewed. Congratulations! Time is limited, c...",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0268,Alert: Your deposit cash is about to expire. Use it now to play 60+ Games and win upto Rs. 25 Lakhs. Play Now: <URL>,placeholder_raw,rawrep_772a47beca3f,Your driving license points exceeded limit. Restore with penalty 5500 TK: license-points.bd/restore,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0270,$100 Store Credit for Finishing Quick Walmart Survey 🎁 <URL>,placeholder_raw,rawrep_9d6d8c7c6ca7,Amazon : Thank you for your purchase. We will inform you when its shipped. View your order and special rewards on,Smishing-Dataset-IMC25,Gathered approved smishing 7k,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0271,Congrat Dear sir You have selected 1st Prize TATA SAFARI IN Mega offer <DATE_TIME> club factory company. This Is Valid <DATE_TIME> For Reg.. Contact <PHONE_NUMBER> T&C,placeholder_raw,rawrep_c2d303c6e381,You have an outstanding tax refund of 321.52GBP for tax year 15/16. Please fill out the following form to process your refund,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0272,I am a project manager we are recruiting a team can work from home <DATE_TIME> salary: 350-3500 consulting whats: <URL> Reply stop to opt out,placeholder_raw,rawrep_d9d9202b0db1,"Your request has been recieved and is being processed, you will get response shortly. The service will cost you #50. No record found for NIN, check NIN or contact NIMC.",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0273,"THIS PHONE NUMBER HAS WON $450,000.00USD IN MEGAPLIER REF#1001, FOR DETAILS CONTACT MR. <NAMED_ENTITY> WITH YOUR NAME, ADDRESS AND NUMBER TO EMAIL: <EMAIL_ADDRESS>",placeholder_raw,rawrep_ff9b4bfa616c,"[Binance Connect] You haven't complete verification yet, please proceed by go to our website to complete verification and enjoy our full service. Feel free to refer to the FAQs and Help section, online chat box for help.",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0274,Hi Rs.5000 Welcome CASH can be yours <DATE_TIME> On <LOCATION> vs PUN Winning Amount- Rs.<US_BANK_NUMBER> (6.70Cr) Entry Fees -Rs.49 Click - <URL>,placeholder_raw,rawrep_48f084a87d95,Hi mum I'm using friends phone I've smashed mine and their phones low can you message my new number please 075XXXXXX x,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0275,"Hi!!
Everyone in <LOCATION> is switching over to The Right Stuff because apps like <NAMED_ENTITY> and <NAMED_ENTITY> are stealing your money and leaving you with no matches. Download the fastest growing dating app in <LOCATION> <DATE_TIME>!!",placeholder_raw,rawrep_ea686cfe1843,"You can already get Internet Free Without WI-FI with Whatsapp, and it is by means of invitations, here I give you an invitation!",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0276,"Home Depot Study, Get Paid <DATE_TIME>",placeholder_raw,rawrep_cb5e4877fd9e,Just having a mobile you can also earn at least TK 15000-20000 per month. For details 01783627284,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0277,CONGRATULATIONS! From SAFARI-COM LIPA NA M-PESA PROMOTION! You have won <URL> claim your prize kindly call H/Office <PHONE_NUMBER> NO PAYMENT!,placeholder_raw,rawrep_29ba0d20e3a1,Dear You are selected join our company and wage is 16000 RS.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0280,Ms You have passed our review wage is <DATE_TIME><URL> InvNoDtforINRdipswithSELFRegardsMANGALPHARMACARELLP,placeholder_raw,rawrep_e7117aae6280,Hey it’s [name] from twitter Could I ask an urgent favour please?,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0281,Congratulations you are winner of MEESHO company online shopping you win lucky prize TATA SAFARI XE and amount Rs <US_DRIVER_LICENSE>.00 Registration service charges Rs Pay TR PAPER Charges Pay. Details contact for you helpline no <PHONE_NUMBER> website Rp LUC,placeholder_raw,rawrep_400f76694d8b,You have purchased BLAZE 150MB+70 SMS + Free WhatsApp. Expiry date: 16/06/,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0282,Limit-ed TIME Only! <URL> 50 % Daily UNLI D.e.p.o.s.i.t B.o.n.u.s! the upper limit of a single b.o.n.u.s is 10000PHP,placeholder_raw,rawrep_9cd8c7059190,make sure to pick up what they have at Cost co because they hardly ever give away 60$. So you have to get it when you can.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0283,"Costco: <NAMED_ENTITY>, the  code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: <URL>",placeholder_raw,rawrep_40eb205b2397,"UserID 58693 / Heads up T-Mobile Limited pass, Get your chance now mtnl.eu///5EyN6",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0284,CASH BTST : BUY 10000 SHARES EJECTA MARKETING LTD (<US_DRIVER_LICENSE>) CMP RS 61.50 BTST TGT Rs 62.80 SL Rs 59. LONG TERM TGT Rs 120+ BUY IN BULK,placeholder_raw,rawrep_5fb37e86e014,Part-time job. Salary 5000 BDT/day. Work from home: wa.me/85295102105,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0285,"New, Lower Prices on all your favorite products + Free Gift on all orders

Click the link to see all new pricing
<URL>
Text STOP to unsubscribe.",placeholder_raw,rawrep_a143f73f894b,"Hey Niaz, help us answer a fast survey. We will give you a free watch in return. lksr.link/9pvvbF Txt Stop to end",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0286,Do you want to make money? There is a part-time job which can be operated on a mobile phone at home and you can earn 200-300 rupees per day for <DATE_TIME> a day waiting for you to join. Reply 1 along with the link to join us asap. Hi who is this?,placeholder_raw,rawrep_ca058a94dd55,GOVUK: We have identified you as eligible for a discounted energy bill under the Energy Bills Support Scheme. You can apply here:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0287,[Fansthese] NFL New 3D Hoodie You will Love! 50% OFF for <DATE_TIME>! Click here to get yours: <URL> (Type STOP to QUIT),placeholder_raw,rawrep_30049a5029f4,Dad i lost my phone. This is my new number could you please send me a message on WahtsApp on this new number?,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0288,"Your invoice for <DATE_TIME> is received. Thank you, here's our tiny reward for u: <URL>",placeholder_raw,rawrep_dd151d6fe6a5,$&nMwDBqP}| XXXXXX68764 We need more social media assistants. Why post on social media platform for free when you could receive money for it? You can earn $170 per day. Apply now:,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0289,"Hi All, bigbasket – <LOCATION>'s leading online supermarket, brings to Bbdaily at your doorstep .

Contact before downloading app- name- <NAMED_ENTITY> contact <PHONE_NUMBER>)

🏃 old customer new number offers

🏃 new customer new number offers

We have some extra offers <DATE_TIME>..
Bbdaily is a new subscription service, where we get daily delivery between 5AM to 7.00AM. 🏃

🏃 You can subscribe now.",placeholder_raw;too_long,rawrep_f292a5ef5c0c,Your query has been resolved. - Team Myntra.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0290,"CIEE Study Abroad is getting a glow-up in <LOCATION>! In <DATE_TIME>, you can study in <LOCATION>, <LOCATION>, <LOCATION>, <LOCATION>, and more. Apply for one of these cities, and you'll get a guaranteed flight voucher worth up to $1,500! Learn more: <URL>",placeholder_raw,rawrep_eb381f1aef88,Money Paid Successfully ₹ 361.00 To BHOPAL SINGH From Paytm Postpaid,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0291,Alert!!:Your Mobile No is Selected as winner of £<US_DRIVER_LICENSE> on Coke Promo. Go to <URL> to claim. enter Ref: AU66725372 .helpline: <EMAIL_ADDRESS>,placeholder_raw,rawrep_6379a983ff08,Earn TK 500–700 daily with a new SIM! Inbox for details.,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0292,YOUR YOUR NUMBER HAVE W0N 3CRORE 65LAKH IN COCA-COLA PROM0 FOR CLAIMS SEND YOUR NAME/AGE/ADD/NUMBERS/S*X/OCCPTN/EMAIL TO:<EMAIL_ADDRESS>,placeholder_raw,rawrep_7c9d595c3146,Your registered mobile number needs to be reupdate. Please reupdate here...,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0293,"Puffy Mattress: Splurge on award-winning design & comfort with $1,350 in Total Savings for the best sleep ever.

Use code SAVE1350 at checkout for $750 off any mattress + free $600 Luxury Sleep Bundle.

Shop Now: <URL>
STOP to opt out",placeholder_raw,rawrep_cf03feb28200,"Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",SmishTank,SmishTank Dataset / Smishing Dataset I,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0294,"It's <NAMED_ENTITY> with <URL>
Top funders: Elder for Gov21 & <NAMED_ENTITY>
STOP to opt-out
FIND WHERE TO VOTE YES TODAY @ <URL>",placeholder_raw,rawrep_0def31b2b2c2,"We have identified that you still have an outstanding vehicle tax refund of 61.77 GBP from an overpayment, request your refund.",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0295,"Hi Jake, Last chance to get 40% off your purchase. Valid until <DATE_TIME>. Claim your discount here:",placeholder_raw,rawrep_23acd7ed9426,Congratulations your PAYTM A/C No. XXXXX can be Credited upto Rs. 5000 Register now,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0296,Congratulations! <NAMED_ENTITY> has been activated at Rs.49. Enjoy Content from <NAMED_ENTITY> Klikk & 2 other apps till <DATE_TIME>. WATCHO,placeholder_raw,rawrep_634830d7103f,Dear SBI user your SBI YONO A/c has been ...,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0297,We miss you here at DA VIEN COFFEE! You get 20% off any drink purchase on your next visit. Reply YES to save. Exp <DATE_TIME>. Note: <NAMED_ENTITY> msgs will now be sent from this number. txt OFF to stop,placeholder_raw,rawrep_2f07ed5e4c20,URGENT: water bill overdue 11756 TK. Disconnection in today: emergency-gov.bd/urgent,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0298,"Hi Thapan, CORONA SALE: FLAT 90% OFF on Rado, Rolex, Tissot LUXURY WATCHES, Bags & more. HURRY!
Visit: <URL>
OPT Out MissCall 73988XXXX207",placeholder_raw,rawrep_c5b61fbd7de1,Put A decal of FIJI WATER on your Vehicle and Receive 500USD Weekly,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0300,"Wanna netflix and chill?
Don't weather the storm <DATE_TIME> alone. Download The Right Stuff now!",placeholder_raw,rawrep_e6aa5c1c4c9f,[USPS] Package delivery has been suspended due to incomplete house numbers please modify the address online in time,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0301,did you know <NAMED_ENTITY> takes this to control her weight. <NAMED_ENTITY>,placeholder_raw,rawrep_c255aef46769,"CIBC have noticed unusual activities on your online banking, for more information;",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0302,Ran based on your report we can offer full coverage auto for <DATE_TIME> <URL> or text end,placeholder_raw,rawrep_a275796cd596,Helo vuyoletu is Mr Makofane From BMW Plz calme2mrw,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0303,"Enjoy Rs.100 OFF, in addition to Rs.500 OFF on ZEE5 Premium Annual Pack! Renew NOW @ Rs.399 ONLY. <NAMED_ENTITY>!",placeholder_raw,rawrep_6a213b9fb94b,Please do not telephone the practice for advice on self-isolation. Follow the guidance on NHS 111 online. Due to the extremely,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0304,<NAMED_ENTITY> had a Heart Attack!😱 Read <URL>,placeholder_raw,rawrep_11144476d170,"Hello, please submit the correct delivery address, otherwise we cannot ship.",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
EXP-SPAM-0305,Congratulations <NAMED_ENTITY>. We appreciate your wonderful feedback. Whenever we claim that increment is guaranteed we mean it. There's no risk or loss in the services we offer. Get yours boosted <DATE_TIME>. Message admin using the link below.,placeholder_raw,rawrep_a02a497ce46e,"Dear customer,Your Apple 1D is due to expire today Prevent this by confiming your Apple ID at ataligaid daal.au",Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,weak_signal_suspicious,95,raw-complete replacement selected with seed and diversity caps
