review_id,message_for_review,message_raw,message_clean,source_label,normalized_label_before_review,candidate_reason,source_name,dataset_name,source_group,contains_url,contains_phone,contains_otp,contains_amount,suggested_category,raw_quality_status,source_traceability_status,expert_label,expert_confidence,expert_notes,reviewer_name,review_date,normalized_label,likely_review_bucket,bucket_reason,spam_signal_score,smishing_signal_score,selection_priority_score,candidate_origin,duplicate_key
EXP-SPAM-0022,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,True,False,False,True,reward/prize,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;prize_reward_ad;link_present;original_spam_label,7,1,60,current_raw_complete_packet,hmv bonus special < > ounds of genuine hmv vouchers to be won just answer 4 easy questions send hmv to 86688 more info < >
EXP-SPAM-0024,Ringtone Club: Gr8 new polys direct to your mobile every week !,Ringtone Club: Gr8 new polys direct to your mobile every week !,Ringtone Club: Gr8 new polys direct to your mobile every week !,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,ringtone_subscription;original_spam_label,6,0,52,current_raw_complete_packet,ringtone club gr8 new polys direct to your mobile every week
EXP-SPAM-0025,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,banking/account-like suspicious,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,bank_account_bait;original_spam_label,3,3,64,current_raw_complete_packet,bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that is a < > per
EXP-SPAM-0026,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday!","Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday!","Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday!",spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,False,False,False,reward/prize,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,prize_reward_ad;original_spam_label,5,0,50,current_raw_complete_packet,sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box 113 bray wicklow eire quiz starts saturday
EXP-SPAM-0028,No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,True,False,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,ringtone_subscription;premium_number_ad;link_present;original_spam_label,8,1,62,current_raw_complete_packet,no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates < > pobox 36504 w45wq norm < > tone 16
EXP-SPAM-0029,Now Get*SAUNA SLIM BELT(Rs650)&VIBRATION+SAUNA BELT(Rs999)NCR(Rs50 Extra)LoseFAT(5 inch)+FreeSLIM.TEA PH:9311304872/9268250573,Now Get*SAUNA SLIM BELT(Rs650)&VIBRATION+SAUNA BELT(Rs999)NCR(Rs50 Extra)LoseFAT(5 inch)+FreeSLIM.TEA PH:9311304872/9268250573,Now Get*SAUNA SLIM BELT(Rs650)&VIBRATION+SAUNA BELT(Rs999)NCR(Rs50 Extra)LoseFAT(5 inch)+FreeSLIM.TEA PH:9311304872/9268250573,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,True,promotional spam,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,now get sauna slim belt < > vibration sauna belt < > ncr < > extra losefat 5 inch < > ph < > < >
EXP-SPAM-0030,"Wellness Profile -health checkup from Thyrocare: Covers heart, thyroid, kidney, liver, diabetes & more. 63 Wellness Tests @home service with 33% Disc. : 09222201004","Wellness Profile -health checkup from Thyrocare: Covers heart, thyroid, kidney, liver, diabetes & more. 63 Wellness Tests @home service with 33% Disc. : 09222201004","Wellness Profile -health checkup from Thyrocare: Covers heart, thyroid, kidney, liver, diabetes & more. 63 Wellness Tests @home service with 33% Disc. : 09222201004",spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,True,gambling/casino/free spin,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,gambling_promo;original_spam_label,5,0,50,current_raw_complete_packet,wellness profile health checkup from thyrocare covers heart thyroid kidney liver diabetes more 63 wellness tests home service with 33 disc < >
EXP-SPAM-0031,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)","Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)","Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;original_spam_label,5,0,50,current_raw_complete_packet,hungry gay guys feeling hungry and up 4 it now call < > just < > min to stop texts call < > p min
EXP-SPAM-0033,This message is brought to you by GMW Ltd. and is not connected to the,This message is brought to you by GMW Ltd. and is not connected to the,This message is brought to you by GMW Ltd. and is not connected to the,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,this message is brought to you by gmw ltd and is not connected to the
EXP-SPAM-0034,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;premium_number_ad;original_spam_label,7,0,54,current_raw_complete_packet,customer loyalty offer the new nokia6650 mobile from only < > at txtauction txt word start to no 81151 get yours now 4t ctxt tc < > mtmsg
EXP-SPAM-0036,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,did you hear about the new divorce barbie it comes with all of ken s stuff
EXP-SPAM-0037,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;original_spam_label,5,0,50,current_raw_complete_packet,4mths half price orange line rental latest camera phones 4 free had your phone 11mths call mobilesdirect free on < > to update now or2stoptxt t cs
EXP-SPAM-0038,Please complete registration process before using any service. Code=943 Tid=020001951238,Please complete registration process before using any service. Code=943 Tid=020001951238,Please complete registration process before using any service. Code=943 Tid=020001951238,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,please complete registration process before using any service code 943 tid < >
EXP-SPAM-0039,PPORTUNITY to Own flat on NOIDA Xprsway *2bhk-19.63 lac(Al Insv) *3bhk-25.46 lac(Al.Insv) *0km frm FNG/Metro statn *Valid for 6 dayz sms IN to 567670,PPORTUNITY to Own flat on NOIDA Xprsway *2bhk-19.63 lac(Al Insv) *3bhk-25.46 lac(Al.Insv) *0km frm FNG/Metro statn *Valid for 6 dayz sms IN to 567670,PPORTUNITY to Own flat on NOIDA Xprsway *2bhk-19.63 lac(Al Insv) *3bhk-25.46 lac(Al.Insv) *0km frm FNG/Metro statn *Valid for 6 dayz sms IN to 567670,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,False,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,pportunity to own flat on noida xprsway 2bhk 19 63 lac al insv 3bhk 25 46 lac < > 0km frm fng metro statn valid for 6 dayz sms in to 567670
EXP-SPAM-0040,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;original_spam_label,5,0,50,current_raw_complete_packet,will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt horo followed by ur star sign e g horo aries
EXP-SPAM-0041,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277.,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277.,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277.,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,False,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,ringtone_subscription;original_spam_label,6,0,52,current_raw_complete_packet,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277
EXP-SPAM-0042,U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com .150ppermessSubscription,U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com .150ppermessSubscription,U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com .150ppermessSubscription,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,True,False,False,True,reward/prize,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;ringtone_subscription;premium_number_ad;link_present;original_spam_label,10,1,66,current_raw_complete_packet,u can win < > of music gift vouchers every week starting now txt the word draw to 87066 tscs < > < > permesssubscription
EXP-SPAM-0043,Filthy stories and GIRLS waiting for your,Filthy stories and GIRLS waiting for your,Filthy stories and GIRLS waiting for your,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,filthy stories and girls waiting for your
EXP-SPAM-0047,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr","As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr","As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,reward/prize,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;prize_reward_ad;original_spam_label,7,0,54,current_raw_complete_packet,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no 88600 to claim < > msg exp 30apr
EXP-SPAM-0049,n 45days Reduce Fat(8 Inch)use*SAUNA SLIM BELT*(650) VIBRATION BELT(999) NCR(50Rs Extra)+Free YOKO Call Now:9268250573/931130487,n 45days Reduce Fat(8 Inch)use*SAUNA SLIM BELT*(650) VIBRATION BELT(999) NCR(50Rs Extra)+Free YOKO Call Now:9268250573/931130487,n 45days Reduce Fat(8 Inch)use*SAUNA SLIM BELT*(650) VIBRATION BELT(999) NCR(50Rs Extra)+Free YOKO Call Now:9268250573/931130487,Spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,True,promotional spam,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,promotional_offer;original_spam_label,5,0,50,current_raw_complete_packet,n 45days reduce fat 8 inch use sauna slim belt 650 vibration belt 999 ncr < > extra free yoko call now < > < >
EXP-SPAM-0050,"Make your career recession proof with 1 year Executive Master program in Information Security,  Get qualified for 1,88,000* Jobs. SMS or Call MS @9717470558","Make your career recession proof with 1 year Executive Master program in Information Security,  Get qualified for 1,88,000* Jobs. SMS or Call MS @9717470558","Make your career recession proof with 1 year Executive Master program in Information Security,  Get qualified for 1,88,000* Jobs. SMS or Call MS @9717470558",Spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,False,job/investment offer,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,make your career recession proof with 1 year executive master program in information security get qualified for 1 88 000 jobs sms or call ms < >
EXP-SPAM-0051,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.","Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.","Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,goal arsenal 4 henry 7 v liverpool 2 henry scores with a simple shot from 6 yards from a pass by bergkamp to give arsenal a 2 goal margin after 78 mins
EXP-SPAM-0052,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,telecom promo,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,original_spam_label,3,0,46,current_raw_complete_packet,mobile club choose any of the top quality items for your mobile 7cfca1a
EXP-SPAM-0053,Only 1 day left for SAWAN KI BAHAR compt. for Agents/DOs/CLIAs. Qualify the competition and win maximum prizes...SDM,Only 1 day left for SAWAN KI BAHAR compt. for Agents/DOs/CLIAs. Qualify the competition and win maximum prizes...SDM,Only 1 day left for SAWAN KI BAHAR compt. for Agents/DOs/CLIAs. Qualify the competition and win maximum prizes...SDM,spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,False,False,False,reward/prize,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,prize_reward_ad;original_spam_label,5,0,50,current_raw_complete_packet,only 1 day left for sawan ki bahar compt for agents dos clias qualify the competition and win maximum prizes sdm
EXP-SPAM-0054,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;original_spam_label,5,0,50,current_raw_complete_packet,interflora it s not too late to order interflora flowers for christmas call < > to place your order before midnight tomorrow
EXP-SPAM-0055,"call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,False,True,False,True,generic scam-like or unclear,pass_raw_complete,traceable,,,,,,spam,likely_spam_not_smishing,premium_number_ad;original_spam_label,5,0,50,current_raw_complete_packet,call now < > just < > per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call
