final_row_id,source_final_row_id,message_raw,message_clean,model_text,normalized_label,label_id,source_name,dataset_name,source_group,data_origin,is_synthetic,label_status,review_status,service_category,scam_category,source_file,notes
v3_public_manual_research_synthetic_row_000001,v3_public_manual_research_synthetic_row_000001,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on tbplus88.com,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000001; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000016,v3_public_manual_research_synthetic_row_000016,Banks closed this Holy Week. Deposit or withdraw from your BPI account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.,Banks closed this Holy Week. Deposit or withdraw from your BPI account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.,Banks closed this Holy Week. Deposit or withdraw from your BPI account for FREE at any of our participating partner stores nationwide. Just ask a store personnel for assistance.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000016; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000017,v3_public_manual_research_synthetic_row_000017,"To know partner store near you, visit BP| Website > Search Partner Store.","To know partner store near you, visit BP| Website > Search Partner Store.","To know partner store near you, visit BP| Website > Search Partner Store.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000017; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000018,v3_public_manual_research_synthetic_row_000018,Text STOP to 09221101742 to unsubscribe.,Text STOP to <PHONE> to unsubscribe.,Text STOP to <PHONE> to unsubscribe.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000018; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000019,v3_public_manual_research_synthetic_row_000019,"Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: BPI will never ask for your OTP, PIN, passwords, or personal information through messages or calls. BPI will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the BPI 24/7 Contact Center: (+632) 889-10000","Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: BPI will never ask for your OTP, PIN, passwords, or personal information through messages or calls. BPI will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the BPI 24/7 Contact Center: (<PHONE>","Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: BPI will never ask for your OTP, PIN, passwords, or personal information through messages or calls. BPI will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the BPI 24/7 Contact Center: (<PHONE>",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,otp_verification,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000019; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000020,v3_public_manual_research_synthetic_row_000020,"Get a chance to win up to PHP 150 Lazada voucher when you buy at least PHP 300 regular Smart load on the Metrobank App. Just log in to your account, and tap 'Send Load"". Promo runs from Feb 15 to Mar 15, 2026. T&Cs apply. Metrobank is BSP-regulated. DT1248176","Get a chance to win up to PHP 150 Lazada voucher when you buy at least PHP 300 regular Smart load on the Metrobank App. Just log in to your account, and tap 'Send Load"". Promo runs from Feb 15 to Mar 15, 2026. T&Cs apply. Metrobank is BSP-regulated. DT1248176","Get a chance to win up to PHP 150 Lazada voucher when you buy at least PHP 300 regular Smart load on the Metrobank App. Just log in to your account, and tap 'Send Load"". Promo runs from Feb 15 to Mar 15, 2026. T&Cs apply. Metrobank is BSP-regulated. DT1248176",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000020; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000021,v3_public_manual_research_synthetic_row_000021,"Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by May 29, 2026. T&Cs apply. DT1248563, 248558. Metrobank is BSP-regulated.","Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by May 29, 2026. T&Cs apply. DT1248563, 248558. Metrobank is BSP-regulated.","Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by May 29, 2026. T&Cs apply. DT1248563, 248558. Metrobank is BSP-regulated.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000021; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000022,v3_public_manual_research_synthetic_row_000022,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 6,600.00. Message from sender: Fees. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 6,600.00. Message from sender: Fees. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 6,600.00. Message from sender: Fees. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000022; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000023,v3_public_manual_research_synthetic_row_000023,"REMINDER: We will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (02)87000700. Thank you.","REMINDER: We will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (<PHONE>. Thank you.","REMINDER: We will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (<PHONE>. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000023; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000024,v3_public_manual_research_synthetic_row_000024,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 7,500.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 7,500.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 7,500.00. Message from sender: Personal Expense. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000024; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000025,v3_public_manual_research_synthetic_row_000025,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,840.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,840.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,840.00. Message from sender: Personal Expense. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000025; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000026,v3_public_manual_research_synthetic_row_000026,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,420.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,420.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,420.00. Message from sender: Personal Expense. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000026; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000027,v3_public_manual_research_synthetic_row_000027,"To improve your experience, we will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (02)87000700. Thank you.","To improve your experience, we will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (<PHONE>. Thank you.","To improve your experience, we will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (<PHONE>. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000027; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000028,v3_public_manual_research_synthetic_row_000028,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 300.00. Message from sender: Fees. Thank you.,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 300.00. Message from sender: Fees. Thank you.,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 300.00. Message from sender: Fees. Thank you.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000028; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000029,v3_public_manual_research_synthetic_row_000029,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 500.00. Message from sender: Personal Expense. Thank you.,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 500.00. Message from sender: Personal Expense. Thank you.,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 500.00. Message from sender: Personal Expense. Thank you.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000029; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000030,v3_public_manual_research_synthetic_row_000030,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 400.00. Message from sender: Fees. Thank you.,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 400.00. Message from sender: Fees. Thank you.,Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 400.00. Message from sender: Fees. Thank you.,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000030; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000031,v3_public_manual_research_synthetic_row_000031,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,860.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,860.00. Message from sender: Personal Expense. Thank you.","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,860.00. Message from sender: Personal Expense. Thank you.",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,banking,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000031; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000032,v3_public_manual_research_synthetic_row_000032,21 Nov 2024 at 1:07PM Dr. Kimberly Mae Ong is IN and will now be seeing patients. Download the Now Serving App with invite code j2Vt3uj7 at https://hi.nowserving.ph/ j2Vt3uj7 and wait for your turn. Thanks for using NowServing! Rate your recent consultation with Dr. Ong now hitps:// .nowserving.ph/ mgewUYAQdaijcVhc7,21 Nov 2024 at 1:07PM Dr. Kimberly Mae Ong is IN and will now be seeing patients. Download the Now Serving App with invite code j2Vt3uj7 at <URL> j2Vt3uj7 and wait for your turn. Thanks for using NowServing! Rate your recent consultation with Dr. Ong now hitps:// .<URL> mgewUYAQdaijcVhc7,21 Nov 2024 at 1:07PM Dr. Kimberly Mae Ong is IN and will now be seeing patients. Download the Now Serving App with invite code j2Vt3uj7 at <URL> j2Vt3uj7 and wait for your turn. Thanks for using NowServing! Rate your recent consultation with Dr. Ong now hitps:// .<URL> mgewUYAQdaijcVhc7,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000032; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000033,v3_public_manual_research_synthetic_row_000033,Your Now Serving OTP Code is 473542,Your Now Serving OTP Code is <OTP>,Your Now Serving OTP Code is <OTP>,ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,otp_verification,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000033; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
v3_public_manual_research_synthetic_row_000034,v3_public_manual_research_synthetic_row_000034,"Accepted! Your Dr Santiago appt is Mar20,2026. View details with NowServing code $1a6Fij5 at https:// hi2.nowserving.ph/s1a6Fjj5","Accepted! Your Dr Santiago appt is Mar20,2026. View details with NowServing code $1a6Fij5 at https:// <URL>","Accepted! Your Dr Santiago appt is Mar20,2026. View details with NowServing code $1a6Fij5 at https:// <URL>",ham,0,manual_google_drive_ham,manually_curated_service_ham,manual_curated_ham,manual_real,False,accepted_manual_ham,approved,unsure,,drive_export/THESIS/CLEANED/cleaned_dataset.csv,merge_status=not_merged; merged_from_manual_ids=manual_ham_000034; merged_row_count=1; artifact_status=not_artifact; text_privacy_status=raw_ocr_extracted_text
