removed_unified_id,removed_message_raw,removed_reason,replacement_candidate_id,replacement_message_raw,replacement_source_name,replacement_dataset_name,replacement_campaign_template_key,replacement_reason,duplicate_check_status,notes
mishra_002972,"As a valued customer, I am pleased to advise you that following recent review of your Mobile No. you are awarded with a Rs.5,00,000 Bonus Prize, call 8536074310",campaign_repeat_excluded,ncsu_sms_phishing_055184,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ LIGSQ",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > ligsq,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_269,Burger King Request your Fr@@ and enter for fr@@ for a Year 1X3.me/3WJ0mm Send message,weak_or_no_smishing_signal,ncsu_sms_phishing_055187,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ WcKDU",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > wckdu,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1246,"(CA) Grocery BFT#568008: Receive your assigned $289.00 now. Type ""A"" to transmit your grocery bonus to your selected institution.",weak_or_no_smishing_signal,ncsu_sms_phishing_055194,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ WFgDy",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > wfgdy,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_639,Christmas gift! You are one of the 10 users we have selected to try to win the Apple iPad Pro (2021) + Magic Keyboard Receive Now ?? groupm.�.to/wfELH?id=2f57943 Hurry up to pick up the prize within a day!,weak_or_no_smishing_signal,ncsu_sms_phishing_055307,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ tECpU",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > tecpu,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1794,"Coach Linda, I may not have time to go to the gym this week. Sorry!",weak_or_no_smishing_signal,ncsu_sms_phishing_055328,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ ciMNa",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > cimna,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
mishra_004426,"Congratulations, your cv was reviewed and you have been shortlisted. Please complete the job application by dialling 120 *22446#",weak_or_no_smishing_signal,ncsu_sms_phishing_055329,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ ajrCC",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > ajrcc,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_120,CVS: Your number was invited with 798 others to redeem a prize. Answer our quick survey before the next 6 hours to reserve yours igyre.cc/Kky7RkR,weak_or_no_smishing_signal,ncsu_sms_phishing_055330,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ EkBxB",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > ekbxb,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
mishra_003886,"Dear customer,Your Apple 1D is due to expire today Prevent this by confiming your Apple ID at ataligaid daal.au",weak_or_no_smishing_signal,ncsu_sms_phishing_055457,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ Bmpqe",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > bmpqe,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_13,"Evanie, I'm Anna, how have you been, I'm back in Denver.",weak_or_no_smishing_signal,ncsu_sms_phishing_055463,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ THRlT",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > thrlt,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_578,f3147403 best place to get a small Money - Installment Money up to $2000 go this link -> theusaloanhunters.ai%,weak_or_no_smishing_signal,ncsu_sms_phishing_055509,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ oUBPY",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > oubpy,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_417,"FreeMsg_WFargo: Your billpay did not process as scheduled, we are here to help you solve it. Follow Ipsf/wfargo to review",weak_or_no_smishing_signal,ncsu_sms_phishing_055510,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ GjZsi",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > gjzsi,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_660,"FROM:USPS our companys courier couldnt make the delivery of parcel to you address at today please input again your adress at: vpmEvening49tw.4k1pkmal.in/#?.fkz2 to drive back your package regards, usps - 61BX5B",weak_or_no_smishing_signal,ncsu_sms_phishing_055584,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ Eljlt",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > eljlt,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_963,"Good morning, my name is Sergeant Vo, a career counselor for the military in Clovis, CA. I'm reaching out to see if you would be interested in sitting down for more information about the Army benefits and programs, including money for education and up to $50,000 in bonuses.",weak_or_no_smishing_signal,ncsu_sms_phishing_055585,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ IcrQA",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > icrqa,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_245,"Hello honey, Elizabeth here. You got any plans for today? If not, message me...link}",weak_or_no_smishing_signal,ncsu_sms_phishing_055773,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ Rephr",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > rephr,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_14,"Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",weak_or_no_smishing_signal,ncsu_sms_phishing_055816,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ GZBzR",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > gzbzr,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1038,Hello. I'm Emily. Just found your house in the neighborhood and thought of reaching out to you re: a sale for it. Any interest?,weak_or_no_smishing_signal,ncsu_sms_phishing_055870,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ Rjpde",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > rjpde,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1135,Hey Am an artist If you don't mind one of your picture could be my inspiring muse for an art project I'm working on for a client You will totally get paid for it as well as a bonus; you'll also get credits,weak_or_no_smishing_signal,ncsu_sms_phishing_055871,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ YhnxS",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > yhnxs,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1815,Hey. Amy when are you picking me up?,weak_or_no_smishing_signal,ncsu_sms_phishing_056120,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ mIBmT",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > mibmt,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_613,Hey Dwayne this is Sarah. Would you entertain a fair proposal for 1149 Harwich Dr? I want to buy a place in the area.,weak_or_no_smishing_signal,ncsu_sms_phishing_056122,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ CAySb",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > caysb,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1128,"Hey I'm sorry if this offends you, but i find you really attractive and I'd love for you to be my sugar baby Just letting you know my intentions in case you will be interested Let's talk terms Like a weekly allowance Just basically paying for your time..",weak_or_no_smishing_signal,ncsu_sms_phishing_056216,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ AmyCM",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > amycm,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1139,"Hey, I really like your profile and your posts, and if you let me, I would make such an amazing mural out of it! If you don't mind, one of your posts could be my inspiring muse for an art project I'm working on for a client. You will totally get paid for it as well as a bonus and also get credits. Kindly DM for more information.",weak_or_no_smishing_signal,ncsu_sms_phishing_056218,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ eHcLw",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > ehclw,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_19,"Hey Niaz, help us answer a fast survey. We will give you a free watch in return. lksr.link/9pvvbF Txt Stop to end",weak_or_no_smishing_signal,ncsu_sms_phishing_056526,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ AIyOF",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > aiyof,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_815,"hey you im in Brandon, my S.N A P: - Chiquta228",weak_or_no_smishing_signal,ncsu_sms_phishing_056568,"[ osinsi.com ] Dear Lisa, the account has been reset for you, the new login code: Mn0838 remaining value 3834887.11 ~~~ DVOeh",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code < > remaining value < > dvoeh,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1071,"(:) Hey, your number was picked for our tuesday contest. txt Ok for more sierpiel""",weak_or_no_smishing_signal,ncsu_sms_phishing_053370,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ zrloA",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > zrloa,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_114,Hi poelacnewu33sdf.us,weak_or_no_smishing_signal,ncsu_sms_phishing_053371,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ HVeOK",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > hveok,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_7,"Hi, are you who played golf together last time? I'm Lisa",weak_or_no_smishing_signal,ncsu_sms_phishing_053373,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ yZxzu",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > yzxzu,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_21,Hi! I am Lisa's friend. Are you the Smith that Lisa recommended to me? I am Erin.,weak_or_no_smishing_signal,ncsu_sms_phishing_053389,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ KRmNS",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > krmns,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_184,"Hi, I'm Maya from US Speaks. We're polling IL. Would you respond to some questions? 1) Yes 2) No (or END SURVEY)",weak_or_no_smishing_signal,ncsu_sms_phishing_053686,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ KVWsN",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > kvwsn,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1333,"Hi, I'm thinking of using one of your photos as a source of inspiration for my art project i'm working on for a museum. You'll be getting compensated for it and also given credits, are you down?",weak_or_no_smishing_signal,ncsu_sms_phishing_053688,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ UvInM",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > uvinm,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_645,"Hi, I would like to get your company approved for business financing of $100k + today with sharp rates & terms. Please let me know when we can discuss? Hi, I am following up on getting your company approved for business financing of $100k + today. Please let me know when we can discuss this.",weak_or_no_smishing_signal,ncsu_sms_phishing_053701,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ nkrRK",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > nkrrk,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_10,"hi Jessie, it's been a long time since I came out, what are you doing recently?",weak_or_no_smishing_signal,ncsu_sms_phishing_054054,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ QCtTh",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > qctth,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_69,"Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",weak_or_no_smishing_signal,ncsu_sms_phishing_054055,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ fcRPU",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > fcrpu,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_71,"Hi, Lucy. I'm Aisha. Do you remember me? Last time we met at an auction in Northern California.",weak_or_no_smishing_signal,ncsu_sms_phishing_054523,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ Tnfeu",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > tnfeu,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_756,"Hi, this is Lieutenant Heimer again, just wanted to follow up. If you are interested in learning more we can schedule a time and date to talk on the phone and discuss this opportunity further.",weak_or_no_smishing_signal,ncsu_sms_phishing_054524,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ jqYSo",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > jqyso,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1294,"hi This is Mary, how arThis is Mary, how are you doing Alisa?e you doing Alisa?",weak_or_no_smishing_signal,ncsu_sms_phishing_054557,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ FRctt",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > frctt,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_886,"Hi this is Rich I'm a real estate agent here in San Diego. I'm sure you're aware how hot the market is, and right now we're struggling to help our homebuyers find properties in SAN DIEGO so, I'm curious, have you thought about making a move in the next 3-6 months and selling your home?",weak_or_no_smishing_signal,ncsu_sms_phishing_054612,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ vZxqO",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > vzxqo,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1029,HiGood evening have you had dinner? Come out for dinner Are You still busy Now? ;),weak_or_no_smishing_signal,ncsu_sms_phishing_054728,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ sCUEC",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > scuec,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1763,Hii am Jenny. How are you today Flynika?,weak_or_no_smishing_signal,ncsu_sms_phishing_054742,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ qvpcg",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > qvpcg,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_806,Hola . . Everly42.pdf PDF Document -74 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_054743,"[ usdtferc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852287.99 ~~~~ fPgmV",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > fpgmv,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_595,"How are you? I'm Cecilia, are you Mr. Casper, please?",weak_or_no_smishing_signal,ncsu_sms_phishing_054917,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ IErgK",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > iergk,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_594,"How was your day? Hey, Kelly! Do you remember me? I'm Monica",weak_or_no_smishing_signal,ncsu_sms_phishing_054919,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ smDJo",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > smdjo,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_808,"I had returned to LA, thanks for your hospitality and I will let you know in advance when I am Next in San Diego.",weak_or_no_smishing_signal,ncsu_sms_phishing_054929,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ TSwrh",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > tswrh,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1145,"I love your Instagram profile and if you let me, I would like to use one of your pictures on an art project I'm working on. You'll get paid for it.",weak_or_no_smishing_signal,ncsu_sms_phishing_055920,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ MmkMc",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > mmkmc,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1649,IRS_Statement_ID1G8J62KOZ.pdf PDF Document � 224 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_056121,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ YvYGZ",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > yvygz,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1640,IRS_Statement_ID40AJGAT9.pdf PDF Document � 97 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_056172,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ ZaMuF",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > zamuf,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1585,IRS_TAX_RE- FUND_B2D5T88RF9.pdf PDF Document � 83 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_056217,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ eALFW",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > ealfw,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1813,IRS_TAX_RE-FUND_ID_#01Q F20J091.pdf PDF Document  84 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_056268,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ FlmhD",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > flmhd,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1618,IRS_TAX_RE-FUND_OY2PTO2.pdf PDF Document � 83 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_056525,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ EYkdD",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > eykdd,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
smishtank_1584,IRS_TAX_REFUND_B2D 5T88RF9.pdf PDF Document - 83 KB,weak_or_no_smishing_signal,ncsu_sms_phishing_056567,"[ usdtherc.com ] Dear Lisa, the account has been reset for you, the new login code: LV#288 remaining value 3852487.35 ~~~~ kdsCm",SMS Phishing Dataset,wspr-ncsu/sms-phishing,< > dear lisa the account has been reset for you the new login code lv < > remaining value < > kdscm,accepted,accepted,Raw-available SMS-like smishing replacement accepted.
