augmentation_id,original_final_row_id,variant_index,perturbation_level,perturbation_techniques,num_chars_changed,changed_token_count,achieved_perturbation_rate,quality_status,label_preserved,seed,notes
aug_train_v3_public_manual_research_synthetic_row_009567_v3,v3_public_manual_research_synthetic_row_009567,3,20,leetspeak_obfuscation;spacing_punctuation_case_noise;homoglyph_substitution,64,8,0.8421,pass,True,881623697,institution_substitution:no_context_safe_institution_swap | leetspeak_obfuscation:leet_chars=4 | spacing_punctuation_case_noise:noise_edits=3 | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_008190_v1,v3_public_manual_research_synthetic_row_008190,1,20,homoglyph_substitution;url_variation;institution_substitution,38,3,0.3193,pass,True,2369615918,separator_injection:no_separator_keyword | homoglyph_substitution:homoglyph_chars=1 | urgency_paraphrasing:no_urgency_phrase | url_variation:url_domain_changed_to_safe_invalid_tld | numeric_otp_variation:no_digit_sequence | institution_substitution:institution_swap=UPS
aug_train_v3_public_manual_research_synthetic_row_005285_v1,v3_public_manual_research_synthetic_row_005285,1,20,homoglyph_substitution;url_variation;institution_substitution,197,7,0.5645,pass,True,1752527299,homoglyph_substitution:homoglyph_chars=5 | url_variation:url_domain_changed_to_safe_invalid_tld | institution_substitution:institution_swap=DHL
aug_train_v3_public_manual_research_synthetic_row_009999_v1,v3_public_manual_research_synthetic_row_009999,1,20,spacing_punctuation_case_noise;url_variation;separator_injection,36,2,0.48,pass,True,3874293335,leetspeak_obfuscation:leet_chars=0 | urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=2 | url_variation:url_domain_changed_to_safe_invalid_tld | separator_injection:separator_keyword=verify
aug_train_v3_public_manual_research_synthetic_row_005506_v1,v3_public_manual_research_synthetic_row_005506,1,20,homoglyph_substitution;url_variation;separator_injection,39,2,0.398,pass,True,2440372286,homoglyph_substitution:homoglyph_chars=1 | urgency_paraphrasing:no_urgency_phrase | url_variation:url_domain_changed_to_safe_invalid_tld | separator_injection:separator_keyword=secure
aug_train_v3_public_manual_research_synthetic_row_005282_v1,v3_public_manual_research_synthetic_row_005282,1,20,homoglyph_substitution;leetspeak_obfuscation;numeric_otp_variation,7,5,0.028,pass,True,1020594919,urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=3 | leetspeak_obfuscation:leet_chars=2 | numeric_otp_variation:numeric_sequences=1
aug_train_v3_public_manual_research_synthetic_row_005282_v2,v3_public_manual_research_synthetic_row_005282,2,20,spacing_punctuation_case_noise;homoglyph_substitution;leetspeak_obfuscation,229,25,0.916,pass,True,2376274915,separator_injection:no_separator_keyword | url_variation:no_url_found | spacing_punctuation_case_noise:noise_edits=3 | homoglyph_substitution:homoglyph_chars=3 | urgency_paraphrasing:no_urgency_phrase | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_008889_v1,v3_public_manual_research_synthetic_row_008889,1,20,numeric_otp_variation;homoglyph_substitution;url_variation,41,4,0.2908,pass,True,1433117668,institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:numeric_sequences=2 | urgency_paraphrasing:no_urgency_phrase | homoglyph_substitution:homoglyph_chars=2 | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_005781_v1,v3_public_manual_research_synthetic_row_005781,1,20,numeric_otp_variation;spacing_punctuation_case_noise;homoglyph_substitution,51,16,0.425,pass,True,2342270858,numeric_otp_variation:numeric_sequences=2 | institution_substitution:no_context_safe_institution_swap | urgency_paraphrasing:no_urgency_phrase | spacing_punctuation_case_noise:noise_edits=2 | url_variation:no_url_found | leetspeak_obfuscation:leet_chars=0 | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_006115_v1,v3_public_manual_research_synthetic_row_006115,1,20,numeric_otp_variation;homoglyph_substitution;spacing_punctuation_case_noise,71,6,0.6698,pass,True,1584206660,numeric_otp_variation:numeric_sequences=2 | urgency_paraphrasing:no_urgency_phrase | homoglyph_substitution:homoglyph_chars=1 | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_006878_v1,v3_public_manual_research_synthetic_row_006878,1,20,homoglyph_substitution;spacing_punctuation_case_noise;url_variation,91,10,0.5449,pass,True,3854669657,homoglyph_substitution:homoglyph_chars=2 | spacing_punctuation_case_noise:noise_edits=2 | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_010501_v1,v3_public_manual_research_synthetic_row_010501,1,20,spacing_punctuation_case_noise;url_variation;leetspeak_obfuscation,73,9,0.5489,pass,True,230294393,separator_injection:no_separator_keyword | spacing_punctuation_case_noise:noise_edits=3 | urgency_paraphrasing:no_urgency_phrase | url_variation:url_domain_changed_to_safe_invalid_tld | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_009112_v1,v3_public_manual_research_synthetic_row_009112,1,20,spacing_punctuation_case_noise;homoglyph_substitution;url_variation,109,17,0.7956,pass,True,2050998914,spacing_punctuation_case_noise:noise_edits=2 | urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=2 | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_009112_v2,v3_public_manual_research_synthetic_row_009112,2,20,url_variation;leetspeak_obfuscation;homoglyph_substitution,41,3,0.2993,pass,True,647690832,url_variation:url_domain_changed_to_safe_invalid_tld | leetspeak_obfuscation:leet_chars=3 | homoglyph_substitution:homoglyph_chars=2
aug_train_v3_public_manual_research_synthetic_row_009624_v1,v3_public_manual_research_synthetic_row_009624,1,20,spacing_punctuation_case_noise;homoglyph_substitution;numeric_otp_variation,39,6,0.2042,pass,True,3609290297,urgency_paraphrasing:no_urgency_phrase | spacing_punctuation_case_noise:noise_edits=3 | leetspeak_obfuscation:leet_chars=0 | separator_injection:no_separator_keyword | url_variation:no_url_found | homoglyph_substitution:homoglyph_chars=3 | institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:numeric_sequences=1
aug_train_v3_public_manual_research_synthetic_row_005702_v1,v3_public_manual_research_synthetic_row_005702,1,20,spacing_punctuation_case_noise;numeric_otp_variation;urgency_paraphrasing,356,9,0.9393,pass,True,3883390175,spacing_punctuation_case_noise:noise_edits=2 | numeric_otp_variation:numeric_sequences=2 | urgency_paraphrasing:urgency_phrase=\bimmediately\b
aug_train_v3_public_manual_research_synthetic_row_005702_v2,v3_public_manual_research_synthetic_row_005702,2,20,leetspeak_obfuscation;url_variation;spacing_punctuation_case_noise,217,26,0.5726,pass,True,384735566,leetspeak_obfuscation:leet_chars=2 | url_variation:url_domain_changed_to_safe_invalid_tld | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_009221_v1,v3_public_manual_research_synthetic_row_009221,1,20,url_variation;homoglyph_substitution;numeric_otp_variation,79,6,0.3692,pass,True,3780326417,url_variation:url_domain_changed_to_safe_invalid_tld | urgency_paraphrasing:no_urgency_phrase | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=3 | numeric_otp_variation:numeric_sequences=2
aug_train_v3_public_manual_research_synthetic_row_007349_v1,v3_public_manual_research_synthetic_row_007349,1,20,homoglyph_substitution;numeric_otp_variation;leetspeak_obfuscation,8,4,0.0552,pass,True,2801643215,homoglyph_substitution:homoglyph_chars=2 | numeric_otp_variation:numeric_sequences=1 | url_variation:no_url_found | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_005450_v1,v3_public_manual_research_synthetic_row_005450,1,20,numeric_otp_variation;homoglyph_substitution;spacing_punctuation_case_noise,43,4,0.3739,pass,True,2588223516,numeric_otp_variation:numeric_sequences=2 | leetspeak_obfuscation:leet_chars=0 | url_variation:no_url_found | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=1 | separator_injection:no_separator_keyword | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_007296_v1,v3_public_manual_research_synthetic_row_007296,1,20,homoglyph_substitution;numeric_otp_variation;spacing_punctuation_case_noise,35,5,0.5738,pass,True,236634138,leetspeak_obfuscation:leet_chars=0 | homoglyph_substitution:homoglyph_chars=1 | separator_injection:no_separator_keyword | numeric_otp_variation:numeric_sequences=1 | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=3
aug_train_v3_public_manual_research_synthetic_row_008398_v1,v3_public_manual_research_synthetic_row_008398,1,20,numeric_otp_variation;leetspeak_obfuscation;separator_injection,16,4,0.1322,pass,True,2579367923,numeric_otp_variation:numeric_sequences=1 | url_variation:no_url_found | institution_substitution:no_context_safe_institution_swap | leetspeak_obfuscation:leet_chars=4 | separator_injection:separator_keyword=login
aug_train_v3_public_manual_research_synthetic_row_010533_v1,v3_public_manual_research_synthetic_row_010533,1,20,url_variation;leetspeak_obfuscation;homoglyph_substitution,147,3,0.8802,pass,True,3443043424,url_variation:url_domain_changed_to_safe_invalid_tld | leetspeak_obfuscation:leet_chars=4 | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=2
aug_train_v3_public_manual_research_synthetic_row_008011_v1,v3_public_manual_research_synthetic_row_008011,1,20,separator_injection;leetspeak_obfuscation;homoglyph_substitution,56,3,0.6087,pass,True,1392223171,separator_injection:separator_keyword=update | institution_substitution:no_context_safe_institution_swap | leetspeak_obfuscation:leet_chars=2 | urgency_paraphrasing:no_urgency_phrase | numeric_otp_variation:no_digit_sequence | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_008358_v1,v3_public_manual_research_synthetic_row_008358,1,20,spacing_punctuation_case_noise;url_variation;leetspeak_obfuscation,63,4,0.4345,pass,True,2888212435,institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:no_digit_sequence | separator_injection:no_separator_keyword | spacing_punctuation_case_noise:noise_edits=3 | url_variation:url_domain_changed_to_safe_invalid_tld | leetspeak_obfuscation:leet_chars=4
aug_train_v3_public_manual_research_synthetic_row_006166_v1,v3_public_manual_research_synthetic_row_006166,1,20,spacing_punctuation_case_noise;url_variation;homoglyph_substitution,55,4,0.5612,pass,True,2741540558,spacing_punctuation_case_noise:noise_edits=2 | url_variation:url_domain_changed_to_safe_invalid_tld | numeric_otp_variation:no_digit_sequence | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_006622_v1,v3_public_manual_research_synthetic_row_006622,1,20,leetspeak_obfuscation;url_variation;spacing_punctuation_case_noise,94,5,1.033,pass,True,105047128,leetspeak_obfuscation:leet_chars=4 | separator_injection:no_separator_keyword | url_variation:url_domain_changed_to_safe_invalid_tld | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_007902_v1,v3_public_manual_research_synthetic_row_007902,1,20,homoglyph_substitution;spacing_punctuation_case_noise;url_variation,78,3,1.0263,pass,True,1872962460,homoglyph_substitution:homoglyph_chars=1 | leetspeak_obfuscation:leet_chars=0 | spacing_punctuation_case_noise:noise_edits=2 | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_009857_v1,v3_public_manual_research_synthetic_row_009857,1,20,url_variation;leetspeak_obfuscation;numeric_otp_variation,98,2,1.1529,pass,True,3658872482,url_variation:url_domain_changed_to_safe_invalid_tld | urgency_paraphrasing:no_urgency_phrase | leetspeak_obfuscation:leet_chars=3 | institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:numeric_sequences=2
aug_train_v3_public_manual_research_synthetic_row_009905_v1,v3_public_manual_research_synthetic_row_009905,1,20,separator_injection;url_variation;homoglyph_substitution,111,13,1.1327,pass,True,1424061289,separator_injection:separator_keyword=login | leetspeak_obfuscation:leet_chars=0 | url_variation:url_domain_changed_to_safe_invalid_tld | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_009905_v2,v3_public_manual_research_synthetic_row_009905,2,20,separator_injection;homoglyph_substitution;spacing_punctuation_case_noise,89,12,0.9082,pass,True,3667295013,separator_injection:separator_keyword=login | leetspeak_obfuscation:leet_chars=0 | homoglyph_substitution:homoglyph_chars=1 | urgency_paraphrasing:no_urgency_phrase | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_008491_v1,v3_public_manual_research_synthetic_row_008491,1,20,homoglyph_substitution;institution_substitution;spacing_punctuation_case_noise,11,4,0.0965,pass,True,865277146,numeric_otp_variation:no_digit_sequence | homoglyph_substitution:homoglyph_chars=2 | institution_substitution:institution_swap=Amazon | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_008087_v1,v3_public_manual_research_synthetic_row_008087,1,20,leetspeak_obfuscation;homoglyph_substitution;spacing_punctuation_case_noise,61,12,0.6703,pass,True,2149323624,leetspeak_obfuscation:leet_chars=4 | separator_injection:no_separator_keyword | numeric_otp_variation:no_digit_sequence | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=1 | url_variation:no_url_found | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_005310_v1,v3_public_manual_research_synthetic_row_005310,1,20,url_variation;leetspeak_obfuscation;numeric_otp_variation,287,5,0.6406,pass,True,2087368252,url_variation:url_domain_changed_to_safe_invalid_tld | leetspeak_obfuscation:leet_chars=2 | institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:numeric_sequences=2
aug_train_v3_public_manual_research_synthetic_row_005310_v2,v3_public_manual_research_synthetic_row_005310,2,20,numeric_otp_variation;spacing_punctuation_case_noise;separator_injection,272,20,0.6071,pass,True,3143473813,numeric_otp_variation:numeric_sequences=2 | spacing_punctuation_case_noise:noise_edits=2 | separator_injection:separator_keyword=secure
aug_train_v3_public_manual_research_synthetic_row_009653_v1,v3_public_manual_research_synthetic_row_009653,1,20,spacing_punctuation_case_noise;homoglyph_substitution;urgency_paraphrasing,64,3,1.0667,pass,True,2758155104,spacing_punctuation_case_noise:noise_edits=2 | separator_injection:no_separator_keyword | homoglyph_substitution:homoglyph_chars=1 | leetspeak_obfuscation:leet_chars=0 | url_variation:no_url_found | urgency_paraphrasing:urgency_phrase=\burgent\b
aug_train_v3_public_manual_research_synthetic_row_006371_v1,v3_public_manual_research_synthetic_row_006371,1,20,separator_injection;homoglyph_substitution;leetspeak_obfuscation,108,24,0.7883,pass,True,4244205565,numeric_otp_variation:no_digit_sequence | institution_substitution:no_context_safe_institution_swap | separator_injection:separator_keyword=account | homoglyph_substitution:homoglyph_chars=2 | leetspeak_obfuscation:leet_chars=4
aug_train_v3_public_manual_research_synthetic_row_006924_v1,v3_public_manual_research_synthetic_row_006924,1,20,leetspeak_obfuscation;homoglyph_substitution;spacing_punctuation_case_noise,29,8,0.25,pass,True,3333450378,leetspeak_obfuscation:leet_chars=2 | homoglyph_substitution:homoglyph_chars=2 | numeric_otp_variation:no_digit_sequence | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_008534_v1,v3_public_manual_research_synthetic_row_008534,1,20,leetspeak_obfuscation;spacing_punctuation_case_noise;homoglyph_substitution,45,11,0.3689,pass,True,3438359339,leetspeak_obfuscation:leet_chars=4 | spacing_punctuation_case_noise:noise_edits=2 | homoglyph_substitution:homoglyph_chars=2
aug_train_v3_public_manual_research_synthetic_row_008534_v2,v3_public_manual_research_synthetic_row_008534,2,20,separator_injection;leetspeak_obfuscation;spacing_punctuation_case_noise,49,14,0.4016,pass,True,1463075382,separator_injection:separator_keyword=verify | url_variation:no_url_found | leetspeak_obfuscation:leet_chars=2 | urgency_paraphrasing:no_urgency_phrase | numeric_otp_variation:no_digit_sequence | spacing_punctuation_case_noise:noise_edits=3
aug_train_v3_public_manual_research_synthetic_row_008748_v1,v3_public_manual_research_synthetic_row_008748,1,20,leetspeak_obfuscation;url_variation;spacing_punctuation_case_noise,103,4,0.763,pass,True,1586508687,leetspeak_obfuscation:leet_chars=4 | url_variation:url_domain_changed_to_safe_invalid_tld | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_009506_v1,v3_public_manual_research_synthetic_row_009506,1,20,leetspeak_obfuscation;homoglyph_substitution;spacing_punctuation_case_noise,112,5,0.9333,pass,True,1175252885,leetspeak_obfuscation:leet_chars=3 | homoglyph_substitution:homoglyph_chars=1 | separator_injection:no_separator_keyword | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_007830_v1,v3_public_manual_research_synthetic_row_007830,1,20,separator_injection;homoglyph_substitution;url_variation,85,3,0.8673,pass,True,2867085438,separator_injection:separator_keyword=password | numeric_otp_variation:no_digit_sequence | homoglyph_substitution:homoglyph_chars=1 | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_008132_v1,v3_public_manual_research_synthetic_row_008132,1,20,spacing_punctuation_case_noise;url_variation;separator_injection,138,20,0.8903,pass,True,1473705187,spacing_punctuation_case_noise:noise_edits=2 | url_variation:url_domain_changed_to_safe_invalid_tld | numeric_otp_variation:no_digit_sequence | separator_injection:separator_keyword=login
aug_train_v3_public_manual_research_synthetic_row_008320_v1,v3_public_manual_research_synthetic_row_008320,1,20,leetspeak_obfuscation;separator_injection;homoglyph_substitution,35,4,0.3398,pass,True,2521517799,institution_substitution:no_context_safe_institution_swap | url_variation:no_url_found | leetspeak_obfuscation:leet_chars=4 | separator_injection:separator_keyword=login | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_008320_v2,v3_public_manual_research_synthetic_row_008320,2,20,homoglyph_substitution;spacing_punctuation_case_noise;leetspeak_obfuscation,100,18,0.9709,pass,True,139265095,homoglyph_substitution:homoglyph_chars=1 | institution_substitution:no_context_safe_institution_swap | spacing_punctuation_case_noise:noise_edits=2 | url_variation:no_url_found | leetspeak_obfuscation:leet_chars=4
aug_train_v3_public_manual_research_synthetic_row_010269_v1,v3_public_manual_research_synthetic_row_010269,1,20,homoglyph_substitution;url_variation;leetspeak_obfuscation,117,2,1.1359,pass,True,1642108732,homoglyph_substitution:homoglyph_chars=1 | url_variation:url_domain_changed_to_safe_invalid_tld | institution_substitution:no_context_safe_institution_swap | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_005411_v1,v3_public_manual_research_synthetic_row_005411,1,20,separator_injection;homoglyph_substitution;url_variation,33,4,0.1429,pass,True,1356314072,separator_injection:separator_keyword=account | homoglyph_substitution:homoglyph_chars=3 | institution_substitution:no_context_safe_institution_swap | leetspeak_obfuscation:leet_chars=0 | urgency_paraphrasing:no_urgency_phrase | numeric_otp_variation:no_digit_sequence | url_variation:url_domain_changed_to_safe_invalid_tld
aug_train_v3_public_manual_research_synthetic_row_005411_v2,v3_public_manual_research_synthetic_row_005411,2,20,spacing_punctuation_case_noise;url_variation;homoglyph_substitution,116,9,0.5022,pass,True,4194094165,spacing_punctuation_case_noise:noise_edits=2 | numeric_otp_variation:no_digit_sequence | institution_substitution:no_context_safe_institution_swap | url_variation:url_domain_changed_to_safe_invalid_tld | homoglyph_substitution:homoglyph_chars=3
aug_train_v3_public_manual_research_synthetic_row_005411_v3,v3_public_manual_research_synthetic_row_005411,3,20,spacing_punctuation_case_noise;url_variation;homoglyph_substitution,92,15,0.3983,pass,True,1167933117,leetspeak_obfuscation:leet_chars=0 | urgency_paraphrasing:no_urgency_phrase | spacing_punctuation_case_noise:noise_edits=2 | numeric_otp_variation:no_digit_sequence | url_variation:url_domain_changed_to_safe_invalid_tld | institution_substitution:no_context_safe_institution_swap | homoglyph_substitution:homoglyph_chars=3
aug_train_v3_public_manual_research_synthetic_row_006955_v1,v3_public_manual_research_synthetic_row_006955,1,20,leetspeak_obfuscation;homoglyph_substitution;spacing_punctuation_case_noise,75,4,0.8333,pass,True,661097433,separator_injection:no_separator_keyword | leetspeak_obfuscation:leet_chars=2 | numeric_otp_variation:no_digit_sequence | url_variation:no_url_found | urgency_paraphrasing:no_urgency_phrase | homoglyph_substitution:homoglyph_chars=1 | spacing_punctuation_case_noise:noise_edits=2
aug_train_v3_public_manual_research_synthetic_row_007057_v1,v3_public_manual_research_synthetic_row_007057,1,20,url_variation;separator_injection;leetspeak_obfuscation,48,3,0.5455,pass,True,3350351799,url_variation:url_domain_changed_to_safe_invalid_tld | separator_injection:separator_keyword=secure | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_007127_v1,v3_public_manual_research_synthetic_row_007127,1,20,url_variation;homoglyph_substitution;separator_injection,38,2,0.3304,pass,True,2913115819,urgency_paraphrasing:no_urgency_phrase | leetspeak_obfuscation:leet_chars=0 | url_variation:url_domain_changed_to_safe_invalid_tld | homoglyph_substitution:homoglyph_chars=2 | institution_substitution:no_context_safe_institution_swap | separator_injection:separator_keyword=secure
aug_train_v3_public_manual_research_synthetic_row_009059_v1,v3_public_manual_research_synthetic_row_009059,1,20,spacing_punctuation_case_noise;homoglyph_substitution;leetspeak_obfuscation,124,24,0.992,pass,True,3640493039,spacing_punctuation_case_noise:noise_edits=3 | numeric_otp_variation:no_digit_sequence | homoglyph_substitution:homoglyph_chars=2 | url_variation:no_url_found | institution_substitution:no_context_safe_institution_swap | urgency_paraphrasing:no_urgency_phrase | leetspeak_obfuscation:leet_chars=2
aug_train_v3_public_manual_research_synthetic_row_009814_v1,v3_public_manual_research_synthetic_row_009814,1,20,leetspeak_obfuscation;spacing_punctuation_case_noise;homoglyph_substitution,5,4,0.0562,pass,True,1460390282,institution_substitution:no_context_safe_institution_swap | url_variation:no_url_found | separator_injection:no_separator_keyword | leetspeak_obfuscation:leet_chars=2 | spacing_punctuation_case_noise:noise_edits=3 | urgency_paraphrasing:no_urgency_phrase | homoglyph_substitution:homoglyph_chars=1
aug_train_v3_public_manual_research_synthetic_row_007314_v1,v3_public_manual_research_synthetic_row_007314,1,20,spacing_punctuation_case_noise;url_variation;numeric_otp_variation,164,4,0.9425,pass,True,2865214349,separator_injection:no_separator_keyword | spacing_punctuation_case_noise:noise_edits=2 | urgency_paraphrasing:no_urgency_phrase | url_variation:url_domain_changed_to_safe_invalid_tld | institution_substitution:no_context_safe_institution_swap | numeric_otp_variation:numeric_sequences=1
aug_train_v3_public_manual_research_synthetic_row_006175_v1,v3_public_manual_research_synthetic_row_006175,1,20,spacing_punctuation_case_noise;institution_substitution;homoglyph_substitution,85,4,0.8763,pass,True,3128428300,numeric_otp_variation:no_digit_sequence | spacing_punctuation_case_noise:noise_edits=2 | institution_substitution:institution_swap=DHL | homoglyph_substitution:homoglyph_chars=1
