old_unified_id,old_message_clean,replacement_candidate_id,replacement_message_raw,replacement_message_clean,replacement_source_name,replacement_dataset_name,match_method,duplicate_check_status,replacement_status,notes
gathered_imc25_english_smish_00019,"You've been exposed to someone with <NAMED_ENTITY> (Omicron). You are required to take immediate action, to order a PCR test, visit: health-care- <URL>",ncsu_sms_phishing_000010,": Your 'CHECKING' and 'DEBlT' have been frozen due to inappropriate use of our service agreement, visit https://wa.gl/Rlqng to reverify y",": Your 'CHECKING' and 'DEBlT' have been frozen due to inappropriate use of our service agreement, visit <URL> to reverify y",SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00022,Your <NAMED_ENTITY> account is temporarily locked. Verify yourself to get unrestricted. <LOCATION>,smishx_smishing_0028,[emailÂ protected] / no subject / Are you interested in discreet affair? Open My Link I'll show you everything I'm live On My Website it's free join... https://qi.lv/z3i.,[emailÂ protected] / no subject / Are you interested in discreet affair? Open My Link I'll show you everything I'm live On My Website it's free join... <URL>,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00026,"APPLE: Apple Pay was deactivated on your device. To reactivate, visit the link immediately: <URL> <URL>",imc25_english_smish_01759,"Hello, Welcome to our group ,You can learn how to earn $600 -1000 perday . Click and join us,","Hello, Welcome to our group ,You can learn how to earn <AMOUNT> -1000 perday. Click and join us,",Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00027,<DATE_TIME> your parcel but no one answered. Reschedule & track parcel at: <URL> <URL>,hf_bengali_sms_smishing_english_smish_0005,"Dear customer, your internet service is about to be shut down. Click here to restart: www.face3b00kisp.com","Dear customer, your internet service is about to be shut down. Click here to restart: <URL>",Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00028,"<URL> ZofHB08b2QA83Y9tzOm Amazon: Sign-in from I, GR. Tap link to respond.",ncsu_sms_phishing_000019,"We  tried  to  deliver  your  package,  but  there  is  an  unpaid  delivery  fee.  More  details  here:  https://pgwudao.com","We tried to deliver your package, but there is an unpaid delivery fee. More details here: <URL>",SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00032,"Hey M>itchel:|, | wanted to see if you are still interested in this >> <URL> t29zq1r",smishx_smishing_0035,Support#1721@directeursdecomptessbpme.td.com / TD#(URGENT)#ID231721 / TD#ID17-Access-Locked.please follow the verification form: https://encurtador.com.br/AFLS6,Support#<EMAIL> / TD#(URGENT)#ID231721 / TD#ID17-Access-Locked.please follow the verification form: <URL>,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00033,USPS: the scheduled delivery for the package 4x381ba has been changed. Please confirm here: <URL>,imc25_english_smish_03222,USPS: Your package will be returned due to missing address details. Please update the address in time: http://receiptincorrectkh4e.,USPS: Your package will be returned due to missing address details. Please update the address in time: <URL>,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00034,"SingaPost: Your Reffrence Number <US_BANK_NUMBER> Is ready for collection, Or you can add an address if you want to receive your item by post <URL> 8Kefks40G9",hf_bengali_sms_smishing_english_smish_0007,Your Modhumoti Bank agricultural loan defaulted. Settle: modhumotibank-agri.com,Your Modhumoti Bank agricultural loan defaulted. Settle: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00035,BOI: We have temporarily restricted access to your account due to suspicious activity. Please visit <URL>,ncsu_sms_phishing_000029,": Your 'DEBlT CARD' have been frozen due to inappropriate use of our service agreement, visit https://wa.gl/Rlqng to reverify your detail",": Your 'DEBlT CARD' have been frozen due to inappropriate use of our service agreement, visit <URL> to reverify your detail",SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00039,€ PARCEL-<US_DRIVER_LICENSE> IS PENDING - Please confirm item! Track: <URL> Pee,smishx_smishing_0043,"/ (URGENT) CaseID#TD15 / Access-Locked. Please,Validate By clicking the following link: http://e7.al/419","/ (URGENT) CaseID#TD15 / Access-Locked. Please,Validate By clicking the following link: <URL>",SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00041,NHS: You've have been in close contact with a person who has Omicron. Please order a Test Kit: <URL> <URL>,imc25_english_smish_03411,Dear Customer Your SBI Yono Account validity is expired. Please click the link to update your your PAN. Link – http://..._de,Dear Customer Your SBI Yono Account validity is expired. Please click the link to update your your PAN. Link – <URL>,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00042,You have been in close contact with someone who has the Omicron Variant. You must order a free PCR testing kit here: <URL>quest- <URL>,hf_bengali_sms_smishing_english_smish_0008,Janata Bank account is blocked. Click here to reactivate: https://t.me/JanataActivateBot,Janata Bank account is blocked. Click here to reactivate: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00043,NHS: You've been near someone with the Omicron Variant. Apply for a Test Kit <DATE_TIME>: <URL> <URL>,ncsu_sms_phishing_000031,PayPal:  Your  account  has  been  limited  because  we  detected  unusual  sign  in  activity  on  your  account  with  CASE-ID#PP-L-3037638964536.  Check  now  and  login  to  verify:  https://mysp.ac/59gAr,PayPal: Your account has been limited because we detected unusual sign in activity on your account with CASE-ID#PP-L-<PHONE>. Check now and login to verify: <URL>,SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00053,"Your One Time Passcode is <DATE_TIME> for a payment of 415.89 to CURRYS. Ref RB9U If this was NOT you, Please call our dedicated fraud team on <DATE_TIME>",smishx_smishing_0044,"[Postal Service] Your delivery address is incorrect and we cannot deliver it, please update the delivery address timely. https://upssuers.com","[Postal Service] Your delivery address is incorrect and we cannot deliver it, please update the delivery address timely. <URL>",SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00057,'-) ADVISORY: Your Online Digital Access is under verification please proceed here if your registered mobile number is still active <URL> <URL>,imc25_english_smish_03637,Dear User You’ve earned <LOCATION> 5000 bonus cash on Specials. Click on https://t.jio/winnings-MYIPL5K to claim your coupon! T&C Team JioCoupon,Dear User You’ve earned <LOCATION> 5000 bonus cash on Specials. Click on <URL> to claim your coupon! T&C Team JioCoupon,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00059,DVLA: We recalculated <AMOUNT> is due <URL> to claim,hf_bengali_sms_smishing_english_smish_0009,Opportunity to get free crypto! Click here: http://bit.ly/FreeCrypto,Opportunity to get free crypto! Click here: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00061,"~ Msg: Chasec- Block placed on your Chase checking account, please contact <PHONE> to authenticate.",ncsu_sms_phishing_000042,NABALERT:   On   03/05   at   09:00   you   added   a   device   from   your   account.   If   this   was   not   you   please   visit:   nab-user-protect.com,NABALERT: On 03/05 at 09:00 you added a device from your account. If this was not you please visit: <URL>,SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00062,You / have (1) outstanding package! Ref: DHL-6461W Last chance to pick up > <URL> ?<NAMED_ENTITY>-v5zp,smishx_smishing_0046,[US POSTAL] Your package is ready for delivery. Confirm your address to avoid returns: https://dik.si/postal,[US POSTAL] Your package is ready for delivery. Confirm your address to avoid returns: <URL>,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00067,"VODAFONE: Your Mobile SIM Contract(s) will be disabled, due to failure to accept our new Terms of Service. Log on: <URL> to accept",imc25_english_smish_03659,Hello your credit union account has been placed on hold please verify your account follow https://continue1/online/,Hello your credit union account has been placed on hold please verify your account follow <URL>,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00069,Alert:Your Edd account was just signed in new device. If this wasn't you kindly click here <NAMED_ENTITY> to regain the access or visit nearby branch.,hf_bengali_sms_smishing_english_smish_0010,"Sweet news! You won a pair of movie tickets! To claim your prize, click here mcvst.com","Sweet news! You won a pair of movie tickets! To claim your prize, click here <URL>",Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00073,"{IRS-GOV}Your refund was rejected by IRS, to get approve kindly verify your identity here <URL> now",ncsu_sms_phishing_000064,"[email protected]   /   M&T   Bank   /   M&T   (#716187):   For   security   reasons,   We   have   Iocked   your   account.   Please   visit   https://cya.nz/4Qso   to   verify   your   details   and   unlock   your   account   or   call   us.","[email protected] / M&T Bank / M&T (#716187): For security reasons, We have Iocked your account. Please visit <URL> to verify your details and unlock your account or call us.",SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00074,NFCU ALERT: An attempt of <AMOUNT> at Uber If you didn't authorize this transaction follow the link to cancel <URL>,smishx_smishing_0057,"[emailÂ protected] / Notice / We did not find your address, please update it: http://fabrikaistanbul.com/","[emailÂ protected] / Notice / We did not find your address, please update it: <URL>",SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00078,"Transaction Alerts: your B 0 A card was used on <DATE_TIME> 15:46:55 EST for <AMOUNT>, if you do not recognise this transaction contact us on <PHONE>",imc25_english_smish_03876,I'm at Woolworths and brought the wrong card with me. Can you please transfer me 350 I will pay you back when I get home. Thanks BSB: 812-812 ACC: 101-035-331,I'm at Woolworths and brought the wrong card with me. Can you please transfer me 350 I will pay you back when I get home. Thanks BSB: 812-812 ACC: <PHONE>,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00079,Important message sent to you by. Code: VISA DEBIT Card Locked. Call support at: <PHONE>. Thank you! Alert Code: DsDXQxJkZjCdPnINFq,hf_bengali_sms_smishing_english_smish_0011,Bangladesh Bank account is blocked. Call to reactivate: +8801713233345,Bangladesh Bank account is blocked. Call to reactivate: <PHONE>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00080,"ID:13319 [Track Packages] Your package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link: <URL> (reply to 1 to get a secure link) Or (Copy the link to your Safari browser and open it) Sincerely, USPS Support Team",ncsu_sms_phishing_000065,"Hey! Revealing my strategies now, click the link to join me LIVE! > http://mbltext.com/k6M","Hey! Revealing my strategies now, click the link to join me LIVE! > <URL>",SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00081,<NAMED_ENTITY> unlocked her private gallery. Your code is 95068 to view now: <URL>,smishx_smishing_0060,[emailÂ protected]m / TDMobileAlert ID#30419 / TD Bank Validate Your Login: http://e7.al/365?30419 ID#19,[emailÂ protected]m / TDMobileAlert ID#30419 / TD Bank Validate Your Login: <URL> ID#19,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00085,"IRS: Your account is missing some info that we need to comply with financial regulations, login at <URL> With idme to keep your account activated. The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team",imc25_english_smish_04097,I'm at the train station and bought the wrong card with me. Can you please send me 800 I will pay you back when I get home. BSB - 084-961 ACC - 77-935-2877.,I'm at the train station and bought the wrong card with me. Can you please send me 800 I will pay you back when I get home. BSB - 084-961 ACC - <PHONE>.,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00087,BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at <URL> to prevent identity theft.,hf_bengali_sms_smishing_english_smish_0014,"Those who have Telegram can earn a lot of money from today. https://t.me/Moshiur3412_bot?start=r00372672385 Spend 1 hour daily and earn 500💵 to 1000💵 taka. Without any ads. You cannot imagine what a huge opportunity is waiting in front of you💸😱. So if you don't want to miss this opportunity, click the Telegram link above right now","Those who have Telegram can earn a lot of money from today. <URL> Spend 1 hour daily and earn 500💵 to 1000💵 taka. Without any ads. You cannot imagine what a huge opportunity is waiting in front of you💸😱. So if you don't want to miss this opportunity, click the Telegram link above right now",Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00091,"T-Mobile: Eligible CA residents get FREE data+talk+text & a smartphone with Assurance Wireless, part of the T-Mobile family. California LifeLine is a government assistance program Restrictions apply. Visit <URL> Data rates may apply.",ncsu_sms_phishing_000070,"ATO:   Your   fillings   are   overdue,   please   update   at:   https://www.safe-au.live","ATO: Your fillings are overdue, please update at: <URL>",SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00094,RSVP for up to 5 free tickets INVITATIONS ONLY COMEDY <DATE_TIME>. 10:30pm info/tickets: <URL> STOP 2 END,smishx_smishing_0072,Online#TD1400@directeursdecomptessbpme.td.com / TD#(URGENT)#ID2314 / TD#ID14-(URGENT)Access-Locked.please follow the verification form: https://encurtador.com.br/tDP56,Online#<EMAIL> / TD#(URGENT)#ID2314 / TD#ID14-(URGENT)Access-Locked.please follow the verification form: <URL>,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00097,Your invoice for <DATE_TIME> is received. Thank you! here's a tiny gift for you: <URL>,imc25_english_smish_05440,YOUR NUMBER HAS WON 365.00.000 AND IPHONE 14 FROM WORLD OIL FOUNDATION RELIEF FUND KINDLY SEND YOUR NAME AGE NUMBER ADDRESS TO OUR MAIL: <EMAIL_ADDRESS>,YOUR NUMBER HAS WON <PHONE> AND IPHONE 14 FROM WORLD OIL FOUNDATION RELIEF FUND KINDLY SEND YOUR NAME AGE NUMBER ADDRESS TO OUR MAIL: <EMAIL_ADDRESS>,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00098,(FIRST_CITIZEN) Your card Locked Due to un_usual transantion attempts click ((<URL>)) to secure now.,hf_bengali_sms_smishing_english_smish_0017,Your ATM card has been blocked. Send your card number to this number to reactivate: 0123456789,Your ATM card has been blocked. Send your card number to this number to reactivate: <PHONE>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00102,T-Mobile: You're missing out! My T-Mobile makes managing your line quick and easy. Get your T-Mobile ID to get started: <URL>,ncsu_sms_phishing_000073,CommBank: A transaction was performed using your debit card. You can secure or cancel request at commbank-helpservice.com,CommBank: A transaction was performed using your debit card. You can secure or cancel request at <URL>,SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00103,(New trans. of <AMOUNT> @DollarTree #784 Call) <PHONE> to approve/decline,smishx_smishing_0074,Alert#3136@directeursdecomptessbpme.td.com / TD#Alerts#ID13136 / TD#ID31-(URGENT) Access-Locked. please follow the verification form: https://encurtador.com.br/uDEQ9,Alert#<EMAIL> / TD#Alerts#ID13136 / TD#ID31-(URGENT) Access-Locked. please follow the verification form: <URL>,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00106,<NAMED_ENTITY><URL>,imc25_english_smish_05629,ATO Notice: We need to verify the claims in your recent 2020 2021 2022 kindly verify your amendment via the myGov link,ATO Notice: We need to verify the claims in your recent <PHONE> kindly verify your amendment via the myGov link,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00109,MS Teams Issue Users are experiencing intermittent latency issues with the MS Tea... <URL> or Reply with YES to confirm receipt.,hf_bengali_sms_smishing_english_smish_0018,Important message from Bangladesh Bank. For details click here: https://wa.me/8801917788990,Important message from Bangladesh Bank. For details click here: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00112,"Notification From Amazon: We've locked your Amazon account due to a billing issue. To unlock your Amazon account, please click link below: <URL> Please take action on your account within <DATE_TIME> to avoid permanent suspension. Regards, Amazon Service",ncsu_sms_phishing_000074,CommB: A transaction was performed using your debit card. You can secure or cancel request at commbank-helpservice.com route:3,CommB: A transaction was performed using your debit card. You can secure or cancel request at <URL> route:3,SMS Phishing Dataset,wspr-ncsu/sms-phishing,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00113,"POST-OFFICE No one was in to sign for (100764773GB), use <URL> to rebook a new slot.",smishx_smishing_0079,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",Urgent! Please call <PHONE>. Your ABTA complimentary 4* Spanish Holiday or <AMOUNT> cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+,SmishX,yizhu-joy/SmishX,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00115,"Hi, <NAMED_ENTITY> here. I'm sitting here at the bar, want to meet me? Contact me <URL>",imc25_english_smish_07329,Dear User You've got Specials coupon of Get Flat 5000 bonus cash on My Winnings. Click on https://t.jio/winnings-MYIPL5K to claim. T&C,Dear User You've got Specials coupon of Get Flat 5000 bonus cash on My Winnings. Click on <URL> to claim. T&C,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
gathered_imc25_english_smish_00116,(USAA Alert) Confirm and verify your transactions: <URL> If all looks good you don't have to do anything USAA.,hf_bengali_sms_smishing_english_smish_0019,IPL special offer! Start betting and win a free laptop. Click: super1000.info/docs,IPL special offer! Start betting and win a free laptop. Click: <URL>,Bengali SMS Smishing Dataset,shariul-islam/bengali-sms-smishing-dataset,replacement_pool,accepted,replaced_with_raw_available_candidate,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.
