template_id,service_category,institution_type,template_text,variable_slots,derived_from_unified_ids,example_original_message,template_status,template_quality_score,notes
service_ham_template_00011,banking,Metrobank,"Great news! As of 01/19/2026, you have enough rewards points on your <BRAND> Platinum Mastercard to waive your Annual Fee goodbye. Convert your <AMOUNT> to a 50% Annual Fee Waiver by texting the keyword below to 225622 on or before <DATE_TIME>, 2026. Keyword:","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000128,"Great news! As of 01/19/2026, you have enough rewards points on your Metrobank Platinum Mastercard to waive your Annual Fee goodbye. Convert your 26400 points to a 50% Annual Fee Waiver by texting the keyword below to 225622 on or before Feb 13, 2026. Keyword:",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00012,banking,Metrobank,Greetings from <BRAND>! Jocelyn Anne Barce just sent you <AMOUNT>. Message from sender: Fees. Thank you.,"[""AMOUNT"", ""BRAND""]",manual_ham_final_000022;manual_ham_final_000028;manual_ham_final_000030,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 6,600.00. Message from sender: Fees. Thank you.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00013,banking,Metrobank,Greetings from <BRAND>! Jocelyn Anne Barce just sent you <AMOUNT>. Message from sender: Personal Expense. Thank you.,"[""AMOUNT"", ""BRAND""]",manual_ham_final_000024;manual_ham_final_000025;manual_ham_final_000026;manual_ham_final_000029;manual_ham_final_000031,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 7,500.00. Message from sender: Personal Expense. Thank you.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00014,banking,Metrobank,"Greetings from <BRAND>! This is a friendly reminder on your minimum amount due of <AMOUNT>. You may pay via <BRAND> Online, <BRAND> App or using other banking apps.","[""AMOUNT"", ""BRAND""]",manual_ham_final_000120;manual_ham_final_000121;manual_ham_final_000122;manual_ham_final_000126;manual_ham_final_000131,"Greetings from Metrobank! This is a friendly reminder on your minimum amount due of PHP 1,753.94. You may pay via Metrobank Online, Metrobank App or using other banking apps.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00015,banking,Metrobank,"Jocelyn, Big Travel Bonus is back with up to <AMOUNT> CASHBACK for a min. accum. spend on all your travel spend using your <BRAND> credit card!","[""AMOUNT"", ""BRAND""]",manual_ham_final_000110,"Jocelyn, Big Travel Bonus is back with up to P10,000 CASHBACK for a min. accum. spend on all your travel spend using your Metrobank credit card!",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00016,banking,Metrobank,"Purchase your Korea concert tickets using your <BRAND> Mastercard credit card and get up to <AMOUNT> CASHBACK! Search ""Up to <AMOUNT> CASHBACK with Beyond Borders"" on the <BRAND> website to learn more. Promo runs from 1/16/6 to 3/15/26. T&Cs apply. DTI244590. CCPD26-002.","[""AMOUNT"", ""BRAND""]",manual_ham_final_000127,"Purchase your Korea concert tickets using your Metrobank Mastercard credit card and get up to P8,000 CASHBACK! Search ""Up to PHP 8,000 CASHBACK with Beyond Borders"" on the Metrobank website to learn more. Promo runs from 1/16/6 to 3/15/26. T&Cs apply. DTI244590. CCPD26-002.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00017,banking,Metrobank,"Quick tip when travelling abroad or shopping at overseas online stores, always choose to pay in non-Php currency for better conversion rates and enjoy better value on your purchases. <BRAND> is regulated by BSP.","[""BRAND""]",manual_ham_final_000118,"Quick tip when travelling abroad or shopping at overseas online stores, always choose to pay in non-Php currency for better conversion rates and enjoy better value on your purchases. Metrobank is regulated by BSP.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00018,banking,Metrobank,"Ready to scream, sing, and stan? Make every fandom moment in South Korea unforgettable. Get <AMOUNT> CASHBACK for a min. accum. spend of <AMOUNT> in South Korea. Valid for card present transactions made In South Korea with currency code of KRW. Register from <DATE_TIME> to 13, 2026! Download the <BRAND> App click ""Promos"" before logging in and search for ""<AMOUNT> CASHBACK on your South Korea Spends"" to know more. Quick Tip! When travelling abroad or shopping overseas online stores, always choose to pay in non-PHP currency to enjoy better conversion rates and avoid extra fees. T&Cs apply. DTI250926S26. CCPD26-057.","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000101,"Ready to scream, sing, and stan? Make every fandom moment in South Korea unforgettable. Get P500 CASHBACK for a min. accum. spend of P50,000 in South Korea. Valid for card present transactions made In South Korea with currency code of KRW. Register from April 8 to 13, 2026! Download the Metrobank App click ""Promos"" before logging in and search for ""PHP 500 CASHBACK on your South Korea Spends"" to know more. Quick Tip! When travelling abroad or shopping overseas online stores, always choose to pay in non-PHP currency to enjoy better conversion rates and avoid extra fees. T&Cs apply. DTI250926S26. CCPD26-057.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00019,banking,Metrobank,"Register now! Download the <BRAND> App, click ""Promos"" before logging in and search for ""Up to <AMOUNT> cashback on all travel spend"" to know more. Promo runs from 03/16/26 to 05/15/26 only. T&Cs apply. DTI249796S26. CCPD26-108.","[""AMOUNT"", ""BRAND""]",manual_ham_final_000111,"Register now! Download the Metrobank App, click ""Promos"" before logging in and search for ""Up to PHP 10,000 cashback on all travel spend"" to know more. Promo runs from 03/16/26 to 05/15/26 only. T&Cs apply. DTI249796S26. CCPD26-108.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00020,banking,Metrobank,"Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by <DATE_TIME>, 2026. T&Cs apply. DT1248563, 248558. <BRAND> is BSP-regulated.","[""BRAND"", ""DATE_TIME""]",manual_ham_final_000021,"Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by May 29, 2026. T&Cs apply. DT1248563, 248558. Metrobank is BSP-regulated.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00021,banking,Metrobank,"Skip ""Pay in PHP""! Quick Tip: When booking your hotel accommodations through overseas online store, or travelling abroad, ALWAYS choose to PAY INNON-PHP CURRENCY for better conversion rates and enjoy more savings. <BRAND> is regulated by the BSP.","[""BRAND""]",manual_ham_final_000105,"Skip ""Pay in PHP""! Quick Tip: When booking your hotel accommodations through overseas online store, or travelling abroad, ALWAYS choose to PAY INNON-PHP CURRENCY for better conversion rates and enjoy more savings. Metrobank is regulated by the BSP.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00022,banking,Metrobank,"Still haven't referred? Don't miss the chance to earn big: get <AMOUNT> eGC for every successful referral until <DATE_TIME>, 2026! Share your code ACO135 & invite friends to apply for their 1st <BRAND> credit card! Visit our website for the application link and T&Cs. DT1245534S2025 CCPD26-041","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000124,"Still haven't referred? Don't miss the chance to earn big: get P5,000 eGC for every successful referral until Mar 31, 2026! Share your code ACO135 & invite friends to apply for their 1st Metrobank credit card! Visit our website for the application link and T&Cs. DT1245534S2025 CCPD26-041",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00023,banking,Metrobank,We'll process your redemption within 10-20 banking days. Please reply using your primary registered mobile number to ensure successful processing. T&Cs apply. <BRAND> is regulated by BSP.,"[""BRAND""]",manual_ham_final_000130,We'll process your redemption within 10-20 banking days. Please reply using your primary registered mobile number to ensure successful processing. T&Cs apply. Metrobank is regulated by BSP.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00024,banking,Metrobank,"Your <BRAND> credit card ending in <ACCT> was due last 18/ Mar/2026 with statement balance of <AMOUNT> and minimum amount due of <AMOUNT>. For online payment, visit the <BRAND> Online website or download the <BRAND> mobile application.","[""AMOUNT"", ""BRAND""]",manual_ham_final_000109,"Your Metrobank credit card ending in 3166 was due last 18/ Mar/2026 with statement balance of PHP 3,972.84 and minimum amount due of PHP 1,000.00. For online payment, visit the Metrobank Online website or download the Metrobank mobile application.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00025,banking,Metrobank,"Your chance to start earning eGCs is EXTENDED until <DATE_TIME>, 2026! Share your code ACO135 & invite friends to apply for their first <BRAND> credit card to earn <AMOUNT> eGC per successful referral. Visit our website for the application link & T&Cs. DT1245534S2025 CCPD26-041","[""AMOUNT"", ""BRAND"", ""DATE_TIME""]",manual_ham_final_000102,"Your chance to start earning eGCs is EXTENDED until June 30, 2026! Share your code ACO135 & invite friends to apply for their first Metrobank credit card to earn P5,000 eGC per successful referral. Visit our website for the application link & T&Cs. DT1245534S2025 CCPD26-041",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00026,banking,Unknown,"50% OFF at Marco Polo Ortigas! Savor a feast at Cucina, Lung Hin, Connect Lounge, Vu's Sky Bar, & Cafe Pronto with your RCBC Visa Infinite. Valid Mon-Fri until Apr. 30. Min. spend varies. Reserve your table by calling 7720 7777! Search MPO on the RCBC Credit site. T&Cs apply. DTI252812S26",[],manual_ham_final_000059,"50% OFF at Marco Polo Ortigas! Savor a feast at Cucina, Lung Hin, Connect Lounge, Vu's Sky Bar, & Cafe Pronto with your RCBC Visa Infinite. Valid Mon-Fri until Apr. 30. Min. spend varies. Reserve your table by calling 7720 7777! Search MPO on the RCBC Credit site. T&Cs apply. DTI252812S26",approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00027,banking,Unknown,"Barefoot luxury in Siargao awaits. Enjoy an exclusive discount at Nay Palad Hideaway and all-inclusive island bliss w/ your RCBC Premium Credit Card. To book, call <PHONE> / <PHONE>. For details, visit the rcbccredit website, search NPH20. DTI246086S26. Offer until 6/30/26",[],manual_ham_final_000056;manual_ham_final_000095,"Barefoot luxury in Siargao awaits. Enjoy an exclusive discount at Nay Palad Hideaway and all-inclusive island bliss w/ your RCBC Premium Credit Card. To book, call 09177017840 / 091710698721. For details, visit the rcbccredit website, search NPH20. DTI246086S26. Offer until 6/30/26",approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00028,banking,Unknown,Credit Card! Promo runs until,[],manual_ham_final_000073,Credit Card! Promo runs until,approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00029,banking,Unknown,"Don't miss out on a sweet surprise for Mom! Use your RCBC Premium Credit Card at Paper Moon Cafe until Apr. 30 to earn her favorite treats. Get 3 Hokkaido Cupcakes (min. <AMOUNT> spend) or a Small Mille Crepe (min. <AMOUNT> spend). Redeem <DATE_TIME> at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000055,"Don't miss out on a sweet surprise for Mom! Use your RCBC Premium Credit Card at Paper Moon Cafe until Apr. 30 to earn her favorite treats. Get 3 Hokkaido Cupcakes (min. P2,000 spend) or a Small Mille Crepe (min. P5,000 spend). Redeem May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00030,banking,Unknown,"Don't miss your chance to earn Mom her Mother's Day treat! Use your RCBC Premium Card at Paper Moon Cafe by <DATE_TIME> to qualify for FREE 3 Hokkaido Cupcakes (min. <AMOUNT> spend) or a Small Mille Crepe (min. <AMOUNT> spend). Redeem <DATE_TIME> at any store. Details at the RCBC Credit site, search MDPM. DT1251767S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000048,"Don't miss your chance to earn Mom her Mother's Day treat! Use your RCBC Premium Card at Paper Moon Cafe by April 30 to qualify for FREE 3 Hokkaido Cupcakes (min. P2,000 spend) or a Small Mille Crepe (min. P5,000 spend). Redeem May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1251767S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00031,banking,Unknown,"Don't miss your chance to see Laufey live in Manila, thanks to Visa! Use your RCBC Visa Credit Card and get 1 entry for every <AMOUNT> you spend, OR be one of the 10 Top Spenders to win automatically! Promo runs until <DATE_TIME>. Register now at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000047,"Don't miss your chance to see Laufey live in Manila, thanks to Visa! Use your RCBC Visa Credit Card and get 1 entry for every P1,000 you spend, OR be one of the 10 Top Spenders to win automatically! Promo runs until May 10. Register now at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00032,banking,Unknown,"Good news! The RCBC Premium Credit Card STAY & DINE exclusive deal at DIAMOND HOTEL is extended until Jun.30! Don't miss your chance to get a DIAMOND INDULGENCE MEMBERSHIP for just <AMOUNT> (orig. <AMOUNT>). Enjoy a FREE night's stay, up to 50% OFF on dining, and more! For details, contact <PHONE>. DTI246122S26.","[""AMOUNT""]",manual_ham_final_000069,"Good news! The RCBC Premium Credit Card STAY & DINE exclusive deal at DIAMOND HOTEL is extended until Jun.30! Don't miss your chance to get a DIAMOND INDULGENCE MEMBERSHIP for just P8,710.40 (orig. P10,888). Enjoy a FREE night's stay, up to 50% OFF on dining, and more! For details, contact 09085846424. DTI246122S26.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00033,banking,Unknown,"Indulge at Gloria Maris Greenhills, JOCELYN ANNE! Enjoy 50% OFF for a min. <AMOUNT> spend with your RCBC Premium Credit Card from <DATE_TIME>, Mon.-Fri. Valid for Lunch (<DATE_TIME>-<DATE_TIME>) and Dinner (<DATE_TIME>-<DATE_TIME>). Search GMGH on the RCBC Credit website for details. T&Cs apply. DTI253026S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000067,"Indulge at Gloria Maris Greenhills, JOCELYN ANNE! Enjoy 50% OFF for a min. P5,000 spend with your RCBC Premium Credit Card from April 1-30, Mon.-Fri. Valid for Lunch (10:30AM-2:00PM) and Dinner (5:30PM-8:30PM). Search GMGH on the RCBC Credit website for details. T&Cs apply. DTI253026S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00034,banking,Unknown,"JOCELYN ANNE, as of 03/19, you have 7,317 rewards pts w/ your RCBC Visa Infinite. Redeem from 3,<AMOUNT> for cash credits, vouchers & more, via Erica at the RCBC Credit site or call the Premium Cards hotline. Maximize every spend with your Card: earn 1 pt/<AMOUNT> spend, 3x pts local online, 5x intl. online/in-store.","[""AMOUNT""]",manual_ham_final_000058,"JOCELYN ANNE, as of 03/19, you have 7,317 rewards pts w/ your RCBC Visa Infinite. Redeem from 3,300 points for cash credits, vouchers & more, via Erica at the RCBC Credit site or call the Premium Cards hotline. Maximize every spend with your Card: earn 1 pt/P30 spend, 3x pts local online, 5x intl. online/in-store.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00035,banking,Unknown,"JOCELYN ANNE, whether for a home upgrade, business, or a getaway, get the extra cash you need! Convert the available limit on your RCBC card ending in <ACCT> to RCBC InstaCash. Access up to <AMOUNT> and pay <AMOUNT>/mo. at a low add-on rate of 0.62%/mo for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU40QQUT. Offer exclusive to web applications until Mar. 31, <OTP>. DTI245989S26.","[""AMOUNT"", ""OTP""]",manual_ham_final_000085,"JOCELYN ANNE, whether for a home upgrade, business, or a getaway, get the extra cash you need! Convert the available limit on your RCBC card ending in 3000 to RCBC InstaCash. Access up to P1,141,000 and pay P26,391.94/mo. at a low add-on rate of 0.62%/mo for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU40QQUT. Offer exclusive to web applications until Mar. 31, 2026. DTI245989S26.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00036,banking,Unknown,"Make it a summer to remember, JOCELYN ANNE! Get as much as <AMOUNT> when you convert your unused limit to RCBC InstaCash on your Card ending in <ACCT> & pay <AMOUNT>/mo. at an add-on rate of only 0.62%/mo. for up to 60 mos. Visit the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until <DATE_TIME>, <OTP>. DTI245989S26","[""AMOUNT"", ""DATE_TIME"", ""OTP""]",manual_ham_final_000054,"Make it a summer to remember, JOCELYN ANNE! Get as much as P1,132,000 when you convert your unused limit to RCBC InstaCash on your Card ending in 3000 & pay P26,174.26/mo. at an add-on rate of only 0.62%/mo. for up to 60 mos. Visit the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until May 10, 2026. DTI245989S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00037,banking,Unknown,"Make the most of this offer until Mar. 31, JOCELYN ANNE! Get up to <AMOUNT> when you convert your available limit on your card ending in <ACCT> to RCBC InstaCash. Pay as low as <AMOUNT>/mo. at a low add- on rate of 0.62%/mo for up to 60 mos. Go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU40QQUT to avail. Offer is exclusive to applications via the RCBC Credit website. DTI245989S26","[""AMOUNT""]",manual_ham_final_000082,"Make the most of this offer until Mar. 31, JOCELYN ANNE! Get up to P1,141,000 when you convert your available limit on your card ending in 3000 to RCBC InstaCash. Pay as low as P26,391.94/mo. at a low add- on rate of 0.62%/mo for up to 60 mos. Go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU40QQUT to avail. Offer is exclusive to applications via the RCBC Credit website. DTI245989S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00038,banking,Unknown,"Mother's Day is sweeter w/ your RCBC Premium Credit Card! Enjoy a special gift at Paper Moon Café for purchases until Apr. 30! Get 3 Hokkaido Cupcakes for a <AMOUNT> spend or a Small Original Mille Crepe for a <AMOUNT> spend. Redeem from <DATE_TIME> at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000070,"Mother's Day is sweeter w/ your RCBC Premium Credit Card! Enjoy a special gift at Paper Moon Café for purchases until Apr. 30! Get 3 Hokkaido Cupcakes for a P2,000 spend or a Small Original Mille Crepe for a P5,000 spend. Redeem from May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00039,banking,Unknown,Payment of <AMOUNT> made to Card end 3000 was posted on 03/16.,"[""AMOUNT""]",manual_ham_final_000086,"Payment of Php1,200.00 made to Card end 3000 was posted on 03/16.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00040,banking,Unknown,"Payment of Pho20,020.00 made to Card end 4017 was posted on 04/08.",[],manual_ham_final_000062,"Payment of Pho20,020.00 made to Card end 4017 was posted on 04/08.",approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00041,banking,Unknown,"Pre-order the Samsung Galaxy S26 Series for as low as <AMOUNT>/mo. at 0% inst. for 24mos at select Samsung Experience/Premium stores! Bundle with Galaxy Buds4 & get 10% OFF the Buds. Offer valid until <DATE_TIME>, for a min. spend of <AMOUNT>. T&Cs apply. Details at the RCBC Credit website & search: SAMS26SP. D250155S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000096,"Pre-order the Samsung Galaxy S26 Series for as low as P2,166.25/mo. at 0% inst. for 24mos at select Samsung Experience/Premium stores! Bundle with Galaxy Buds4 & get 10% OFF the Buds. Offer valid until Mar 8, for a min. spend of P40,000. T&Cs apply. Details at the RCBC Credit website & search: SAMS26SP. D250155S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00042,banking,Unknown,"Promo extended! Get Diamond Indulgence Annual Membership for <AMOUNT> (from <AMOUNT>) with your RCBC Premium Credit Card. Enjoy a free night stay, up to 50% off dining, and more at Diamond Hotel. Offer now valid until <DATE_TIME>, 2026. Call <PHONE> or search DHPINDUL on the RCBC Credit Website. DTI246122S26.","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000064,"Promo extended! Get Diamond Indulgence Annual Membership for P8,710.40 (from P10,888) with your RCBC Premium Credit Card. Enjoy a free night stay, up to 50% off dining, and more at Diamond Hotel. Offer now valid until June 30, 2026. Call 0253105741 or search DHPINDUL on the RCBC Credit Website. DTI246122S26.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
